candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.472584,43.73970413,1.989959957,3.329087782,0.287859756,0.124099226,-33.08196449,-182.2811339,41.57633972,1.234771323,30.37068939,0.033945213,,0.16120033
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.342536,40.86125183,1.402396178,2.629854822,0.32134729,0.128696416,-23.14632149,-578.1855214,50.40843964,1.771695185,26.3258564,0.391196627,,0.141645268
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408,68.32644653,7.785830606,3.877859259,0.388817418,0.093969856,-53.75717316,-199.114987,35.21226273,1.21893971,74.89366302,13634017.2,,0.166033298
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.205768,55.95563507,6.042888536,5.510524273,0.339502168,0.179626045,-108.0036102,-256.4788456,43.26530075,1.569121981,73.90921478,0.880714291,,0.180077016
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.797128,63.62611389,7.88846025,6.585237312,0.348433751,0.421868819,-140.6017914,-228.8554101,35.76104889,1.650092459,108.8866638,926123.1806,,0.147721976
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.669192,46.82504272,1.952211069,2.76014266,0.336409932,0.091364191,-25.3647953,-782.5201666,51.31540451,1.341004968,30.95011864,0.097321874,,0.152907029
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.501448,59.84771347,7.057687169,3.338571215,0.375881153,0.067674417,-44.78071747,-1658.16447,63.45782242,1.325013542,55.02589569,469.2100841,,0.15639855
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.495304,57.23490524,4.419354901,2.975555372,0.321175331,0.080125846,-25.61640396,-172.9261041,40.36751862,1.042554867,38.29138794,0.164437718,,0.166399583
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.673288,48.83770752,3.133870489,2.306998205,0.384677625,0.08059748,-15.40654974,-787.8698309,52.68656006,1.367510247,32.58903656,161.8788975,,0.154830724
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272,64.10781097,7.057687169,3.600340652,0.384511054,0.1348364,-42.36463547,-293.8798023,39.43639145,1.557100821,63.3347847,371.2758252,,0.17857267
Autoformer_010,Autoformer_010,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.757256,49.22337723,3.450562656,3.447678471,0.333296317,0.119836551,-33.46543274,-587.2845026,53.92894363,1.472956872,38.16718674,0.058167011,,0.147455975
Autoformer_011,Autoformer_011,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.648136,59.26516724,5.961492628,5.239905739,0.385718668,0.280484039,-89.41882324,-213.9548406,44.15917892,2.112736106,84.86517487,19.98837801,,0.166620225
Autoformer_012,Autoformer_012,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.64052,48.35784149,2.070415078,2.248315001,0.405520111,0.077511185,-16.96995659,-1237.226731,51.63156891,1.20894742,32.95670242,1713.05966,,0.153441221
Autoformer_013,Autoformer_013,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.935432,52.44859695,3.133870489,3.066593409,0.405025059,0.11772745,-34.78576393,-295.4329944,42.79895477,1.650333166,47.47396393,28.28555837,,0.207603142
Autoformer_014,Autoformer_014,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.268424,38.08184433,1.105563773,1.772349286,0.326691675,0.050381397,-10.57414951,-800.4422527,51.34636536,0.9753016,16.14027557,0.022014641,,0.156455338
Autoformer_015,Autoformer_015,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408,68.32644653,7.785830606,3.372575188,0.412711394,0.08803969,-39.18656311,-279.2839168,35.53165054,1.337256479,69.88237305,49059334.38,,0.169225767
Autoformer_016,Autoformer_016,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272,64.10781097,7.057687169,4.531233215,0.373130429,0.166661742,-63.7592514,-1203.915164,59.12726212,1.854942584,77.82078705,3871.71578,,0.139678001
Autoformer_017,Autoformer_017,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.382088,42.47563171,1.784199577,2.049184179,0.403803223,0.088932079,-10.66875448,-1207.633167,57.08295593,1.550210166,26.77610931,2.248413286,,0.162624985
Autoformer_018,Autoformer_018,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.501448,59.84771347,6.965674393,3.210968924,0.39256956,0.073395939,-35.21583633,-1702.760463,63.89099121,1.438501954,55.32330475,2916.45885,,0.152454764
