candidate_id,candidate_name,model,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse,model_label
Mamba_000,Mamba_000,Mamba,long_term_forecast,custom,5,success,,0.281344,28.29606628,0.468918288,0.119943239,0.567138541,3.17E-05,-0.108498149,-27.7224028,260.6828674,0.05045734,1.439582157,411023,,0.18289192,proxy_train
Mamba_001,Mamba_001,Mamba,long_term_forecast,custom,5,success,,0.140224,23.50648117,0.230236176,0.096401381,0.571592319,3.32E-05,-0.089096235,-25.15565584,208.427243,0.05861123,0.943456042,109248,,0.192691863,proxy_train
Mamba_002,Mamba_002,Mamba,long_term_forecast,custom,5,success,,0.13792,23.44806862,0.225517584,0.103516296,0.558464313,2.87E-05,-0.090748024,-37.22093593,315.8804016,0.048056366,0.991886032,72982.4,,0.19515346,proxy_train
Mamba_003,Mamba_003,Mamba,long_term_forecast,custom,5,success,,0.232224,27.67073441,0.408559632,0.117823166,0.53844384,4.04E-05,-0.128166507,-26.77992692,204.8424194,0.073177406,1.275813794,872083,,0.185668707,proxy_train
Mamba_004,Mamba_004,Mamba,long_term_forecast,custom,5,success,,0.227712,25.19798088,0.314777616,0.08350708,0.602624512,1.91E-05,-0.053901705,-28.07325422,212.4776855,0.046975403,0.998997045,152351,,0.189002633,proxy_train
Mamba_005,Mamba_005,Mamba,long_term_forecast,custom,5,success,,0.098816,19.36521149,0.112271376,0.086941193,0.671960104,2.74E-05,-0.051489124,-52.21187052,356.0415222,0.010963041,0.882355261,5016.93,,0.207542598,proxy_train
Mamba_006,Mamba_006,Mamba,long_term_forecast,custom,5,success,,0.136192,23.42969704,0.2160804,0.090290457,0.551915789,2.74E-05,-0.076664059,-24.98985014,191.1378571,0.038675127,0.86345346,72837.8,,0.197195992,proxy_train
Mamba_007,Mamba_007,Mamba,long_term_forecast,custom,5,success,,0.116736,21.51753044,0.162603024,0.078238422,0.635135972,2.00E-05,-0.043191282,-25.36599158,204.7415771,0.025139262,0.802154005,27114.8,,0.199239373,proxy_train
Mamba_008,Mamba_008,Mamba,long_term_forecast,custom,5,success,,0.227616,27.59136009,0.394403856,0.138086244,0.548977423,6.29E-05,-0.175538537,-42.89788052,295.5070496,0.070406485,1.488125753,617081,,0.18714425,proxy_train
Mamba_009,Mamba_009,Mamba,long_term_forecast,custom,5,success,,0.353408,31.26823616,0.68597352,0.115391767,0.545269191,2.56E-05,-0.101027377,-42.14987938,340.8425964,0.036493544,1.455782628,1376970,,0.182681024,proxy_train
