candidate_id,candidate_name,model,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse,model_label
Mamba_000,Mamba_000,Mamba,long_term_forecast,ETTh1,5,success,,0.120576,26.52791786,0.688957664,0.184913433,0.399074352,7.18E-05,-0.241583595,-51.35486791,2.734180117,0.004388282,1.205373502,20093.7,,0.484802842,proxy_train
Mamba_001,Mamba_001,Mamba,long_term_forecast,ETTh1,5,success,,0.05984,21.21169662,0.335063264,0.110856213,0.428741163,4.93E-05,-0.086952038,-46.1066718,2.67694459,0.023373613,0.733742714,5365.45,,0.471105665,proxy_train
Mamba_002,Mamba_002,Mamba,long_term_forecast,ETTh1,5,success,,0.057536,21.16473389,0.32562608,0.117791925,0.418106478,6.49E-05,-0.099489944,-46.05800202,3.134427166,0.038420832,0.763878703,3403.32,,0.4789325,proxy_train
Mamba_003,Mamba_003,Mamba,long_term_forecast,ETTh1,5,success,,0.111648,25.62754631,0.629975264,0.222225058,0.327383125,0.00023874,-0.404270524,-53.98479931,2.789396,0.107569368,1.23136785,30283.8,,0.477796763,proxy_train
Mamba_004,Mamba_004,Mamba,long_term_forecast,ETTh1,5,success,,0.066944,23.19608498,0.38067632,0.171517244,0.409336376,8.68E-05,-0.215479913,-48.31331522,2.836320496,0.043674967,1.00826807,7479.29,,0.483736783,proxy_train
Mamba_005,Mamba_005,Mamba,long_term_forecast,ETTh1,5,success,,0.018432,16.46214104,0.099133664,0.094755062,0.468981636,4.45E-05,-0.067489839,-53.49505321,3.057706833,0.012570401,0.489941269,226.664,,0.482928008,proxy_train
Mamba_006,Mamba_006,Mamba,long_term_forecast,ETTh1,5,success,,0.055808,21.13890266,0.306751712,0.140539497,0.374937189,9.14E-05,-0.137488198,-53.55981191,2.832538843,0.022193896,0.764314842,3564.58,,0.471324086,proxy_train
Mamba_007,Mamba_007,Mamba,long_term_forecast,ETTh1,5,success,,0.036352,18.92097473,0.19979696,0.145792805,0.412662393,0.000188021,-0.165109394,-48.0370473,2.771357012,0.112298653,0.816997302,1082.54,,0.480081975,proxy_train
Mamba_008,Mamba_008,Mamba,long_term_forecast,ETTh1,5,success,,0.10704,25.59835434,0.601663712,0.202573061,0.352501285,0.000118348,-0.312590659,-57.3198857,3.044300604,0.056225149,1.161445868,22099.6,,0.477399349,proxy_train
Mamba_009,Mamba_009,Mamba,long_term_forecast,ETTh1,5,success,,0.19264,29.67216301,1.123068128,0.215405604,0.38176294,0.000110064,-0.354693082,-48.37363617,2.609566307,0.041036811,1.54432528,67009.8,,0.49929744,proxy_train
Mamba_010,Mamba_010,Mamba,long_term_forecast,ETTh1,5,success,,0.041088,20.06700134,0.228894944,0.1323626,0.411463577,8.48E-05,-0.128216495,-64.53724232,4.021649742,0.055421226,0.711777031,2837.86,,0.483428925,proxy_train
Mamba_011,Mamba_011,Mamba,long_term_forecast,ETTh1,5,success,,0.121088,26.53940964,0.688957664,0.163266718,0.448565149,0.000109865,-0.197325516,-45.83630922,2.308016729,0.046294872,1.194800973,44974.6,,0.481928796,proxy_train
Mamba_012,Mamba_012,Mamba,long_term_forecast,ETTh1,5,success,,0.121856,26.50681496,0.701540576,0.16855422,0.452786839,8.45E-05,-0.201193084,-60.72211508,3.091178322,0.059910541,1.283566403,32108.4,,0.470925331,proxy_train
Mamba_013,Mamba_013,Mamba,long_term_forecast,ETTh1,5,success,,0.053696,21.07184601,0.297314528,0.109163809,0.444514424,4.53E-05,-0.085413051,-44.95890038,2.637586784,0.035122954,0.717141032,3561.02,,0.468033403,proxy_train
Mamba_014,Mamba_014,Mamba,long_term_forecast,ETTh1,5,success,,0.081408,23.09847832,0.460105952,0.157931677,0.389560258,0.000106168,-0.191218919,-52.93195658,3.120586634,0.037129838,1.016135001,13399.3,,0.494450063,proxy_train
Mamba_015,Mamba_015,Mamba,long_term_forecast,ETTh1,5,success,,0.042336,20.12381172,0.233613536,0.201609153,0.381974936,0.000181169,-0.304088289,-51.12120783,3.271174383,0.023395419,1.035960996,5332.63,,0.472069502,proxy_train
Mamba_016,Mamba_016,Mamba,long_term_forecast,ETTh1,5,success,,0.057152,21.13049698,0.32562608,0.179871273,0.345587045,0.000335156,-0.263593656,-44.0330601,2.613881063,0.084467442,0.944189537,1637.46,,0.487133592,proxy_train
Mamba_017,Mamba_017,Mamba,long_term_forecast,ETTh1,5,success,,0.176512,29.50796318,1.028696288,0.230022076,0.374599952,0.000111056,-0.378030765,-56.3371359,3.263438749,0.006779718,1.562479067,69241.1,,0.474249095,proxy_train
Mamba_018,Mamba_018,Mamba,long_term_forecast,ETTh1,5,success,,0.035328,19.7752552,0.1958648,0.13381163,0.445751107,7.23E-05,-0.1221027,-49.34839356,2.725804377,-0.005493551,0.741628504,1002.54,,0.476196796,proxy_train
Mamba_019,Mamba_019,Mamba,long_term_forecast,ETTh1,5,success,,0.185344,29.55697441,1.066445024,0.186324957,0.39104417,7.07E-05,-0.240690571,-59.20215975,2.878020859,0.000512135,1.325187874,93219.3,,0.483489394,proxy_train
Mamba_020,Mamba_020,Mamba,long_term_forecast,ETTh1,5,success,,0.193408,29.66643143,1.123068128,0.230257708,0.353943157,0.000109499,-0.378939897,-54.51643399,3.101396084,0.026064041,1.545909429,146883,,0.485479742,proxy_train
Mamba_021,Mamba_021,Mamba,long_term_forecast,ETTh1,5,success,,0.11776,26.5171566,0.676374752,0.164873487,0.432686657,5.79E-05,-0.180884112,-41.97374118,2.13510232,-0.014148225,1.172694778,22262.2,,0.494002432,proxy_train
Mamba_022,Mamba_022,Mamba,long_term_forecast,ETTh1,5,success,,0.036384,19.88945198,0.200583392,0.138439038,0.466472596,9.30E-05,-0.137987466,-69.43030534,3.721472263,0.054526174,0.805652988,1013.61,,0.47783953,proxy_train
Mamba_023,Mamba_023,Mamba,long_term_forecast,ETTh1,5,success,,0.104448,25.48885536,0.601663712,0.195312133,0.362977809,0.000106648,-0.280294961,-53.52794948,2.985696077,0.029318996,1.155452585,10805.6,,0.480678529,proxy_train
Mamba_024,Mamba_024,Mamba,long_term_forecast,ETTh1,5,success,,0.118784,26.47369957,0.688957664,0.151530901,0.438447231,4.23E-05,-0.159566517,-45.93589897,2.324356461,0.024104311,1.078235793,21099.1,,0.477503926,proxy_train
Mamba_025,Mamba_025,Mamba,long_term_forecast,ETTh1,5,success,,0.078912,23.0496769,0.450668768,0.1791394,0.381769055,0.000125765,-0.224851391,-50.34587801,3.19089222,0.027885619,1.084795392,6877.9,,0.493449777,proxy_train
Mamba_026,Mamba_026,Mamba,long_term_forecast,ETTh1,5,success,,0.070848,22.85698509,0.403482848,0.147415642,0.380484211,8.99E-05,-0.142616235,-53.90597144,2.76192975,-0.037481245,0.854137087,6464.23,,0.480126113,proxy_train
