candidate_id,candidate_name,model,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse,model_label
Mamba_000,Mamba_000,Mamba,long_term_forecast,custom,5,success,,0.558336,31.30660248,0.170829688,0.099066161,0.662939906,1.87E-05,-0.101796061,-5.137724548,38.72385597,0.058422209,1.371833372,270782,,0.666516006,proxy_train
Mamba_001,Mamba_001,Mamba,long_term_forecast,custom,5,success,,0.27872,27.06551933,0.084567928,0.097382845,0.652542162,1.73E-05,-0.114566395,-5.274485843,30.52820396,0.054646141,0.982322812,71680.7,,0.682938397,proxy_train
Mamba_002,Mamba_002,Mamba,long_term_forecast,custom,5,success,,0.276416,27.00694084,0.08338828,0.089721006,0.673483133,1.60E-05,-0.105347355,-4.745482202,22.18614464,0.047342356,0.934902132,47737.8,,0.684243441,proxy_train
Mamba_003,Mamba_003,Mamba,long_term_forecast,custom,5,success,,0.439968,30.67219925,0.142444408,0.076955722,0.641813684,1.06E-05,-0.045643838,-5.304318424,36.44167519,0.040888019,0.971976221,403638,,0.685666442,proxy_train
Mamba_004,Mamba_004,Mamba,long_term_forecast,custom,5,success,,0.504704,28.63437653,0.13229452,0.064701928,0.691196406,8.24E-06,-0.045385946,-4.907190213,35.4661396,0.037912914,0.895525014,119332,,0.687057078,proxy_train
Mamba_005,Mamba_005,Mamba,long_term_forecast,custom,5,success,,0.237312,23.53614044,0.055076728,0.118905421,0.701755702,2.84E-05,-0.193003562,-5.378774137,29.99613609,0.067936702,1.141776085,2993.24,,0.720937788,proxy_train
Mamba_006,Mamba_006,Mamba,long_term_forecast,custom,5,success,,0.274688,26.98100853,0.081028984,0.070694746,0.676105189,1.37E-05,-0.05015569,-5.287968338,30.0866478,0.043820568,0.786200094,48924.9,,0.686757565,proxy_train
Mamba_007,Mamba_007,Mamba,long_term_forecast,custom,5,success,,0.255232,25.34010887,0.06765964,0.130766344,0.66894691,3.71E-05,-0.215461519,-5.204450127,29.66248055,0.077861139,1.232340932,15284.4,,0.69554162,proxy_train
Mamba_008,Mamba_008,Mamba,long_term_forecast,custom,5,success,,0.43536,30.62840843,0.138905464,0.083391918,0.660776734,1.86E-05,-0.075031544,-4.906257687,32.13185463,0.067943483,1.078744578,286420,,0.696017563,proxy_train
Mamba_009,Mamba_009,Mamba,long_term_forecast,custom,5,success,,0.6304,34.01318359,0.225093496,0.090146364,0.635549927,1.70E-05,-0.101833681,-4.954858483,33.89076195,0.056468692,1.287480068,865585,,0.680740356,proxy_train
Mamba_010,Mamba_010,Mamba,long_term_forecast,custom,5,success,,0.369408,26.28273201,0.092309368,0.12038942,0.691732681,2.98E-05,-0.191051561,-5.335968116,38.92227173,0.060329702,1.414081454,42577,,0.715697467,proxy_train
