dataset_name,anonymous_public_load_power_data_per_unit,anonymous_public_pv_power_data_per_unit,australian_electricity_demand_dataset,bitcoin_dataset_without_missing_values,elecdemand_dataset,electricity_hourly_dataset,kdd_cup_2018_dataset_without_missing_values,oikolab_weather_dataset,pedestrian_counts_dataset,saugeenday_dataset,solar_10_minutes_dataset,solar_4_seconds_dataset,sunspot_dataset_without_missing_values,traffic_hourly_dataset,us_births_dataset,weather_dataset,wind_4_seconds_dataset,wind_farms_minutely_dataset_without_missing_values,Australia_Solar__H,CPHL__15T,CPHL__30T,CPHL__H,Coastal_T_S__15T,Coastal_T_S__20T,Coastal_T_S__5T,Coastal_T_S__H,Crypto__D,EWELD_Load__15T,Finland_Traffic__15T,MetroPT-3__5T,NE_China_Wind__H,Oil_Price__B,OpenElectricity_NEM__5T,Port_Activity__D,SG_Carpark__15T,SG_PM25__H,SG_Weather__D,US_Term_Structure__B,Water_Quality_Darwin__15T,azure2019_D__5T,azure2019_I__5T,current_velocity__10T,current_velocity__15T,current_velocity__20T,current_velocity__5T,current_velocity__H,epf_electricity_price__H
anonymous_public_load_power_data_per_unit,0.000000000,2.094642860,4.122609098,1.810759389,3.998681803,3.366498682,2.042452571,2.666993193,2.920929456,2.032324257,6.510979788,3.222259946,1.262196893,3.452855453,5.570738608,3.213499535,4.028244999,2.251323682,4.010387921,2.255410167,2.253055702,2.153241589,2.112372490,4.580926976,2.614815398,2.410371910,3.777737230,2.658059231,5.222571874,4.808701070,4.002762811,3.969286685,3.686969779,5.958335018,5.747818698,1.989807777,3.282249436,4.148598207,2.737692685,5.095226126,3.689097286,2.674635859,2.295496031,1.863071704,2.710711347,2.454571863,2.359351980
anonymous_public_pv_power_data_per_unit,2.094642860,0.000000000,3.746354611,1.955647434,3.663257475,3.372443396,2.200791381,3.018899396,3.538106065,2.441981533,6.495641347,2.802094231,2.380998289,3.831013814,5.277029884,3.052101128,4.273115502,1.844310780,4.196887204,2.301774578,3.054232080,2.595448716,1.834068257,4.463710088,2.032104184,2.266265947,3.913927785,3.138425239,5.520928038,4.694791759,3.637947024,3.636349655,3.449868402,6.167072791,5.485388078,2.722498344,3.373565404,3.745258611,2.981640149,5.384901927,3.840489349,2.145247556,1.922022587,1.693064462,2.317682659,2.470129923,2.440099610
australian_electricity_demand_dataset,4.122609098,3.746354611,0.000000000,3.677233592,0.862803091,3.889359895,3.426066753,2.720128311,4.939276903,4.115749668,5.167066778,3.565934237,4.467374446,4.493343760,6.963466983,5.782862701,5.068865983,2.929836267,3.800156674,3.858339216,5.388066800,4.628205413,4.718148077,2.238124883,3.102394799,4.312503428,3.701678781,4.100433773,5.008681225,6.443002511,1.955642662,3.111993102,3.501053090,8.298974017,3.396362865,5.201644236,5.934081488,2.783247210,2.618734763,7.518231487,6.339134728,2.350932993,2.652607945,2.938806470,2.955883318,3.760966431,3.260476865
bitcoin_dataset_without_missing_values,1.810759389,1.955647434,3.677233592,0.000000000,3.477303612,3.229763095,2.863869040,3.105850125,3.205639000,2.660520290,6.963272228,3.636559778,2.639574227,3.592626797,4.861129686,2.891080231,5.088761645,2.441955665,4.031179095,2.825710738,2.541795227,2.311543135,1.775352130,4.133132052,2.233025835,2.053412020,4.476295482,3.755576393,5.793446863,4.246677489,4.193672021,4.328931386,4.150682778,5.599865481,5.911833917,2.386709812,2.975576542,4.411124245,3.180525223,4.802303984,3.376591275,2.533131066,2.314583391,1.826607447,2.840013899,2.256314012,2.684641274
elecdemand_dataset,3.998681803,3.663257475,0.862803091,3.477303612,0.000000000,3.350621178,3.324566724,2.370470698,4.557904993,4.189133767,5.473874554,3.719867914,4.342039627,4.092719707,6.628711841,5.564185554,5.106267460,2.974650478,3.230478218,3.894261971,5.184774173,4.431062622,4.508080264,2.452291553,3.105808620,4.001947589,3.859796954,4.166763229,5.267628026,6.267365385,2.185227097,3.329769273,3.713125204,7.986571901,3.721901013,4.986537612,5.696394169,3.069351747,2.784543438,7.203343393,6.055542715,2.363919037,2.665989285,2.821591821,3.007254903,3.433029095,3.117286831
electricity_hourly_dataset,3.366498682,3.372443396,3.889359895,3.229763095,3.350621178,0.000000000,3.298132572,2.224884775,2.416512012,4.073147893,7.441958414,4.942554093,3.268814155,1.525259090,5.100807294,4.087580631,5.776472177,3.979743104,1.906819633,4.026948973,3.718555718,2.807315992,3.450939727,4.517308402,3.762429986,2.430800407,5.252948304,4.567994878,6.795267381,5.284136858,4.048243054,5.096251138,5.210673027,6.199568196,6.281679874,3.379854512,4.053289727,5.071956314,4.023722337,5.395973718,4.259110155,3.568303665,3.621454120,3.137961744,4.157695815,1.698514572,2.202917063
kdd_cup_2018_dataset_without_missing_values,2.042452571,2.200791381,3.426066753,2.863869040,3.324566724,3.298132572,0.000000000,1.950642433,3.200077941,2.475669819,5.498727800,2.561821663,2.345672391,3.523998612,6.624179149,4.504555325,3.496214456,1.599958148,3.652043048,1.826717010,3.498099179,2.919735189,3.184293975,3.939141384,2.788745202,3.084585659,2.384467343,1.601410223,4.169552035,5.895351009,2.577158020,2.514952791,2.387572087,7.326178823,4.524439582,3.189200366,4.495408330,2.725179687,1.640198114,6.408809090,4.973317852,1.993627236,1.549380028,1.560301228,1.821971421,2.676508725,2.270734010
oikolab_weather_dataset,2.666993193,3.018899396,2.720128311,3.105850125,2.370470698,2.224884775,1.950642433,0.000000000,2.828725639,3.072651346,5.604220624,3.582583356,2.829678292,2.510261933,6.250957539,4.760131090,4.334872706,2.603047697,2.359095609,2.974696773,3.853792123,3.145461239,3.660655741,3.339630080,2.906239206,3.030983546,3.296285316,2.899303122,4.994805930,5.689684601,2.299602914,3.329761830,3.476766851,7.122215383,4.488668613,3.623260447,4.701574995,3.287036867,2.238283807,6.302616784,5.101960128,2.298132259,2.369184960,2.193059451,2.745765075,2.374079771,1.920813970
pedestrian_counts_dataset,2.920929456,3.538106065,4.939276903,3.205639000,4.557904993,2.416512012,3.200077941,2.828725639,0.000000000,3.309217602,7.332326409,5.005271734,3.143155668,1.730133584,5.926605603,4.367276108,5.750401080,4.008709253,2.965998387,3.905409040,3.172208467,2.700753218,3.513994363,4.697464678,3.991126998,2.965006158,5.154182721,4.005685013,6.216474184,5.115728897,4.728271189,5.357934903,5.111481635,5.977391377,6.752505456,3.021057544,3.911395179,5.449486207,3.944013573,5.298456034,4.202255924,4.034749727,3.878236882,3.329496306,4.332711834,2.585653406,3.070241391
saugeenday_dataset,2.032324257,2.441981533,4.115749668,2.660520290,4.189133767,4.073147893,2.475669819,3.072651346,3.309217602,0.000000000,6.253036725,3.261760183,2.289363592,4.005848843,6.176417525,4.133443409,4.371832414,2.404010401,4.693766901,2.361044378,3.010924792,2.827297402,3.072362324,4.350783353,2.965850245,3.352243227,3.806290636,2.762257048,4.999689788,4.580233538,3.843632704,3.882136370,3.627626581,6.674020728,5.632881510,3.124660785,4.179697218,3.972498304,2.781297054,6.365238410,4.831553514,2.864317569,2.643995251,2.397790106,3.075647552,3.313731254,2.778641915
