dataset_id,dataset_name,family,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
Monash__anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,0.546494378,-0.738204046,0.446519026,-0.592280512,0.220233917,-0.354432752,-0.042143970,-0.071042282,-0.718490919,0.087726561,-0.532093910
Monash__anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,0.339173129,-0.647487544,-0.882233651,0.408369620,0.277964018,-0.578830760,-0.210794620,-0.267762073,-0.320375611,-0.313871051,0.530368973
Monash__australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,-1.692326640,1.935991989,-0.965467251,0.697069588,-0.206808229,0.590593865,0.108707762,-0.048903956,-0.491332317,0.244050231,-0.494569306
Monash__bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,1.003762153,-0.064971308,-0.289695202,0.126849148,-0.438612285,0.209468982,-0.110246146,-0.556676211,-0.962134800,-0.612599485,-0.409644097
Monash__elecdemand_dataset,elecdemand_dataset,Monash,-1.298461009,2.217077684,-0.729910140,0.561492250,-0.125970586,0.354199229,0.120335741,-0.364858265,-0.119477463,-0.112289730,-0.588312672
Monash__electricity_hourly_dataset,electricity_hourly_dataset,Monash,1.179565741,1.868379842,0.699177702,0.803755104,1.033173973,-0.663231757,0.080014420,-0.098547152,0.364647641,-0.129389208,-0.167036839
Monash__kdd_cup_2018_dataset_without_missing_values,kdd_cup_2018_dataset_without_missing_values,Monash,-0.905400206,-0.321322176,0.463098096,-0.230092039,0.866405579,-0.286111545,0.013077249,0.209528880,-0.009414756,-0.449128043,0.148634920
Monash__oikolab_weather_dataset,oikolab_weather_dataset,Monash,-0.582701870,1.290711966,0.711363225,-0.139814038,0.601607526,-0.329320174,0.367223652,-0.094678146,0.226639254,0.337541592,-0.111969623
Monash__pedestrian_counts_dataset,pedestrian_counts_dataset,Monash,1.212004658,0.431353293,2.226400084,0.644384380,0.544798569,-0.563067018,0.597540901,-0.597978079,-0.217482124,-0.235133745,0.380466672
Monash__saugeenday_dataset,saugeenday_dataset,Monash,-0.067113420,-1.060203823,0.187589356,0.016628614,0.143261287,-0.172897246,1.501379708,-0.123262239,-1.084033024,0.401099776,0.213850193
