cluster_id,cluster_size,dataset_id,dataset_name,family,nearest_dataset_in_cluster,nearest_centroid_distance
1,5,TIME__Australia_Solar__H,Australia_Solar__H,TIME,electricity_hourly_dataset,1.906819633
1,5,Monash__electricity_hourly_dataset,electricity_hourly_dataset,Monash,traffic_hourly_dataset,1.525259090
1,5,Monash__oikolab_weather_dataset,oikolab_weather_dataset,Monash,electricity_hourly_dataset,2.224884775
1,5,Monash__pedestrian_counts_dataset,pedestrian_counts_dataset,Monash,traffic_hourly_dataset,1.730133584
1,5,Monash__traffic_hourly_dataset,traffic_hourly_dataset,Monash,electricity_hourly_dataset,1.525259090
2,19,Monash__australian_electricity_demand_dataset,australian_electricity_demand_dataset,Monash,elecdemand_dataset,0.862803091
2,19,TIME__Coastal_T_S__20T,Coastal_T_S__20T,TIME,australian_electricity_demand_dataset,2.238124883
2,19,TIME__CPHL__15T,CPHL__15T,TIME,current_velocity__20T,1.396010150
2,19,TIME__Crypto__D,Crypto__D,TIME,Oil_Price__B,1.223173529
2,19,TIME__current_velocity__10T,current_velocity__10T,TIME,current_velocity__15T,0.776428023
2,19,TIME__current_velocity__15T,current_velocity__15T,TIME,current_velocity__20T,0.772806956
2,19,TIME__current_velocity__20T,current_velocity__20T,TIME,current_velocity__15T,0.772806956
2,19,TIME__current_velocity__5T,current_velocity__5T,TIME,current_velocity__15T,0.776522655
2,19,Monash__elecdemand_dataset,elecdemand_dataset,Monash,australian_electricity_demand_dataset,0.862803091
2,19,TIME__EWELD_Load__15T,EWELD_Load__15T,TIME,kdd_cup_2018_dataset_without_missing_values,1.601410223
2,19,Monash__kdd_cup_2018_dataset_without_missing_values,kdd_cup_2018_dataset_without_missing_values,Monash,current_velocity__15T,1.549380028
2,19,TIME__NE_China_Wind__H,NE_China_Wind__H,TIME,US_Term_Structure__B,1.635029738
2,19,TIME__Oil_Price__B,Oil_Price__B,TIME,US_Term_Structure__B,0.512257156
2,19,TIME__OpenElectricity_NEM__5T,OpenElectricity_NEM__5T,TIME,Crypto__D,1.229107573
2,19,Monash__solar_4_seconds_dataset,solar_4_seconds_dataset,Monash,wind_farms_minutely_dataset_without_missing_values,1.716955519
2,19,TIME__US_Term_Structure__B,US_Term_Structure__B,TIME,Oil_Price__B,0.512257156
2,19,TIME__Water_Quality_Darwin__15T,Water_Quality_Darwin__15T,TIME,current_velocity__15T,1.416078196
2,19,Monash__wind_4_seconds_dataset,wind_4_seconds_dataset,Monash,solar_4_seconds_dataset,2.306000352
2,19,Monash__wind_farms_minutely_dataset_without_missing_values,wind_farms_minutely_dataset_without_missing_values,Monash,current_velocity__15T,0.953698864
3,16,Monash__anonymous_public_load_power_data_per_unit,anonymous_public_load_power_data_per_unit,Monash,sunspot_dataset_without_missing_values,1.262196893
3,16,Monash__anonymous_public_pv_power_data_per_unit,anonymous_public_pv_power_data_per_unit,Monash,Coastal_T_S__15T,1.834068257
3,16,TIME__azure2019_I__5T,azure2019_I__5T,TIME,SG_Weather__D,1.512107288
3,16,Monash__bitcoin_dataset_without_missing_values,bitcoin_dataset_without_missing_values,Monash,Coastal_T_S__15T,1.775352130
3,16,TIME__Coastal_T_S__15T,Coastal_T_S__15T,TIME,Coastal_T_S__H,1.290907450
3,16,TIME__Coastal_T_S__5T,Coastal_T_S__5T,TIME,anonymous_public_pv_power_data_per_unit,2.032104184
3,16,TIME__Coastal_T_S__H,Coastal_T_S__H,TIME,current_velocity__H,1.084131931
3,16,TIME__CPHL__30T,CPHL__30T,TIME,SG_PM25__H,0.778274705
3,16,TIME__CPHL__H,CPHL__H,TIME,SG_PM25__H,1.056370713
3,16,TIME__current_velocity__H,current_velocity__H,TIME,Coastal_T_S__H,1.084131931
3,16,TIME__epf_electricity_price__H,epf_electricity_price__H,TIME,current_velocity__H,1.467206962
3,16,Monash__saugeenday_dataset,saugeenday_dataset,Monash,anonymous_public_load_power_data_per_unit,2.032324257
3,16,TIME__SG_PM25__H,SG_PM25__H,TIME,CPHL__30T,0.778274705
3,16,TIME__SG_Weather__D,SG_Weather__D,TIME,weather_dataset,1.355216868
3,16,Monash__sunspot_dataset_without_missing_values,sunspot_dataset_without_missing_values,Monash,anonymous_public_load_power_data_per_unit,1.262196893
3,16,Monash__weather_dataset,weather_dataset,Monash,SG_Weather__D,1.355216868
4,3,TIME__Finland_Traffic__15T,Finland_Traffic__15T,TIME,SG_Carpark__15T,3.367629657
4,3,TIME__SG_Carpark__15T,SG_Carpark__15T,TIME,solar_10_minutes_dataset,2.635122284
4,3,Monash__solar_10_minutes_dataset,solar_10_minutes_dataset,Monash,SG_Carpark__15T,2.635122284
5,2,TIME__MetroPT-3__5T,MetroPT-3__5T,TIME,us_births_dataset,3.155467132
5,2,Monash__us_births_dataset,us_births_dataset,Monash,MetroPT-3__5T,3.155467132
6,2,TIME__azure2019_D__5T,azure2019_D__5T,TIME,Port_Activity__D,2.787933431
6,2,TIME__Port_Activity__D,Port_Activity__D,TIME,azure2019_D__5T,2.787933431
