group_id,group_rank,dataset,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,seq_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,1,73570611,202,360935,96,1,mean,train_split_standard,-0.488090783,-0.760144176,-0.922194653,-0.675841201,-1.251094980,-0.346575731,0.459074302,-1.110445415,-1.215784253,0.007179076,-0.753715083,-0.879308164,0.577528693,-0.488502242,0.058206620,-0.202662079,-0.431221201,0.816667889,-2.117555942,0.851423060,0.090913723,1.170939822
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,2,82695293,225,318197,96,1,mean,train_split_standard,1.713978701,1.234072309,-0.544566159,-1.041451019,-0.042490945,0.273116109,0.674768455,-1.194739870,-0.388244559,-0.795397461,-0.693053216,-0.879308164,-0.983007021,-1.507174553,2.376710509,-0.448030823,-1.084415724,1.399809937,0.781148160,1.376251711,-0.481701987,0.337501534
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,3,81709015,222,409374,96,1,mean,train_split_standard,-1.444208503,-1.451360434,1.610794903,1.639687647,0.387151863,-0.041721124,-2.075332002,2.092743865,1.325973742,-1.254012625,-0.334916764,2.221913016,-0.929062576,0.921967112,-1.363809099,0.865689859,-0.431221201,0.036596483,-2.422682689,0.326594410,-0.825271413,-0.976212243
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,4,52269208,144,320331,96,1,mean,train_split_standard,-1.446127401,-0.838175706,-0.581966274,-0.493036292,-0.534744759,0.238734556,0.728691994,-0.941856506,-1.257398882,0.924409403,-0.607773570,-0.631210470,-0.180445797,0.399571055,-0.096360306,0.306976550,-0.866684216,0.757528483,-0.744485578,0.501537293,-0.252655703,0.340967406
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,5,25788832,76,41433,96,1,mean,train_split_standard,0.062284253,-0.465819643,0.574198772,0.055378435,-0.584720350,0.124357679,-1.374326003,0.659738134,1.325973742,1.956293522,-0.974760872,-0.010966234,-1.069105543,1.496602775,-0.961935092,0.052914946,0.004241814,-0.992024401,1.086274908,-0.023291358,-0.710748271,0.174046138
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,6,196785,1,101181,96,1,mean,train_split_standard,-0.875691773,-0.197022865,0.089722306,0.177248375,0.452607471,-1.694924720,-1.913561387,-0.183206413,1.325973742,1.268370776,-0.952282864,0.609278002,-1.069105543,-0.592981453,-1.456549255,-0.023669082,-0.648952709,-1.262160757,0.781148160,1.376251711,-0.596225129,0.298167107
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,7,82771860,225,394764,96,1,mean,train_split_standard,-1.113387300,-0.504842313,-1.152237272,-1.041451019,-1.261550212,0.852331405,0.674768455,-1.447623234,-1.275032003,-0.795397461,-0.898261153,-1.003357011,2.346135834,-0.592981453,0.089120005,-1.898111990,-0.648952709,1.651357451,-2.422682689,-0.023291358,3.297561697,1.380779279
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,8,16809528,53,359371,96,1,mean,train_split_standard,-0.729646331,-0.977074487,-0.942527359,-0.310231383,-0.807608875,-0.658489142,-1.967484926,-0.688973142,-0.757277665,-1.254012625,-0.954138041,-0.259063928,-0.837357021,0.033893815,0.583734168,-0.881602888,-0.648952709,0.150615567,1.086274908,-0.023291358,0.205436865,1.096219058
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,9,43399929,122,40389,96,1,mean,train_split_standard,-1.475543721,-1.538800223,0.089634938,-0.127426474,0.618947198,-0.066172310,-0.996861235,-0.351795323,-0.204578312,-1.254012625,-0.476845672,0.113082614,-0.601542735,-1.559414158,0.861954635,0.691873378,-0.431221201,0.027199672,0.476021413,0.851423060,-0.481701987,-0.577072554
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,10,9265836,27,28867,96,1,mean,train_split_standard,-1.406609821,-1.584887009,-0.144449726,-0.310231383,0.686031767,-0.275483658,0.620844917,-0.773267596,-1.024516912,0.236486657,-0.730155225,0.113082614,-0.918985043,-2.081810215,-0.776454780,0.542535696,-0.431221201,-0.152892862,1.086274908,-0.023291358,-0.596225129,-0.207531239
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,11,43492016,122,132476,96,1,mean,train_split_standard,1.963864911,-1.709664276,-0.560350141,-0.493036292,0.220380375,0.530303709,-0.835090619,-0.857562051,0.154144826,0.236486657,-0.557056875,-0.135015081,-0.837357021,0.399571055,-1.672942951,0.259404844,-0.431221201,-0.212848991,0.170894665,-1.072948659,-0.481701987,0.292650824
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,12,55322879,152,277500,96,1,mean,train_split_standard,0.341203837,-0.196613702,-0.972333811,-0.919581080,-1.796244123,1.163446507,-1.374326003,-1.363328780,-1.067211940,-0.795397461,-0.978664383,-1.003357011,-0.180445797,-0.566861650,-0.189100462,-0.981117114,0.439704829,0.383602685,1.086274908,-0.023291358,0.549006291,1.483315923
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,13,13620319,42,309043,96,1,mean,train_split_standard,0.467226039,1.169175505,-0.366234139,-0.736776171,-0.815478709,-0.262675914,-0.727243543,0.491149225,-0.040590592,-0.566089879,-0.786585504,-0.631210470,-0.896310592,-1.167617116,2.067576658,0.034826325,-0.648952709,0.346754402,-2.422682689,1.376251711,-0.481701987,0.247683731
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,14,6381034,20,129642,96,1,mean,train_split_standard,-0.484935248,-1.074229756,-0.999083337,-0.980516050,-0.929016569,-2.737703164,0.081609533,-0.183206413,-1.020451101,-0.566089879,-0.984061075,-1.127405859,-0.748926664,-0.070585396,0.490994013,-1.040430629,-0.431221201,0.462342183,1.086274908,0.326594410,0.663529432,1.324343250
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,15,42017124,118,77048,96,1,mean,train_split_standard,-1.305702221,-1.363375852,-0.166628140,-0.188361444,0.138467591,-0.120182473,-1.104708311,-0.183206413,-0.790014473,1.841639731,-0.069761080,-0.259063928,0.381016788,-1.663893370,0.583734168,0.785102848,0.004241814,-0.548110802,0.781148160,-1.247891542,-0.481701987,-0.444241807
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,16,41364301,116,198139,96,1,mean,train_split_standard,0.925883790,0.408237647,-0.222665156,-0.432101322,-0.788854486,0.598596921,0.782615532,-1.026150961,-0.236464813,-0.566089879,-0.644224996,-0.010966234,-0.938420286,2.436915678,1.109261716,0.068502899,-0.648952709,1.097913976,-2.422682689,1.376251711,-0.596225129,-0.365160943
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,17,66829436,184,234345,96,1,mean,train_split_standard,1.183499438,-1.867580486,-0.215973408,-0.188361444,-0.444946344,0.905186657,-0.835090619,-0.098911958,-1.154087457,-1.254012625,-0.903945156,-0.259063928,-0.837357021,-0.305663622,0.985608176,0.168540407,-0.648952709,0.207064783,0.933711534,1.376251711,-0.481701987,0.105541277
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,18,31314416,89,341036,96,1,mean,train_split_standard,-0.517022383,-0.610902253,1.442342174,1.091272920,0.332975167,-0.070653579,-2.722414463,0.238265861,0.154144826,-1.254012625,-0.005999248,1.725717627,-0.268326897,1.888399818,-0.745541395,0.917749303,-0.431221201,0.069446221,0.781148160,-0.023291358,-0.825271413,-1.359236256
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,19,14782052,45,201241,96,1,mean,train_split_standard,-0.251921140,0.317977750,-0.320891171,0.177248375,-1.179020885,-0.075012101,-2.398873233,-0.351795323,-0.532553752,-1.254012625,-0.738180711,0.113082614,-0.646891636,-0.671340862,0.367340472,0.699462911,0.875167844,-0.273034898,1.086274908,0.501537293,-0.481701987,-0.119536927
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,20,48541548,135,60313,96,1,mean,train_split_standard,1.207266281,-2.056327781,-0.255015645,-0.310231383,0.043642640,-0.447188246,-1.320402465,0.912621499,-0.532553752,1.039063194,-0.516700966,0.237131461,-0.306774878,-0.932538890,2.160316813,0.398556852,1.746093874,-0.635105809,0.933711534,-0.023291358,-0.481701987,-0.177097638
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,1,37111805,104,361353,96,1,mean,train_split_standard,0.000000000,0.000000000,-1.260696279,-1.102385989,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-1.254012625,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,2,41177013,115,131902,96,1,mean,train_split_standard,0.000000000,0.000000000,-1.260696279,-1.102385989,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-1.254012625,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,3,76600565,209,135483,96,1,mean,train_split_standard,-0.671742575,-0.112205790,-0.217760256,-0.553971262,-0.046987585,-0.084556283,0.620844917,-0.520384232,1.325973742,0.580448030,-0.008036169,-0.259063928,-0.748926664,1.679441395,-0.900108321,0.668933480,0.221973321,-0.028367101,-2.422682689,1.376251711,-0.596225129,-0.317647970
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,4,53406009,146,319205,96,1,mean,train_split_standard,0.940213327,1.392761599,-1.083057743,-0.980516050,-1.038656905,-0.477877568,0.836539071,-0.351795323,-1.152163863,-1.024705043,-0.878301929,-1.127405859,-0.483635592,0.164492830,-0.281840617,-0.894683686,-0.648952709,1.673556285,-0.744485578,-0.023291358,0.434483149,1.050211633
