group_id,group_rank,dataset,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,seq_len,n_channels,pooling,scale,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,retained_pc_count,retained_explained_variance_ratio
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,1,73570611,202,360935,96,1,mean,train_split_standard,3.027007409,0.175385252,1.141245906,-0.141321433,0.267539363,0.208327724,-0.943694708,1.559284454,-0.782529316,0.178662294,-0.847473990,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,2,82695293,225,318197,96,1,mean,train_split_standard,2.037272209,0.338203237,-2.070241671,-3.109752800,0.716899234,1.021464757,0.368314918,-0.297284936,-0.183629751,-0.234650090,-0.858810029,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,3,81709015,222,409374,96,1,mean,train_split_standard,-3.470419264,-2.457032196,0.635024379,1.089449922,-0.384554260,-0.476395218,-1.362862639,2.227264627,-1.194800130,-1.727975959,-0.113889624,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,4,52269208,144,320331,96,1,mean,train_split_standard,1.782763906,-0.708354162,1.853117743,0.194420466,1.004368481,0.556091182,0.273425774,1.019831690,0.208165723,0.187033465,-0.919106091,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,5,25788832,76,41433,96,1,mean,train_split_standard,-1.303131714,-1.719270162,0.079368576,0.821429162,1.972531304,-1.543805464,0.982282694,-0.443235124,-0.063323766,1.222200033,1.086796838,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,6,196785,1,101181,96,1,mean,train_split_standard,-1.527021784,-2.273550680,0.323915469,-0.468280150,1.516592486,-1.402599176,-1.221915931,-0.561279989,-0.538415510,1.845697758,-0.224751482,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,7,82771860,225,394764,96,1,mean,train_split_standard,5.478697172,0.403949254,0.934969686,0.232844231,-2.436029487,-0.628428064,-0.877837396,1.726438343,0.702727790,-0.357002813,-0.282280163,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,8,16809528,53,359371,96,1,mean,train_split_standard,1.573295127,-1.822703853,0.568169740,-1.012477170,-0.461700224,-1.234255701,-0.381682996,-1.656755770,-1.257953000,0.025126300,-0.620234837,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,9,43399929,122,40389,96,1,mean,train_split_standard,-0.682479535,-1.332044799,1.503565647,-1.966758577,-0.786959962,0.205558383,-0.039538103,-0.321786245,-1.193854863,-0.523302461,-1.362018817,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,10,9265836,27,28867,96,1,mean,train_split_standard,-0.047674740,-0.900174942,2.293808961,-1.250477043,0.590180587,0.872801983,0.415643064,-1.034351407,0.133300609,-0.114021407,-1.274132508,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,11,43492016,122,132476,96,1,mean,train_split_standard,0.277919487,-0.563543500,0.054461336,1.259823388,1.205564996,-1.325919766,0.735157911,-0.764212377,-0.349241220,-0.725833773,-0.192401221,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,12,55322879,152,277500,96,1,mean,train_split_standard,3.036913785,-0.596147328,-0.356218688,-0.543326476,-0.543905123,-1.201642017,1.470387327,-1.319275872,-1.206404584,0.475688136,-0.307033451,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,13,13620319,42,309043,96,1,mean,train_split_standard,1.079394735,0.512739694,-1.244421505,-2.341720942,0.934693433,-0.065609596,-1.085095466,1.946622207,-1.871223362,-0.486134043,-0.791283046,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,14,6381034,20,129642,96,1,mean,train_split_standard,2.516559509,-1.210059693,0.930669419,-0.938821276,0.367800480,0.588046153,-1.869783941,-2.148623506,-0.664835497,0.911555713,-0.129358461,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,15,42017124,118,77048,96,1,mean,train_split_standard,-0.694942235,0.779848105,2.884733307,-1.248798993,0.529179624,-1.207811894,0.729964030,-0.898289631,0.340299507,0.522957319,-0.861184338,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,16,41364301,116,198139,96,1,mean,train_split_standard,1.506098777,-0.493422455,-1.153420290,0.696505966,1.157295952,0.862944078,-0.234416708,2.710550502,-1.088987234,-0.759966021,0.069790377,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,17,66829436,184,234345,96,1,mean,train_split_standard,0.614453928,-1.382032769,-0.266130884,-1.411413020,-0.383405376,0.066526705,1.051910137,-0.332286607,-1.138430455,-0.093133829,-1.606015456,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,18,31314416,89,341036,96,1,mean,train_split_standard,-2.906322315,-2.020490524,-0.029770041,1.325249433,-0.563889218,-0.979020531,-0.132108663,-0.570202493,-0.582502855,-0.563605689,-0.781162964,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,19,14782052,45,201241,96,1,mean,train_split_standard,-0.294031597,-0.590073227,-0.323040443,-1.078559177,-0.256998625,-0.859497660,0.484051528,-1.359739504,-2.302608687,0.531718891,-0.745807603,11,0.906830047
group_001,1,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,train,20,48541548,135,60313,96,1,mean,train_split_standard,-1.074465309,1.094693834,1.170573865,-1.953625752,-0.040525332,-0.545430925,0.794919765,-0.903513997,-1.335571782,1.439517392,0.118478659,11,0.906830047
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,1,37111805,104,361353,96,1,mean,train_split_standard,0.800696355,-0.053169401,-0.265239408,0.119388504,-0.450638362,0.202940081,-0.080610748,-0.557178125,-1.048191857,-0.620356142,-0.454625119,11,0.906830047
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,2,41177013,115,131902,96,1,mean,train_split_standard,0.800696355,-0.053169401,-0.265239408,0.119388504,-0.450638362,0.202940081,-0.080610748,-0.557178125,-1.048191857,-0.620356142,-0.454625119,11,0.906830047
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,3,76600565,209,135483,96,1,mean,train_split_standard,-0.048055109,-0.913612257,0.300115074,1.631957711,1.371038753,0.624021048,-0.595080458,2.543933367,-1.265676769,0.118679193,0.762742012,11,0.906830047
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,4,53406009,146,319205,96,1,mean,train_split_standard,3.416932290,0.267179042,-1.544189537,0.173369500,0.859297969,0.954921453,-0.718372516,-0.302272151,-0.295550603,-0.681585887,-0.404014447,11,0.906830047
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,5,65607136,179,426459,96,1,mean,train_split_standard,0.800696355,-0.053169401,-0.265239408,0.119388504,-0.450638362,0.202940081,-0.080610748,-0.557178125,-1.048191857,-0.620356142,-0.454625119,11,0.906830047
group_001,2,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,train,6,69041842,188,211970,96,1,mean,train_split_standard,-1.167442502,-1.128475521,-2.938385277,-1.358010134,-1.209612082,-8.726036750,-1.745050588,0.350372302,0.850943931,3.090535482,3.544980813,11,0.906830047
