dataset,source_format,source_path,sample_rank,sample_index,series_name,series_length_original,series_length_used,downsampled,value_source,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,1,1,T1,230736,50000,True,value,-0.345038112,-0.011638152,2.024542846,6.000000000,0.117117805,0.292093484,0.938818776,11.000000000,0.001339284,9.000000000,0.298027609,3.000000000,0.500000000,-0.038420000,0.062940000,0.804144768,9.000000000,1.893536990,0.120000000,0.160000000,0.604100809,0.963016453
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,2,2,T2,230736,50000,True,value,0.135710568,0.135710568,2.578080871,5.000000000,0.112616303,0.201595003,0.927598552,31.000000000,0.000433763,9.000000000,0.271436064,5.000000000,0.400000000,0.229730000,-0.196900000,0.851067818,10.000000000,1.855921134,0.120000000,0.840000000,0.603909061,0.867439455
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,3,3,T3,232272,50000,True,value,0.504700340,0.190617243,1.958577750,5.000000000,0.113347998,0.237462674,0.923138463,10.000000000,0.004807378,9.000000000,0.300242385,2.000000000,0.500000000,0.056080000,-0.048280000,0.827433244,9.000000000,1.907045121,0.600000000,0.360000000,0.608127509,1.003105011
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,4,4,T4,230784,50000,True,value,0.056782041,-0.388197745,2.676686040,6.000000000,0.087463421,0.068941533,0.928318566,83.000000000,0.000365923,9.000000000,0.312766334,5.000000000,0.133333333,0.075830000,0.065820000,0.837189401,10.000000000,1.908867186,0.120000000,0.740000000,0.564504930,0.851991633
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,5,5,T5,230736,50000,True,value,-0.535747376,-0.088774924,1.852189999,3.000000000,0.047989362,0.360604736,0.932558651,53.000000000,0.001838062,4.000000000,0.184212029,2.000000000,0.007905138,-0.146640000,0.136960000,0.685450658,10.000000000,1.951771669,0.600000000,0.520000000,0.604004935,0.977493993
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,1,1,difficulty,4581,4581,False,value,-0.149860276,-0.349544770,580.047951215,3362.000000000,0.866876577,-0.000118600,0.014410480,1218.000000000,0.074074074,0.000000000,1.325635462,40.000000000,0.001745201,0.873608382,-0.285527177,0.999183920,3.000000000,1.102243242,0.122448980,0.530612245,0.001533981,0.031814075
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,2,8,mining_profitability,4021,4021,False,value,1.545015559,0.663806402,42.060652082,73.000000000,0.062810744,0.136481055,0.073383085,382.000000000,0.074074074,76.000000000,0.094233660,3.000000000,0.001904762,-0.992539169,0.217607560,0.969486424,7.000000000,1.243673200,0.489795918,0.510204082,0.023009712,0.187807784
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,3,11,median_transaction_value,4021,4021,False,value,0.641871596,-0.001438279,85.335233239,4.000000000,0.066317362,0.074620987,0.511940299,392.000000000,0.166666667,6.000000000,0.135693895,3.000000000,0.000662691,0.356876399,-0.453867197,0.932652199,7.000000000,1.507948655,0.408163265,0.877551020,0.010737866,0.359884934
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,4,12,av_transaction_value,4021,4021,False,value,0.711946908,0.129928150,152.536238109,6.000000000,0.183039682,0.030540527,0.323383085,343.000000000,0.166666667,0.000000000,0.126561659,5.000000000,0.000707714,0.951753295,-0.358368565,0.946574893,8.000000000,1.421306231,0.122448980,0.122448980,0.007669904,0.329012982
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,5,18,price,4021,4021,False,value,0.122430559,-0.186456580,164.079708458,419.000000000,0.335776070,-0.000119438,0.078358209,489.000000000,0.074074074,1191.000000000,1.641549257,40.000000000,0.002257336,0.946530714,-0.367570256,0.998087254,9.000000000,1.159458187,0.285714286,0.183673469,0.006135923,0.056652680
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,1,262,T262,51,51,False,value,0.360489488,0.063957812,0.598454940,6.000000000,0.003995737,0.000000000,0.120000000,2.000000000,0.242933333,7.000000000,0.099022099,8.000000000,1.000000000,0.098039216,0.000000000,0.084990519,2.000000000,0.450102653,0.666666667,0.666666667,1.668971097,1.223396281
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,2,373,T373,51,51,False,value,0.282575312,0.005434141,0.595375497,4.000000000,0.005387802,-0.425728908,0.140000000,2.000000000,0.226933333,9.000000000,0.089636119,4.000000000,1.000000000,0.215686275,0.019607843,0.108259949,2.000000000,0.500570620,0.714285714,0.714285714,1.668971097,1.151145751
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,3,1575,T1575,51,51,False,value,-0.059564133,-0.293238810,0.742001742,2.000000000,0.105262780,0.765572280,0.400000000,5.000000000,0.166666667,2.000000000,0.151550224,1.000000000,0.166666667,-0.372549020,0.176470588,0.301961184,3.000000000,1.194422384,0.666666667,0.285714286,1.276272016,1.118512136
