dataset,source_format,source_path,sample_rank,sample_index,series_name,series_length_original,series_length_used,downsampled,value_source,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,1,1,T1,230736,50000,True,value,-0.223393717,0.183640230,-0.291342550,-0.231858882,-0.849552954,0.337120426,0.913388513,-0.260258405,-0.926738239,-0.262342122,-0.164728994,-0.690591733,1.053415522,-0.376980904,0.503682069,0.302495986,-0.059181368,0.731959722,-1.083310827,-1.317482183,0.525710459,0.963087410
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,2,2,T2,230736,50000,True,value,0.065980857,0.331588672,-0.287920650,-0.234077063,-0.861612526,0.229435347,0.875986093,-0.223329572,-0.939490273,-0.262342122,-0.172874468,-0.546678656,0.695654192,0.165078107,-0.166344802,0.474019936,0.062409443,0.645882236,-1.083310827,1.151043182,0.525281790,0.700229736
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,3,3,T3,232272,50000,True,value,0.288084968,0.386718823,-0.291750338,-0.234077063,-0.859652307,0.272114660,0.861118465,-0.262104847,-0.877898660,-0.262342122,-0.164050568,-0.762548271,1.053415522,-0.185951344,0.216888702,0.387625393,-0.059181368,0.762870779,0.625911384,-0.591445311,0.534712509,1.073339722
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,4,4,T4,230784,50000,True,value,0.018471816,-0.194451996,-0.287311086,-0.231858882,-0.928997372,0.071589611,0.878386249,-0.127314605,-0.940445636,-0.262342122,-0.160214254,-0.546678656,-0.258376023,-0.146027177,0.511108476,0.423288348,0.062409443,0.767040264,-1.083310827,0.788024746,0.437190295,0.657744842
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,5,5,T5,230736,50000,True,value,-0.338186360,0.106189504,-0.292408013,-0.238513427,-1.034748807,0.418642674,0.892520496,-0.182707855,-0.919714185,-0.300534160,-0.199592778,-0.762548271,-0.707109602,-0.595745127,0.694551024,-0.131382095,0.062409443,0.865219874,0.625911384,-0.010615814,0.525496124,1.002903815
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,1,1,difficulty,4581,4581,False,value,-0.105911328,-0.155641700,3.281923267,7.212359042,1.159058983,-0.010585756,-2.168110174,1.968396697,0.097552465,-0.331087790,0.150046000,1.971800185,-0.729147477,1.466663337,-0.394880018,1.015448063,-0.788726234,-1.078781357,-1.074590305,0.027908592,-0.821382108,-1.597923039
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,2,8,mining_profitability,4021,4021,False,value,0.914276543,0.861833906,-0.043844510,-0.083240705,-0.995042163,0.151955587,-1.971526042,0.424771456,0.097552465,0.249431185,-0.227154791,-0.690591733,-0.728576629,-2.305710696,0.902509893,0.906890930,-0.302362990,-0.755142967,0.233487917,-0.046176803,-0.773371172,-1.168906182
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,3,11,median_transaction_value,4021,4021,False,value,0.370651755,0.193881617,0.223673343,-0.236295245,-0.985647894,0.078347653,-0.509603335,0.443235873,1.401491501,-0.285257344,-0.214454766,-0.690591733,-0.733020280,0.422101606,-0.828963827,0.772245977,-0.302362990,-0.150393563,-0.057196132,1.287360309,-0.800805992,-0.695656338
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,4,12,av_transaction_value,4021,4021,False,value,0.412831826,0.325782719,0.639101248,-0.231858882,-0.672947526,0.025895857,-1.138155469,0.352760231,1.401491501,-0.331087790,-0.217252136,-0.546678656,-0.732859203,1.624631467,-0.582709787,0.823139418,-0.180772179,-0.348660005,-1.074590305,-1.453799310,-0.807664698,-0.780560964
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,5,18,price,4021,4021,False,value,0.057987290,0.008110275,0.710461486,0.684250177,-0.263765073,-0.010586753,-1.954941553,0.622340716,0.097552465,8.766255619,0.246816147,1.971800185,-0.727315254,1.614074140,-0.606437390,1.011439277,-0.059181368,-0.947854691,-0.493222206,-1.231543125,-0.811094050,-1.529611437
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,1,262,T262,51,51,False,value,0.201280873,0.259543876,-0.300158441,-0.231858882,-1.152608209,-0.010444632,-1.816129380,-0.276876380,2.475520007,-0.277618937,-0.225688005,-0.330809041,2.842222174,-0.101131762,0.341384150,-2.326322447,-0.910317045,-2.571094110,0.863303358,0.521811226,2.906324165,1.679188952
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,2,373,T373,51,51,False,value,0.154382395,0.200782008,-0.300177478,-0.236295245,-1.148878851,-0.517023864,-1.749459734,-0.276876380,2.250199341,-0.262342122,-0.228563101,-0.618635195,2.842222174,0.136689041,0.391945195,-2.241262660,-0.910317045,-2.455606757,1.032869053,0.694677148,2.906324165,1.480484174
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,3,1575,T1575,51,51,False,value,-0.051559836,-0.099106569,-0.299271053,-0.240731609,-0.881312694,0.900517744,-0.882754338,-0.271337055,1.401491501,-0.315810975,-0.209597684,-0.834504810,-0.139122246,-1.052414975,0.796433551,-1.533201245,-0.788726234,-0.867845078,0.863303358,-0.861116149,2.028409900,1.390734588
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,4,1991,T1991,51,51,False,value,-0.182964952,-0.266102746,-0.299810715,-0.240731609,-0.766538009,-1.187944110,-0.416066817,-0.273183497,-0.637660521,-0.285257344,-0.212417646,-0.762548271,1.053415522,-0.933504573,0.796433551,-2.131563616,-0.910317045,0.687918397,0.863303358,0.348945304,2.467367032,1.296247046
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,5,2026,T2026,51,51,False,value,-0.120325609,-0.172672566,-0.299959266,-0.242949790,-0.846777987,0.676158035,-0.816084692,-0.273183497,0.179126891,-0.300534160,-0.237884870,-0.690591733,2.842222174,0.969061853,-0.417031517,-1.777560888,-0.788726234,-0.815781157,0.524171967,0.694677148,2.686845598,1.341575780
cif_2016_dataset,tsf,cif_2016_dataset/cif_2016_dataset.tsf,1,1,T1,120,120,False,value,-0.482016604,0.354524645,-0.148013699,-0.087677069,1.257205295,-0.007672617,0.669135738,-0.190093622,1.401491501,-0.331087790,0.054565526,-0.762548271,-0.655888612,1.233637496,-1.624808467,0.794193420,-0.545544612,-0.123738201,0.457238139,-1.134062342,-0.715072177,-1.140130238
cif_2016_dataset,tsf,cif_2016_dataset/cif_2016_dataset.tsf,2,7,T7,120,120,False,value,0.641028661,1.435512095,-0.131540302,-0.081022523,1.371750802,-0.009500313,0.445036088,-0.171629205,1.401491501,-0.331087790,0.184424532,-0.834504810,-0.650209861,1.014644173,-1.366947141,0.885976005,-0.667135423,-0.280390738,-0.854664873,0.489967503,-0.715072177,-1.269883656
