dataset,source_format,source_path,sample_rank,sample_index,series_name,series_length_original,series_length_used,downsampled,value_source,pc1,pc2,pc1_explained_ratio,pc2_explained_ratio
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,1,1,T1,230736,50000,True,value,1.755152060,0.263118627,0.239885251,0.136868979
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,2,2,T2,230736,50000,True,value,1.524787204,0.410273525,0.239885251,0.136868979
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,3,3,T3,232272,50000,True,value,1.959014402,0.004873814,0.239885251,0.136868979
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,4,4,T4,230784,50000,True,value,1.390887934,0.782809519,0.239885251,0.136868979
australian_electricity_demand_dataset,tsf,australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,5,5,T5,230736,50000,True,value,1.956516697,0.657744809,0.239885251,0.136868979
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,1,1,difficulty,4581,4581,False,value,-5.554234144,-2.707107995,0.239885251,0.136868979
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,2,8,mining_profitability,4021,4021,False,value,-1.144354133,-1.498001421,0.239885251,0.136868979
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,3,11,median_transaction_value,4021,4021,False,value,-0.594647374,-0.089602427,0.239885251,0.136868979
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,4,12,av_transaction_value,4021,4021,False,value,-1.291655345,-0.426670747,0.239885251,0.136868979
bitcoin_dataset_without_missing_values,tsf,bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,5,18,price,4021,4021,False,value,-4.635386052,-0.272433566,0.239885251,0.136868979
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,1,262,T262,51,51,False,value,2.434097935,-3.757376968,0.239885251,0.136868979
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,2,373,T373,51,51,False,value,2.525392211,-3.477752906,0.239885251,0.136868979
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,3,1575,T1575,51,51,False,value,2.140766308,-1.811143596,0.239885251,0.136868979
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,4,1991,T1991,51,51,False,value,3.434404555,-0.813168225,0.239885251,0.136868979
car_parts_dataset_without_missing_values,tsf,car_parts_dataset_without_missing_values/car_parts_dataset_without_missing_values.tsf,5,2026,T2026,51,51,False,value,2.919091598,-1.617546396,0.239885251,0.136868979
cif_2016_dataset,tsf,cif_2016_dataset/cif_2016_dataset.tsf,1,1,T1,120,120,False,value,-1.073256358,0.739469975,0.239885251,0.136868979
cif_2016_dataset,tsf,cif_2016_dataset/cif_2016_dataset.tsf,2,7,T7,120,120,False,value,-1.225870727,-0.370938706,0.239885251,0.136868979
cif_2016_dataset,tsf,cif_2016_dataset/cif_2016_dataset.tsf,3,9,T9,120,120,False,value,-1.389221724,0.805432237,0.239885251,0.136868979
cif_2016_dataset,tsf,cif_2016_dataset/cif_2016_dataset.tsf,4,25,T25,120,120,False,value,0.326835072,0.273123459,0.239885251,0.136868979
cif_2016_dataset,tsf,cif_2016_dataset/cif_2016_dataset.tsf,5,52,T52,68,68,False,value,0.656508956,1.147258604,0.239885251,0.136868979
covid_deaths_dataset,tsf,covid_deaths_dataset/covid_deaths_dataset.tsf,1,80,T80,212,212,False,value,-3.226723694,-1.571853492,0.239885251,0.136868979
covid_deaths_dataset,tsf,covid_deaths_dataset/covid_deaths_dataset.tsf,2,109,T109,212,212,False,value,-2.585570728,-0.564022143,0.239885251,0.136868979
covid_deaths_dataset,tsf,covid_deaths_dataset/covid_deaths_dataset.tsf,3,155,T155,212,212,False,value,-1.916540065,-0.239105812,0.239885251,0.136868979
covid_deaths_dataset,tsf,covid_deaths_dataset/covid_deaths_dataset.tsf,4,258,T258,212,212,False,value,-3.616431594,0.335161507,0.239885251,0.136868979
covid_deaths_dataset,tsf,covid_deaths_dataset/covid_deaths_dataset.tsf,5,263,T263,212,212,False,value,-2.711029326,-0.182540938,0.239885251,0.136868979
covid_mobility_dataset_without_missing_values,tsf,covid_mobility_dataset_without_missing_values/covid_mobility_dataset_without_missing_values.tsf,1,12,T12,330,330,False,value,1.222776546,-1.547864186,0.239885251,0.136868979
covid_mobility_dataset_without_missing_values,tsf,covid_mobility_dataset_without_missing_values/covid_mobility_dataset_without_missing_values.tsf,2,73,T73,387,387,False,value,1.609914697,-2.814427066,0.239885251,0.136868979
covid_mobility_dataset_without_missing_values,tsf,covid_mobility_dataset_without_missing_values/covid_mobility_dataset_without_missing_values.tsf,3,310,T310,413,413,False,value,-0.117784475,0.830388085,0.239885251,0.136868979
covid_mobility_dataset_without_missing_values,tsf,covid_mobility_dataset_without_missing_values/covid_mobility_dataset_without_missing_values.tsf,4,341,T341,411,411,False,value,2.528430871,-1.676722751,0.239885251,0.136868979
covid_mobility_dataset_without_missing_values,tsf,covid_mobility_dataset_without_missing_values/covid_mobility_dataset_without_missing_values.tsf,5,528,T528,412,412,False,value,2.196849524,0.658221500,0.239885251,0.136868979
dominick_dataset,tsf,dominick_dataset/dominick_dataset.tsf,1,59146,T59146,67,67,False,value,-2.092451393,-2.093483409,0.239885251,0.136868979
dominick_dataset,tsf,dominick_dataset/dominick_dataset.tsf,2,60831,T60831,78,78,False,value,0.641306814,-2.359221920,0.239885251,0.136868979
dominick_dataset,tsf,dominick_dataset/dominick_dataset.tsf,3,80918,T80918,48,48,False,value,2.946126627,-2.143667910,0.239885251,0.136868979
dominick_dataset,tsf,dominick_dataset/dominick_dataset.tsf,4,93708,T93708,87,87,False,value,-1.118339175,-1.231802144,0.239885251,0.136868979
dominick_dataset,tsf,dominick_dataset/dominick_dataset.tsf,5,109857,T109857,42,42,False,value,1.829251170,0.660969120,0.239885251,0.136868979
elecdemand_dataset,tsf,elecdemand_dataset/elecdemand_dataset.tsf,1,1,T1,17520,17520,False,value,-1.507678665,0.185017741,0.239885251,0.136868979
electricity_hourly_dataset,tsf,electricity_hourly_dataset/electricity_hourly_dataset.tsf,1,34,T34,26304,26304,False,value,0.967419605,1.105356504,0.239885251,0.136868979
electricity_hourly_dataset,tsf,electricity_hourly_dataset/electricity_hourly_dataset.tsf,2,117,T117,26304,26304,False,value,-3.796388340,0.282916296,0.239885251,0.136868979
electricity_hourly_dataset,tsf,electricity_hourly_dataset/electricity_hourly_dataset.tsf,3,221,T221,26304,26304,False,value,0.408048133,-0.175240125,0.239885251,0.136868979
electricity_hourly_dataset,tsf,electricity_hourly_dataset/electricity_hourly_dataset.tsf,4,249,T249,26304,26304,False,value,0.695859049,-0.019257123,0.239885251,0.136868979
electricity_hourly_dataset,tsf,electricity_hourly_dataset/electricity_hourly_dataset.tsf,5,321,T321,26304,26304,False,value,-0.402156836,1.016135032,0.239885251,0.136868979
electricity_weekly_dataset,tsf,electricity_weekly_dataset/electricity_weekly_dataset.tsf,1,59,T59,156,156,False,value,0.619890371,0.984711738,0.239885251,0.136868979
electricity_weekly_dataset,tsf,electricity_weekly_dataset/electricity_weekly_dataset.tsf,2,164,T164,156,156,False,value,-0.296092660,1.181862717,0.239885251,0.136868979
electricity_weekly_dataset,tsf,electricity_weekly_dataset/electricity_weekly_dataset.tsf,3,206,T206,156,156,False,value,0.271142205,1.117858511,0.239885251,0.136868979
electricity_weekly_dataset,tsf,electricity_weekly_dataset/electricity_weekly_dataset.tsf,4,234,T234,156,156,False,value,-0.151220684,1.387074453,0.239885251,0.136868979
electricity_weekly_dataset,tsf,electricity_weekly_dataset/electricity_weekly_dataset.tsf,5,315,T315,156,156,False,value,-0.458659437,0.988926676,0.239885251,0.136868979
fred_md_dataset,tsf,fred_md_dataset/fred_md_dataset.tsf,1,30,T30,728,728,False,value,-4.078433429,0.050204843,0.239885251,0.136868979
fred_md_dataset,tsf,fred_md_dataset/fred_md_dataset.tsf,2,64,T64,728,728,False,value,-2.998269660,-0.532071087,0.239885251,0.136868979
fred_md_dataset,tsf,fred_md_dataset/fred_md_dataset.tsf,3,70,T70,728,728,False,value,-3.003822531,0.357207390,0.239885251,0.136868979
fred_md_dataset,tsf,fred_md_dataset/fred_md_dataset.tsf,4,72,T72,728,728,False,value,-0.297328517,-0.212963288,0.239885251,0.136868979
fred_md_dataset,tsf,fred_md_dataset/fred_md_dataset.tsf,5,95,T95,728,728,False,value,-6.287108515,-0.484593253,0.239885251,0.136868979
hospital_dataset,tsf,hospital_dataset/hospital_dataset.tsf,1,6,T6,84,84,False,value,3.784934347,0.262682164,0.239885251,0.136868979
hospital_dataset,tsf,hospital_dataset/hospital_dataset.tsf,2,138,T138,84,84,False,value,1.467820431,0.266669306,0.239885251,0.136868979
hospital_dataset,tsf,hospital_dataset/hospital_dataset.tsf,3,230,T230,84,84,False,value,4.567027702,-0.717392430,0.239885251,0.136868979
hospital_dataset,tsf,hospital_dataset/hospital_dataset.tsf,4,537,T537,84,84,False,value,2.499872713,0.945797930,0.239885251,0.136868979
hospital_dataset,tsf,hospital_dataset/hospital_dataset.tsf,5,563,T563,84,84,False,value,1.160288540,0.669302682,0.239885251,0.136868979
kaggle_web_traffic_dataset_without_missing_values,tsf,kaggle_web_traffic_dataset_without_missing_values/kaggle_web_traffic_dataset_without_missing_values.tsf,1,2134,T2134,803,803,False,value,2.683917480,0.578879148,0.239885251,0.136868979
kaggle_web_traffic_dataset_without_missing_values,tsf,kaggle_web_traffic_dataset_without_missing_values/kaggle_web_traffic_dataset_without_missing_values.tsf,2,79597,T79597,803,803,False,value,1.946620208,-0.511569768,0.239885251,0.136868979
kaggle_web_traffic_dataset_without_missing_values,tsf,kaggle_web_traffic_dataset_without_missing_values/kaggle_web_traffic_dataset_without_missing_values.tsf,3,103654,T103654,803,803,False,value,3.015776694,-2.364713682,0.239885251,0.136868979
kaggle_web_traffic_dataset_without_missing_values,tsf,kaggle_web_traffic_dataset_without_missing_values/kaggle_web_traffic_dataset_without_missing_values.tsf,4,119659,T119659,803,803,False,value,1.637598565,-1.230542853,0.239885251,0.136868979
kaggle_web_traffic_dataset_without_missing_values,tsf,kaggle_web_traffic_dataset_without_missing_values/kaggle_web_traffic_dataset_without_missing_values.tsf,5,139201,T139201,803,803,False,value,0.771922789,-1.083625393,0.239885251,0.136868979
kaggle_web_traffic_weekly_dataset,tsf,kaggle_web_traffic_weekly_dataset/kaggle_web_traffic_weekly_dataset.tsf,1,11038,T11038,114,114,False,value,-0.755462222,-0.930218346,0.239885251,0.136868979
kaggle_web_traffic_weekly_dataset,tsf,kaggle_web_traffic_weekly_dataset/kaggle_web_traffic_weekly_dataset.tsf,2,65430,T65430,114,114,False,value,2.798293052,0.273597706,0.239885251,0.136868979
kaggle_web_traffic_weekly_dataset,tsf,kaggle_web_traffic_weekly_dataset/kaggle_web_traffic_weekly_dataset.tsf,3,113982,T113982,114,114,False,value,3.174884156,-1.036124217,0.239885251,0.136868979
kaggle_web_traffic_weekly_dataset,tsf,kaggle_web_traffic_weekly_dataset/kaggle_web_traffic_weekly_dataset.tsf,4,116620,T116620,114,114,False,value,3.737494794,-1.022601413,0.239885251,0.136868979
kaggle_web_traffic_weekly_dataset,tsf,kaggle_web_traffic_weekly_dataset/kaggle_web_traffic_weekly_dataset.tsf,5,118093,T118093,114,114,False,value,2.810638363,-0.980145103,0.239885251,0.136868979
kdd_cup_2018_dataset_without_missing_values,tsf,kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,1,4,T4,10898,10898,False,value,-0.705704348,0.134764398,0.239885251,0.136868979
kdd_cup_2018_dataset_without_missing_values,tsf,kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,2,96,T96,10898,10898,False,value,-0.392303476,-0.151441875,0.239885251,0.136868979
kdd_cup_2018_dataset_without_missing_values,tsf,kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,3,162,T162,10898,10898,False,value,-1.138350716,-0.642094498,0.239885251,0.136868979
kdd_cup_2018_dataset_without_missing_values,tsf,kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,4,171,T171,10898,10898,False,value,-0.309482486,1.171142987,0.239885251,0.136868979
kdd_cup_2018_dataset_without_missing_values,tsf,kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,5,234,T234,10920,10920,False,value,-1.074320395,0.722426931,0.239885251,0.136868979
london_smart_meters_dataset_with_missing_values,tsf,london_smart_meters_dataset_with_missing_values/london_smart_meters_dataset_with_missing_values.tsf,1,2607,T2607,14736,14736,False,value,1.184034414,0.906005858,0.239885251,0.136868979
london_smart_meters_dataset_with_missing_values,tsf,london_smart_meters_dataset_with_missing_values/london_smart_meters_dataset_with_missing_values.tsf,2,2863,T2863,30576,30576,False,value,1.495947807,0.311992782,0.239885251,0.136868979
london_smart_meters_dataset_with_missing_values,tsf,london_smart_meters_dataset_with_missing_values/london_smart_meters_dataset_with_missing_values.tsf,3,3375,T3375,31056,31056,False,value,1.718236297,0.783710301,0.239885251,0.136868979
london_smart_meters_dataset_with_missing_values,tsf,london_smart_meters_dataset_with_missing_values/london_smart_meters_dataset_with_missing_values.tsf,4,4219,T4219,25488,25488,False,value,1.970321715,0.199420316,0.239885251,0.136868979
london_smart_meters_dataset_with_missing_values,tsf,london_smart_meters_dataset_with_missing_values/london_smart_meters_dataset_with_missing_values.tsf,5,4402,T4402,31488,31488,False,value,0.810216049,0.873148475,0.239885251,0.136868979
m1_monthly_dataset,tsf,m1_monthly_dataset/m1_monthly_dataset.tsf,1,29,T29,84,84,False,value,2.610714953,-0.683038358,0.239885251,0.136868979
m1_monthly_dataset,tsf,m1_monthly_dataset/m1_monthly_dataset.tsf,2,201,T201,104,104,False,value,0.405678100,1.222850440,0.239885251,0.136868979
m1_monthly_dataset,tsf,m1_monthly_dataset/m1_monthly_dataset.tsf,3,242,T242,54,54,False,value,1.402968112,0.525115256,0.239885251,0.136868979
m1_monthly_dataset,tsf,m1_monthly_dataset/m1_monthly_dataset.tsf,4,259,T259,82,82,False,value,2.543316655,0.756162191,0.239885251,0.136868979
m1_monthly_dataset,tsf,m1_monthly_dataset/m1_monthly_dataset.tsf,5,501,T501,59,59,False,value,0.102342459,0.092424639,0.239885251,0.136868979
m1_quarterly_dataset,tsf,m1_quarterly_dataset/m1_quarterly_dataset.tsf,1,20,T20,42,42,False,value,1.256721873,1.443055168,0.239885251,0.136868979
m1_quarterly_dataset,tsf,m1_quarterly_dataset/m1_quarterly_dataset.tsf,2,72,T72,57,57,False,value,-2.171907054,-0.472332063,0.239885251,0.136868979
m1_quarterly_dataset,tsf,m1_quarterly_dataset/m1_quarterly_dataset.tsf,3,90,T90,52,52,False,value,1.672430842,0.473542358,0.239885251,0.136868979
m1_quarterly_dataset,tsf,m1_quarterly_dataset/m1_quarterly_dataset.tsf,4,105,T105,68,68,False,value,-1.309082792,0.960883500,0.239885251,0.136868979
m1_quarterly_dataset,tsf,m1_quarterly_dataset/m1_quarterly_dataset.tsf,5,158,T158,60,60,False,value,-0.614979693,0.971693326,0.239885251,0.136868979
m1_yearly_dataset,tsf,m1_yearly_dataset/m1_yearly_dataset.tsf,1,7,T7,16,16,False,value,0.615223981,-0.126314070,0.239885251,0.136868979
m1_yearly_dataset,tsf,m1_yearly_dataset/m1_yearly_dataset.tsf,2,80,T80,26,26,False,value,3.418740325,-0.881201832,0.239885251,0.136868979
m1_yearly_dataset,tsf,m1_yearly_dataset/m1_yearly_dataset.tsf,3,82,T82,26,26,False,value,0.316133270,0.077157936,0.239885251,0.136868979
m1_yearly_dataset,tsf,m1_yearly_dataset/m1_yearly_dataset.tsf,4,140,T140,19,19,False,value,-0.533314567,0.469482568,0.239885251,0.136868979
m1_yearly_dataset,tsf,m1_yearly_dataset/m1_yearly_dataset.tsf,5,177,T177,19,19,False,value,0.629760007,-0.288033785,0.239885251,0.136868979
m3_other_dataset,tsf,m3_other_dataset/m3_other_dataset.tsf,1,33,T33,73,73,False,value,-0.940934165,0.315446947,0.239885251,0.136868979
m3_other_dataset,tsf,m3_other_dataset/m3_other_dataset.tsf,2,61,T61,71,71,False,value,-1.752127014,0.492871899,0.239885251,0.136868979
m3_other_dataset,tsf,m3_other_dataset/m3_other_dataset.tsf,3,130,T130,71,71,False,value,-3.259342238,-1.164676324,0.239885251,0.136868979
m3_other_dataset,tsf,m3_other_dataset/m3_other_dataset.tsf,4,138,T138,71,71,False,value,-2.961482759,-1.244740928,0.239885251,0.136868979
m3_other_dataset,tsf,m3_other_dataset/m3_other_dataset.tsf,5,143,T143,71,71,False,value,-2.522176043,-1.439517315,0.239885251,0.136868979
m3_quarterly_dataset,tsf,m3_quarterly_dataset/m3_quarterly_dataset.tsf,1,225,T225,64,64,False,value,3.442331643,0.228609308,0.239885251,0.136868979
