dataset,n_samples,center_pc1,center_pc2,radius_mode,true_radius,max_radius,mean_radius,rms_radius
anonymous_public_load_power_data_per_unit,5,-0.942596412,0.376010472,max,3.518802883,3.518802883,1.451012436,1.823536737
anonymous_public_pv_power_data_per_unit,5,-1.949683324,0.476206450,max,0.531447644,0.531447644,0.294046559,0.326604105
australian_electricity_demand_dataset,5,1.717271659,0.423764059,max,0.485221577,0.485221577,0.332302437,0.359390564
bitcoin_dataset_without_missing_values,5,-2.644055410,-0.998763231,max,3.374549170,3.374549170,2.157053425,2.261052839
car_parts_dataset_without_missing_values,5,2.690750521,-2.295397618,max,1.658320022,1.658320022,1.156917705,1.218785739
cif_2016_dataset,5,-0.541000956,0.518869114,max,1.352369528,1.352369528,0.969732766,1.003672820
covid_deaths_dataset,5,-2.811259081,-0.444472176,max,1.201498846,1.201498846,0.755221374,0.858639598
covid_mobility_dataset_without_missing_values,5,1.488037433,-0.910080884,max,2.368099709,2.368099709,1.596095398,1.694612685
dominick_dataset,5,0.441178809,-1.433441253,max,2.618193585,2.618193585,2.050834555,2.159504506
elecdemand_dataset,1,-1.507678665,0.185017741,max,0.000000000,0.000000000,0.000000000,0.000000000
electricity_hourly_dataset,5,-0.425443678,0.441982117,max,3.374695520,3.374695520,1.548339123,1.824534502
electricity_weekly_dataset,5,-0.002988041,1.132086819,max,0.640075723,0.640075723,0.396890073,0.421558438
fred_md_dataset,5,-3.332992530,-0.164443079,max,3.036051747,3.036051747,1.579440075,1.963482891
hospital_dataset,5,2.695988747,0.285411930,max,2.122829093,2.122829093,1.342433938,1.427010134
kaggle_web_traffic_dataset_without_missing_values,5,2.011167147,-0.922314510,max,1.757770097,1.757770097,1.110522487,1.246203406
kaggle_web_traffic_weekly_dataset,5,2.353169629,-0.739098275,max,3.114501383,3.114501383,1.404920398,1.670410576
kdd_cup_2018_dataset_without_missing_values,5,-0.724032284,0.246959589,max,1.012900039,1.012900039,0.643286809,0.723671994
london_smart_meters_dataset_with_missing_values,5,1.435751256,0.614855546,max,0.677016991,0.677016991,0.475309797,0.503617040
m1_monthly_dataset,5,1.413004056,0.382702834,max,1.603220409,1.603220409,1.118103443,1.227226548
m1_quarterly_dataset,5,-0.233363365,0.675368458,max,2.252813379,2.252813379,1.488320080,1.614297428
m1_yearly_dataset,5,0.889308603,-0.149781837,max,2.633059066,2.633059066,1.074049795,1.405882566
m3_other_dataset,5,-2.287212444,-0.608123144,max,1.632619649,1.632619649,1.153641266,1.185334385
m3_quarterly_dataset,5,0.715424868,0.245220609,max,2.726957370,2.726957370,1.303003511,1.536732048
m3_yearly_dataset,5,-0.309754094,0.090852438,max,2.623943865,2.623943865,1.244393034,1.448346056
m4_daily_dataset,5,-4.361516381,-0.059843980,max,2.784126980,2.784126980,1.536489651,1.725872901
m4_hourly_dataset,5,0.093023753,1.132519583,max,0.472409946,0.472409946,0.299708127,0.319379963
m4_monthly_dataset,5,0.320898610,0.685712064,max,3.062087892,3.062087892,1.618601104,1.909265561
m4_quarterly_dataset,5,-0.774798876,0.762957079,max,1.712257815,1.712257815,1.184329645,1.245861078
m4_weekly_dataset,5,-4.964532149,-0.578009188,max,1.716055034,1.716055034,0.943439339,1.032356224
m4_yearly_dataset,5,-0.069215068,0.402369877,max,0.990672198,0.990672198,0.810760021,0.819932273
nn5_daily_dataset_without_missing_values,5,3.528109313,0.291785607,max,0.501123773,0.501123773,0.311926442,0.353231223
nn5_weekly_dataset,5,3.098880033,0.399725290,max,1.029681711,1.029681711,0.745668999,0.798266798
oikolab_weather_dataset,5,-0.853767350,0.628210389,max,1.375941918,1.375941918,1.029588222,1.060668019
pedestrian_counts_dataset,5,1.006720618,0.695844344,max,0.990279340,0.990279340,0.636952764,0.679854138
rideshare_dataset_without_missing_values,5,-1.111950024,-0.345458670,max,2.893656765,2.893656765,1.739371442,1.872932786
saugeenday_dataset,1,-2.165383931,-0.181435034,max,0.000000000,0.000000000,0.000000000,0.000000000
solar_10_minutes_dataset,5,-2.764490442,0.191959089,max,0.191203435,0.191203435,0.145893454,0.149110871
solar_4_seconds_dataset,1,-2.608159790,0.364368683,max,0.000000000,0.000000000,0.000000000,0.000000000
sunspot_dataset_without_missing_values,1,-1.223077311,1.262554571,max,0.000000000,0.000000000,0.000000000,0.000000000
temperature_rain_dataset_without_missing_values,5,1.497847113,-0.419778856,max,2.110243008,2.110243008,1.881253194,1.895298181
tourism_monthly_dataset,5,0.857836525,1.376666651,max,1.482396241,1.482396241,0.662059165,0.850208843
tourism_quarterly_dataset,5,0.679598765,1.234298010,max,2.722443823,2.722443823,1.289978809,1.530963572
tourism_yearly_dataset,5,0.451013893,0.288284082,max,3.662977180,3.662977180,1.776756316,2.028260266
traffic_hourly_dataset,5,0.734190913,0.649243749,max,0.378829379,0.378829379,0.290466195,0.301709169
traffic_weekly_dataset,5,2.485603850,0.194275240,max,1.565425400,1.565425400,0.803392427,0.920845707
us_births_dataset,1,2.155127015,0.552950502,max,0.000000000,0.000000000,0.000000000,0.000000000
vehicle_trips_dataset_without_missing_values,5,1.876432651,-0.890079588,max,2.751766706,2.751766706,1.823301836,1.885515068
weather_dataset,5,0.835849947,0.803330475,max,0.666998955,0.666998955,0.386392674,0.415341834
wind_4_seconds_dataset,1,-3.435709659,1.223503344,max,0.000000000,0.000000000,0.000000000,0.000000000
wind_farms_minutely_dataset_without_missing_values,5,-2.455430333,-5.369777638,max,15.397505971,15.397505971,6.743031706,8.222843575
