dataset,data_path,split,sample_rank,sample_index,seq_len,pred_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
ETT-small,dataset/ETT-small/ETTh1.csv,val,1,861,96,96,7,mean,train_split_standard,0.449787586,0.147216807,8.896384757,21.000000000,0.556527339,-0.004193054,0.595488722,29.285714286,0.071940280,13.000000000,0.377248785,11.000000000,0.324006648,0.036458333,0.041666667,0.912461989,9.571428571,1.481415588,0.579591837,0.469387755,0.203362024,0.534047497
ETT-small,dataset/ETT-small/ETTh1.csv,val,2,197,96,96,7,mean,train_split_standard,-0.161612344,-0.051621488,3.119709637,9.000000000,0.278938215,-0.037930304,0.918796992,16.000000000,0.016028577,20.714285714,0.199376967,5.428571429,0.144449598,0.376488095,0.072916667,0.741331580,6.428571429,1.859313033,0.404081633,0.685714286,0.329586729,0.802025961
ETT-small,dataset/ETT-small/ETTh1.csv,val,3,1733,96,96,7,mean,train_split_standard,0.079200010,0.196242722,5.240273384,13.857142857,0.336912314,0.063394983,0.869172932,17.714285714,0.029507687,17.857142857,0.278752419,8.428571429,0.261904762,0.157738095,0.005952381,0.798045250,6.857142857,1.809943828,0.624489796,0.400000000,0.287511828,0.734524688
ETT-small,dataset/ETT-small/ETTh1.csv,val,4,1526,96,96,7,mean,train_split_standard,-0.158775470,-0.129979225,4.942359615,9.000000000,0.424672436,0.001746204,0.906766917,18.142857143,0.039880952,19.000000000,0.270834313,7.000000000,0.294782609,-0.463541667,0.168154762,0.826824565,8.000000000,1.778629193,0.555102041,0.653061224,0.224399475,0.638598367
ETT-small,dataset/ETT-small/ETTh1.csv,val,5,1244,96,96,7,mean,train_split_standard,0.240344647,0.428193376,3.237116421,9.285714286,0.293040415,-0.034567370,0.932330827,13.428571429,0.013436827,23.000000000,0.231655746,4.571428571,0.296598639,0.339285714,0.126488095,0.783070321,6.000000000,1.821490795,0.518367347,0.383673469,0.343611696,0.781161102
ETT-small,dataset/ETT-small/ETTh1.csv,val,6,1372,96,96,7,mean,train_split_standard,0.185468046,0.086345486,9.060142353,15.142857143,0.522436013,-0.026788688,0.890225564,29.714285714,0.056067019,17.142857143,0.342266424,8.428571429,0.103437164,0.336309524,-0.227678571,0.900715654,7.142857143,1.718828496,0.530612245,0.538775510,0.168299606,0.550031086
ETT-small,dataset/ETT-small/ETTh1.csv,val,7,271,96,96,7,mean,train_split_standard,0.329222170,0.273911512,4.520678083,9.428571429,0.391820106,0.052151348,0.912781955,16.428571429,0.044550265,22.285714286,0.267020381,5.571428571,0.105557165,0.033482143,-0.025297619,0.815192584,7.142857143,1.787826906,0.689795918,0.555102041,0.266474377,0.703420272
ETT-small,dataset/ETT-small/ETTh1.csv,val,8,538,96,96,7,mean,train_split_standard,0.038465689,0.097160387,2.914977756,8.142857143,0.262406703,0.021811120,0.950375940,15.428571429,0.028713776,17.142857143,0.237154348,3.714285714,0.371193093,0.351190476,-0.215773810,0.731706340,6.857142857,1.847633252,0.379591837,0.526530612,0.364649147,0.825980604
ETT-small,dataset/ETT-small/ETTh1.csv,val,9,1669,96,96,7,mean,train_split_standard,-0.001397990,-0.157785719,4.665012956,9.571428571,0.440208653,-0.017562035,0.675187970,23.285714286,0.037078196,18.857142857,0.164191996,6.428571429,0.125844476,0.117559524,-0.200892857,0.780523395,6.142857143,1.577062842,0.583673469,0.563265306,0.294524311,0.702657985
ETT-small,dataset/ETT-small/ETTh1.csv,val,10,2566,96,96,7,mean,train_split_standard,0.081186933,-0.316938942,3.355748243,9.000000000,0.367038329,0.003498931,0.888721805,16.428571429,0.024662699,19.857142857,0.381349441,4.000000000,0.598752834,0.165178571,-0.339285714,0.838294936,6.571428571,1.772757553,0.436734694,0.469387755,0.315561762,0.737797585
ETT-small,dataset/ETT-small/ETTh1.csv,val,11,2144,96,96,7,mean,train_split_standard,0.273188794,0.183950889,3.846191954,11.428571429,0.344127073,0.075347800,0.918796992,12.571428571,0.014383232,23.714285714,0.207029821,6.000000000,0.176975406,-0.010416667,0.089285714,0.777482536,6.857142857,1.800975635,0.616326531,0.542857143,0.266474377,0.735838230
ETT-small,dataset/ETT-small/ETTh1.csv,val,12,2646,96,96,7,mean,train_split_standard,-0.067271779,-0.049925422,4.062689381,11.428571429,0.394801646,0.033796635,0.891729323,13.000000000,0.030114683,23.571428571,0.276535710,6.571428571,0.254353193,-0.004464286,0.092261905,0.795090401,7.285714286,1.760432484,0.604081633,0.571428571,0.287511828,0.700027987
ETT-small,dataset/ETT-small/ETTh1.csv,val,13,2497,96,96,7,mean,train_split_standard,0.364910398,0.360992061,6.158402607,18.714285714,0.389725889,0.014903769,0.875187970,25.000000000,0.061204473,22.571428571,0.342028800,10.285714286,0.136897711,0.470238095,-0.171875000,0.884616381,7.142857143,1.730128848,0.391836735,0.767346939,0.231411959,0.593485831
ETT-small,dataset/ETT-small/ETTh1.csv,val,14,691,96,96,7,mean,train_split_standard,0.605947843,0.583425926,5.290508707,13.000000000,0.433386598,0.009490991,0.845112782,16.428571429,0.036761025,19.571428571,0.438413550,8.428571429,0.392675346,0.138392857,0.062500000,0.873567784,8.285714286,1.750345947,0.583673469,0.477551020,0.287511828,0.623964727
ETT-small,dataset/ETT-small/ETTh1.csv,val,15,918,96,96,7,mean,train_split_standard,0.665011305,0.826576668,6.547126262,11.000000000,0.485095701,0.006416137,0.702255639,32.285714286,0.081514550,18.142857143,0.285947056,7.285714286,0.107354450,-0.587797619,0.461309524,0.842670356,7.000000000,1.589884627,0.571428571,0.612244898,0.175312090,0.619522099
ETT-small,dataset/ETT-small/ETTh1.csv,val,16,2473,96,96,7,mean,train_split_standard,0.589607567,0.322638773,6.597568282,16.857142857,0.404215817,0.017745816,0.836090226,24.714285714,0.058996940,16.428571429,0.210175671,10.285714286,0.142559524,0.140625000,-0.080357143,0.821389384,7.000000000,1.753826114,0.620408163,0.746938776,0.224399475,0.659498497
ETT-small,dataset/ETT-small/ETTh1.csv,val,17,1233,96,96,7,mean,train_split_standard,0.174437013,0.216492348,3.428029334,10.714285714,0.305160348,-0.069102692,0.903759398,15.142857143,0.016768926,21.000000000,0.217859894,5.285714286,0.252040816,0.150297619,0.089285714,0.782432549,6.142857143,1.849923549,0.563265306,0.200000000,0.301536795,0.749329732
ETT-small,dataset/ETT-small/ETTh1.csv,val,18,286,96,96,7,mean,train_split_standard,0.264350903,0.183668119,3.968459013,8.857142857,0.372643701,0.099241250,0.914285714,16.428571429,0.062974721,20.285714286,0.256220343,5.571428571,0.160878489,0.020833333,-0.159970238,0.815755400,7.000000000,1.830466533,0.693877551,0.473469388,0.280499344,0.706816731
ETT-small,dataset/ETT-small/ETTh1.csv,val,19,2405,96,96,7,mean,train_split_standard,0.057357621,-0.063823165,4.822320375,12.714285714,0.332502088,-0.053146891,0.897744361,19.000000000,0.019509330,20.285714286,0.243758056,6.714285714,0.210292813,-0.168154762,0.230654762,0.814188740,6.428571429,1.787049026,0.746938776,0.551020408,0.252449410,0.695264497
ETT-small,dataset/ETT-small/ETTh1.csv,val,20,1893,96,96,7,mean,train_split_standard,0.514423810,-0.212755248,3.034704519,8.285714286,0.284470989,-0.077778013,0.914285714,15.000000000,0.022826349,16.571428571,0.231135595,4.142857143,0.332653061,-0.090773810,0.400297619,0.773365970,6.714285714,1.859404315,0.351020408,0.514285714,0.406724049,0.807212396
ETT-small,dataset/ETT-small/ETTh1.csv,val,21,820,96,96,7,mean,train_split_standard,0.077132902,-0.039414869,3.795725953,19.857142857,0.403323766,-0.078506502,0.691729323,22.571428571,0.098622906,13.857142857,0.422532341,9.000000000,0.609523810,0.156250000,0.239583333,0.859976373,8.571428571,1.274414440,0.375510204,0.400000000,0.315561762,0.649084310
ETT-small,dataset/ETT-small/ETTh1.csv,val,22,402,96,96,7,mean,train_split_standard,0.139411785,0.213609386,4.312766184,10.285714286,0.311830813,0.057571314,0.911278195,16.285714286,0.033601726,23.000000000,0.224526404,6.285714286,0.120715594,0.232142857,-0.034226190,0.813883143,7.571428571,1.817678420,0.673469388,0.542857143,0.238424442,0.718735744
ETT-small,dataset/ETT-small/ETTh1.csv,val,23,172,96,96,7,mean,train_split_standard,0.128026092,0.166835620,4.112202354,9.857142857,0.286642668,0.019699239,0.918796992,17.142857143,0.028765536,20.000000000,0.234664541,5.571428571,0.198503401,-0.168154762,0.010416667,0.771674832,5.857142857,1.895176545,0.493877551,0.657142857,0.287511828,0.758536386
ETT-small,dataset/ETT-small/ETTh1.csv,val,24,1600,96,96,7,mean,train_split_standard,-0.657090625,-0.558451630,12.792363723,29.857142857,0.593443239,-0.022121327,0.747368421,26.428571429,0.101691869,15.857142857,0.503823196,6.571428571,0.274476769,-0.501488095,0.241071429,0.887064542,7.571428571,1.612704221,0.702040816,0.567346939,0.126224705,0.479929339
