dataset,data_path,split,sample_rank,sample_index,seq_len,pred_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
ETT-small,dataset/ETT-small/ETTh1.csv,val,1,861,96,96,7,median,train_split_standard,0.640658392,0.610271056,5.414147427,12.000000000,0.643171056,0.011289740,0.684210526,24.000000000,0.039704524,11.000000000,0.282656508,7.000000000,0.200000000,0.171875000,-0.166666667,0.913639536,9.000000000,1.474668397,0.485714286,0.600000000,0.245436926,0.479376983
ETT-small,dataset/ETT-small/ETTh1.csv,val,2,197,96,96,7,median,train_split_standard,0.044244976,0.116472536,3.021760460,8.000000000,0.255015121,-0.008789199,0.926315789,16.000000000,0.007889546,23.000000000,0.189659672,5.000000000,0.142857143,0.416666667,-0.041666667,0.733747938,7.000000000,1.873775539,0.457142857,0.714285714,0.294524311,0.823071844
ETT-small,dataset/ETT-small/ETTh1.csv,val,3,1733,96,96,7,median,train_split_standard,0.065946309,0.273076346,3.306028988,8.000000000,0.310810727,0.014938883,0.884210526,16.000000000,0.020740741,23.000000000,0.237581773,5.000000000,0.200000000,0.093750000,-0.072916667,0.776784318,7.000000000,1.917914233,0.628571429,0.314285714,0.294524311,0.823151903
ETT-small,dataset/ETT-small/ETTh1.csv,val,4,1526,96,96,7,median,train_split_standard,0.113959235,0.080090921,3.876380816,9.000000000,0.380672550,-0.009255660,0.894736842,18.000000000,0.046296296,23.000000000,0.302542847,6.000000000,0.080000000,-0.520833333,0.062500000,0.839818708,8.000000000,1.731779225,0.485714286,0.800000000,0.245436926,0.646030915
ETT-small,dataset/ETT-small/ETTh1.csv,val,5,1244,96,96,7,median,train_split_standard,0.407087375,0.330698321,2.836492048,8.000000000,0.280926459,-0.015706459,0.926315789,11.000000000,0.009861933,23.000000000,0.195156443,4.000000000,0.200000000,0.458333333,-0.020833333,0.765309710,6.000000000,1.853089279,0.571428571,0.485714286,0.343611696,0.835142517
ETT-small,dataset/ETT-small/ETTh1.csv,val,6,1372,96,96,7,median,train_split_standard,0.266842168,0.065366206,6.804716841,10.000000000,0.527055616,-0.018300297,0.884210526,36.000000000,0.040000000,23.000000000,0.260303398,6.000000000,0.066666667,0.395833333,-0.291666667,0.895778023,6.000000000,1.702961192,0.485714286,0.571428571,0.147262156,0.553843455
ETT-small,dataset/ETT-small/ETTh1.csv,val,7,271,96,96,7,median,train_split_standard,0.399154493,0.399957563,3.874221646,8.000000000,0.423831672,0.043770422,0.905263158,16.000000000,0.022222222,23.000000000,0.290907036,5.000000000,0.111111111,0.265625000,0.093750000,0.880582174,8.000000000,1.761163427,0.771428571,0.600000000,0.245436926,0.668764177
ETT-small,dataset/ETT-small/ETTh1.csv,val,8,538,96,96,7,median,train_split_standard,-0.232362269,-0.031620025,2.696440341,7.000000000,0.252170740,-0.005755068,0.957894737,15.000000000,0.017777778,23.000000000,0.132536023,3.000000000,0.250000000,0.239583333,-0.166666667,0.726324897,6.000000000,1.821891148,0.342857143,0.600000000,0.294524311,0.855030043
ETT-small,dataset/ETT-small/ETTh1.csv,val,9,1669,96,96,7,median,train_split_standard,0.012010042,-0.288834041,3.879720769,11.000000000,0.369288610,0.093613250,0.684210526,20.000000000,0.027548209,23.000000000,0.123027499,6.000000000,0.142857143,0.104166667,0.000000000,0.815731906,7.000000000,1.537790868,0.657142857,0.600000000,0.294524311,0.697370812
ETT-small,dataset/ETT-small/ETTh1.csv,val,10,2566,96,96,7,median,train_split_standard,0.360337783,-0.754638758,3.112689355,8.000000000,0.285776878,-0.024857203,0.884210526,17.000000000,0.019390582,23.000000000,0.338233332,4.000000000,0.666666667,0.078125000,-0.166666667,0.866285310,7.000000000,1.821129270,0.457142857,0.371428571,0.294524311,0.755174035
