group_id,group_rank,dataset_id,dataset_name,frequency,dataset_dir,n_arrow_files
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,1
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,1
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,1
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,1
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,1
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,1
group_002,2,ECDC_COVID/W,ECDC_COVID,W,TIME/ECDC_COVID/W,1
group_002,3,Uncertainty_1M/M,Uncertainty_1M,M,TIME/Uncertainty_1M/M,1
group_002,4,Water_Quality_Darwin/15T,Water_Quality_Darwin,15T,TIME/Water_Quality_Darwin/15T,1
group_002,5,Global_Price/Q,Global_Price,Q,TIME/Global_Price/Q,1
group_003,1,current_velocity/5T,current_velocity,5T,TIME/current_velocity/5T,1
group_003,2,ECDC_COVID/D,ECDC_COVID,D,TIME/ECDC_COVID/D,1
group_003,3,Global_Influenza/W,Global_Influenza,W,TIME/Global_Influenza/W,1
group_003,4,Coastal_T_S/20T,Coastal_T_S,20T,TIME/Coastal_T_S/20T,1
group_003,5,SG_PM25/H,SG_PM25,H,TIME/SG_PM25/H,1
group_004,1,Job_Claims/W,Job_Claims,W,TIME/Job_Claims/W,1
group_004,2,azure2019_D/5T,azure2019_D,5T,TIME/azure2019_D/5T,1
group_004,3,current_velocity/15T,current_velocity,15T,TIME/current_velocity/15T,1
group_004,4,Australia_Solar/H,Australia_Solar,H,TIME/Australia_Solar/H,1
group_004,5,MetroPT-3/5T,MetroPT-3,5T,TIME/MetroPT-3/5T,1
group_005,1,Coastal_T_S/15T,Coastal_T_S,15T,TIME/Coastal_T_S/15T,1
group_005,2,Housing_Inventory/M,Housing_Inventory,M,TIME/Housing_Inventory/M,1
group_005,3,EWELD_Load/15T,EWELD_Load,15T,TIME/EWELD_Load/15T,1
group_005,4,Coastal_T_S/5T,Coastal_T_S,5T,TIME/Coastal_T_S/5T,1
group_005,5,NE_China_Wind/H,NE_China_Wind,H,TIME/NE_China_Wind/H,1
group_006,1,Commodity_Import/M,Commodity_Import,M,TIME/Commodity_Import/M,1
group_006,2,SG_Carpark/15T,SG_Carpark,15T,TIME/SG_Carpark/15T,1
group_006,3,Oil_Price/B,Oil_Price,B,TIME/Oil_Price/B,1
group_006,4,azure2019_I/5T,azure2019_I,5T,TIME/azure2019_I/5T,1
group_006,5,Finland_Traffic/15T,Finland_Traffic,15T,TIME/Finland_Traffic/15T,1
group_007,1,azure2019_U/5T,azure2019_U,5T,TIME/azure2019_U/5T,1
group_007,2,OpenElectricity_NEM/5T,OpenElectricity_NEM,5T,TIME/OpenElectricity_NEM/5T,1
group_007,3,SG_Weather/D,SG_Weather,D,TIME/SG_Weather/D,1
group_007,4,Auto_Production_SF/M,Auto_Production_SF,M,TIME/Auto_Production_SF/M,1
group_007,5,Vehicle_Supply/M,Vehicle_Supply,M,TIME/Vehicle_Supply/M,1
group_008,1,WUI_Global/Q,WUI_Global,Q,TIME/WUI_Global/Q,1
group_008,2,CPHL/H,CPHL,H,TIME/CPHL/H,1
group_008,3,Supply_Chain_Customer/D,Supply_Chain_Customer,D,TIME/Supply_Chain_Customer/D,1
group_008,4,Supply_Chain_Location/D,Supply_Chain_Location,D,TIME/Supply_Chain_Location/D,1
group_008,5,Port_Activity/W,Port_Activity,W,TIME/Port_Activity/W,1
group_009,1,Crypto/D,Crypto,D,TIME/Crypto/D,1
group_009,2,US_Term_Structure/B,US_Term_Structure,B,TIME/US_Term_Structure/B,1
group_009,3,US_Labor/M,US_Labor,M,TIME/US_Labor/M,1
group_009,4,Smart_Manufacturing/H,Smart_Manufacturing,H,TIME/Smart_Manufacturing/H,1
group_009,5,CPHL/15T,CPHL,15T,TIME/CPHL/15T,1
group_010,1,epf_electricity_price/H,epf_electricity_price,H,TIME/epf_electricity_price/H,1
group_010,2,Online_Retail_2_UCI/D,Online_Retail_2_UCI,D,TIME/Online_Retail_2_UCI/D,1
group_010,3,Coastal_T_S/H,Coastal_T_S,H,TIME/Coastal_T_S/H,1
group_010,4,Port_Activity/D,Port_Activity,D,TIME/Port_Activity/D,1
group_010,5,CPHL/30T,CPHL,30T,TIME/CPHL/30T,1
