group_id,group_rank,dataset_id,dataset_name,frequency,dataset_dir,arrow_path,sample_rank,candidate_index,row_index,variate_index,item_id,variate_name,series_length_original,series_length_used,downsampled,sampled_with_replacement,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,1,68,11,2,QLD_NWSROW_Quartermaster-Workhorse-ADCP-157.3_201118To210228,WCUR,2447,2447,False,False,0.054620833,-0.618644833,1.475660409,3.000000000,0.009368796,-0.401552539,0.964840556,12.000000000,0.000267789,5.000000000,0.075924036,2.000000000,0.111111111,-0.105026563,0.285247242,0.450841580,7.000000000,2.081505069,0.632653061,0.122448980,0.788466125,1.057300732
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,2,18,3,0,NRS_NRSMAI-ADCP_Sentinel-or-Monitor-Workhorse-ADCP-90_200704To210107,UCUR,4489,4489,False,False,0.514356352,0.054777995,4.284493506,9.000000000,0.206738082,-0.075729126,0.911096257,85.000000000,0.001728791,12.000000000,0.191066948,8.000000000,0.103448276,-0.263867231,0.210960125,0.877479785,19.000000000,1.734069688,0.224489796,0.204081633,0.244669936,0.667267020
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,3,62,10,2,QLD_NWSROW_Quartermaster-Workhorse-ADCP-155.2_211116To220416,WCUR,3607,3607,False,False,-0.729973354,-0.198075307,0.901922899,4.000000000,0.004746984,-0.181600389,0.962007765,16.000000000,0.000054200,5.000000000,0.115611047,3.000000000,0.250000000,0.141668977,0.063487663,0.359388964,8.000000000,2.161750988,0.122448980,0.183673469,1.012427320,1.100937632
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,4,104,17,2,SA_VBM100_Sentinel-or-Monitor-Workhorse-ADCP-93_210820To211201,WCUR,2496,2496,False,False,-1.060946726,-0.521934927,2.908019258,10.000000000,0.067507380,-0.049368360,0.964729459,40.000000000,0.005752827,10.000000000,0.125643296,9.000000000,0.028571429,0.300881410,-0.358974359,0.567633777,8.000000000,2.090119950,0.551020408,0.285714286,0.404970928,0.890124788
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,5,61,10,1,QLD_NWSROW_Quartermaster-Workhorse-ADCP-155.2_211116To220416,VCUR,3607,3607,False,False,0.040852701,-0.253572405,2.287751147,6.000000000,0.113517733,-0.001523293,0.943982252,10.000000000,0.005561708,11.000000000,0.328601953,2.000000000,0.750000000,0.104518991,0.059329082,0.917264889,10.000000000,1.834201749,0.122448980,0.326530612,0.506213660,0.940950982
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,1,3,0,3,item0,Q_TotalNonfarm,297,297,False,False,-0.400767438,-0.146985546,16.936384787,6.000000000,0.359972652,-0.054498688,0.945945946,36.000000000,0.125000000,11.000000000,0.451377652,5.000000000,0.015625000,0.700336700,-0.232323232,0.892550203,5.000000000,1.854215523,0.863636364,0.136363636,0.036815539,0.575800959
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,2,1,0,1,item0,H_TotalNonfarm,297,297,False,False,0.602885466,0.294482283,3.499764768,6.000000000,0.215293652,0.396074791,0.966216216,12.000000000,0.063333333,11.000000000,0.131921719,5.000000000,0.034482759,0.659932660,-0.252525253,0.818076913,7.000000000,1.944092735,0.795454545,0.363636364,0.515417545,0.767414667
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,3,4,0,4,item0,LAD_TotalNonfarm,297,297,False,False,-0.269166539,-0.597178329,1.419020448,2.000000000,0.104195921,-1.562316609,0.935810811,21.000000000,0.029947917,2.000000000,0.114253734,1.000000000,0.055555556,-0.370370370,0.644781145,0.539665304,5.000000000,2.028051897,0.136363636,0.659090909,0.527689391,0.944700390
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,4,5,0,5,item0,OS_TotalNonfarm,297,297,False,False,-0.299566658,-0.609860504,0.787797661,2.000000000,0.036739990,-1.131451155,0.956081081,9.000000000,0.004047967,2.000000000,0.094179061,1.000000000,0.500000000,-0.319865320,-0.033670034,0.263336485,6.000000000,2.165878937,0.227272727,0.863636364,1.055378782,1.103771076
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,5,0,0,0,item0,JO_TotalNonfarm,297,297,False,False,-0.971829822,-0.747655065,48.344923036,2.000000000,0.733681116,0.000422621,0.875000000,62.000000000,0.111111111,47.000000000,0.765730217,1.000000000,0.010526316,0.727272727,-0.343434343,0.972501084,6.000000000,1.552067926,0.204545455,0.795454545,0.024543693,0.212401621
