group_id,group_rank,dataset_id,dataset_name,frequency,dataset_dir,arrow_path,sample_rank,candidate_index,row_index,variate_index,item_id,variate_name,series_length_original,series_length_used,downsampled,sampled_with_replacement,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,1,68,11,2,QLD_NWSROW_Quartermaster-Workhorse-ADCP-157.3_201118To210228,WCUR,2447,2447,False,False,0.095662598,-0.795107385,-0.677909676,-0.553587205,-1.130664314,-0.693609733,0.923524248,-0.639708645,-0.665048291,-0.671556650,-0.877613631,-0.866950921,-0.130237403,-0.677734548,0.989517159,-1.284952555,-0.576071529,1.087363666,0.976098624,-1.075474053,1.186989133,1.314617267
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,2,18,3,0,NRS_NRSMAI-ADCP_Sentinel-or-Monitor-Workhorse-ADCP-90_200704To210107,UCUR,4489,4489,False,False,0.915780033,0.519468666,-0.588246256,-0.466999008,-0.539023645,0.156728861,0.432319303,-0.129674448,-0.639649520,-0.599501215,-0.577210959,-0.415413983,-0.162986692,-1.076679737,0.791101507,0.460427811,1.728214588,-0.158804803,-0.616305883,-0.773898963,-0.256288684,0.167606772
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,3,62,10,2,QLD_NWSROW_Quartermaster-Workhorse-ADCP-155.2_211116To220416,WCUR,3607,3607,False,False,-1.303966854,0.025878484,-0.696224494,-0.539155839,-1.144518811,-0.119575474,0.897633483,-0.611761566,-0.668761412,-0.671556650,-0.774072007,-0.791694765,0.463343467,-0.058132525,0.397212958,-1.659085950,-0.384047686,1.375186781,-1.014407010,-0.849292735,1.781399744,1.442944592
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,4,104,17,2,SA_VBM100_Sentinel-or-Monitor-Workhorse-ADCP-93_210820To211201,WCUR,2496,2496,False,False,-1.894386830,-0.606321794,-0.632185994,-0.452567642,-0.956386180,0.225525564,0.922508858,-0.444079090,-0.569693717,-0.620088482,-0.747898321,-0.340157827,-0.482994034,0.341746393,-0.731153320,-0.807154727,-0.384047686,1.118263206,0.657617723,-0.472323873,0.169162746,0.822986528
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,5,61,10,1,QLD_NWSROW_Quartermaster-Workhorse-ADCP-155.2_211116To220416,VCUR,3607,3607,False,False,0.071101769,-0.082456358,-0.651986159,-0.510293106,-0.818464032,0.350392303,0.732886314,-0.653682185,-0.573016222,-0.609794849,-0.218388328,-0.866950921,2.600234597,-0.151438657,0.386105682,0.623188995,0.000000000,0.200345196,-1.014407010,-0.321536328,0.437868912,0.972456115
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,1,3,0,3,item0,Q_TotalNonfarm,297,297,False,False,-0.716699827,0.125609847,-0.184373259,-0.510293106,-0.079682658,0.212136361,0.750833823,-0.472026169,1.503357207,-0.609794849,0.101927939,-0.641182452,-0.538324251,1.345020734,-0.392877090,0.522081013,-0.960119216,0.272129865,1.877254811,-1.024069208,-0.807950586,-0.101376470
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,2,1,0,1,item0,H_TotalNonfarm,297,297,False,False,1.073706203,0.987390902,-0.613296325,-0.510293106,-0.513377188,1.388049457,0.936097323,-0.639708645,0.431313846,-0.609794849,-0.731518199,-0.641182452,-0.457730296,1.243541700,-0.446835261,0.217410176,-0.576071529,0.594498150,1.611250877,-0.184456741,0.462296745,0.462120807
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,3,4,0,4,item0,LAD_TotalNonfarm,297,297,False,False,-0.481938345,-0.753203025,-0.679717734,-0.568018571,-0.846407404,-3.722988373,0.658202073,-0.576827717,-0.149074493,-0.702437550,-0.777613175,-0.942207078,-0.367669751,-1.344173671,1.949806869,-0.921573977,-0.960119216,0.895639790,-0.960120493,0.907039465,0.494867190,0.983482367
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,4,5,0,5,item0,OS_TotalNonfarm,297,297,False,False,-0.536168803,-0.777959662,-0.699867594,-0.568018571,-1.048615522,-2.598509560,0.843465573,-0.660668955,-0.599331832,-0.702437550,-0.829987092,-0.942207078,1.531789032,-1.217324878,0.137711600,-2.052037421,-0.768095373,1.389992756,-0.605448580,1.662690685,1.895396299,1.451277179
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,5,0,0,0,item0,JO_TotalNonfarm,297,297,False,False,-1.735412106,-1.046945834,0.818248421,-0.568018571,1.040558134,0.355470776,0.102411573,-0.290370154,1.261906000,-0.239224043,0.922059619,-0.942207078,-0.560114917,1.412673423,-0.689647034,0.849160715,-0.768095373,-0.811602042,-0.694116558,1.410806945,-0.840521031,-1.170060643
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,1,52,8,4,SA_SAM5CB_Sentinel-or-Monitor-Workhorse-ADCP-91.86_210915To220129,PRES_REL,9787,9787,False,False,-1.257982354,-0.434955755,-0.414250713,-0.293822614,0.982219264,0.354507700,-0.354992006,-0.311330463,-0.658816140,-0.362747645,2.097789261,-0.114389358,2.447599516,-0.509286033,0.277583656,0.934901480,2.304286118,-1.150651442,-0.321711049,-0.788977717,-0.672579677,-0.994716719
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,2,91,15,1,SA_SAM8SG_Sentinel-or-Monitor-Workhorse-ADCP-41.6955_221216To230206,VCUR,3749,3749,False,False,0.109139669,-0.980946994,-0.324347264,-0.178371685,0.920369962,0.352684917,0.113385024,0.869433637,-0.608224019,0.018116795,1.102326765,0.337147581,-0.391412985,-1.048382633,0.164234917,0.850187127,1.152143059,-0.847745854,-0.297824982,-0.698505190,-0.673597503,-0.931482776
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,3,139,23,1,SA_VBM100_Sentinel-or-Monitor-Workhorse-ADCP-95.19_220731To221029,VCUR,6475,6475,False,False,1.477952706,1.395547197,3.115853090,4.006724493,1.352847145,0.354116382,-1.190397995,4.390765629,-0.534490983,4.238506531,1.215961388,1.992783021,-0.585037393,0.703182168,-0.058219758,0.925542239,0.000000000,-1.518191083,1.214959300,0.658582715,-0.881234086,-1.371643278
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,4,86,14,2,SA_SAM5CB_Sentinel-or-Monitor-Workhorse-ADCP-92_201124To210504,WCUR,11603,11603,False,False,2.005812549,1.389212484,-0.678112211,-0.539155839,-1.067014272,0.149944777,0.277492660,-0.367224622,-0.633360658,-0.403922179,-0.742709792,-0.791694765,-0.579813446,0.510559094,-0.487107412,-1.096425156,-0.768095373,1.145636237,-0.711850154,-1.084521306,0.818535981,0.998166693
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,5,148,24,4,SA_VBM100_Sentinel-or-Monitor-Workhorse-ADCP-95.7607_221210To230306,PRES_REL,6211,6211,False,False,0.155041804,0.072466540,-0.335430587,-0.221665784,1.241858445,0.355310553,-0.636046948,-0.311330463,-0.597746027,0.018116795,3.017159492,0.261891424,2.244086075,0.339411323,-0.005435524,0.942089751,2.688333804,-1.389326449,-0.536685658,-1.000080280,-0.673597503,-1.137880525
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,1,0,0,0,item0,LWVS_AutosandLightTrucks,596,596,False,False,0.254641973,1.288263503,0.111306856,0.124687003,0.325322577,0.093908809,0.046728734,0.079928647,0.014408095,0.656322072,-0.441792751,1.992783021,-0.514170561,0.176025395,-1.659038182,0.523635386,-0.384047686,-0.609372553,1.911212760,1.066029911,-0.807950586,-0.440612312
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,2,6,0,6,item0,MVRS_DomesticandForeignAutos,596,596,False,False,0.583081721,0.499209118,1.411000435,0.341157495,1.252284171,0.261696343,-0.844196692,0.555028995,2.227710830,0.440155769,-0.003886611,-0.942207078,-0.585407249,-2.027951095,2.495243108,0.791115011,-0.576071529,-0.753647478,-0.994078442,1.694846056,-0.873091475,-1.022774597
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,3,4,0,4,item0,MVRS_ForeignLightWeightTrucks,596,596,False,False,-1.450725893,-1.569399823,1.884117013,1.250333562,1.595676470,0.349393452,-2.242027962,0.338439130,2.227710830,0.954837444,0.663538754,1.992783021,-0.586520436,1.600392610,-1.031638635,0.890070837,0.000000000,-1.453177167,-0.994078442,1.537642020,-0.873091475,-1.334008907
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,4,9,0,9,item0,TotalVehicleSales,596,596,False,False,0.234391406,1.247582779,0.113784449,0.124687003,0.457825686,0.114254287,0.000646384,0.079928647,0.014408095,0.656322072,-0.413612339,1.992783021,-0.514170561,0.197095916,-1.650075332,0.546832801,-0.384047686,-0.609372553,1.911212760,1.066029911,-0.807950586,-0.473986922
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,5,2,0,2,item0,MVRS_DomesticLightWeightTrucks,596,596,False,False,0.301881157,-1.280483483,1.886107904,1.870882305,1.722648683,0.343872060,-1.658318201,0.184730194,2.227710830,0.718083873,0.580783481,-0.114389358,-0.587294672,1.541395151,-1.782277379,0.861779937,-0.192023843,-1.089661039,-0.911070122,-1.056224579,-0.873091475,-1.225555135
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,1,43,7,1,QLD_NWSLYN_Sentinel-or-Monitor-Workhorse-ADCP-157_221101To221223,VCUR,7481,7481,False,False,-0.209740778,0.878330505,-0.280778103,-0.005195292,0.257427416,0.369168022,0.102411573,-0.234475995,-0.665369539,0.028410428,-0.422066459,0.562916050,-0.419285478,0.145714939,0.950981436,0.698801354,1.344166902,-0.584440391,-0.058964306,-0.547717645,-0.681740114,-0.583204413
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,2,56,9,2,WA_WATR50_Signature55-489_210211To210407,WCUR,7885,7885,False,False,0.282926249,-0.545360407,-0.697819464,-0.553587205,-1.129526270,0.567358234,0.766092291,-0.520933558,-0.664464840,-0.527445781,-0.772250236,-0.866950921,-0.440725858,-0.739804998,-0.284864942,-1.584162919,-0.384047686,1.417657619,0.302511518,-0.345662335,1.893360646,1.274081451
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,3,40,6,4,QLD_NWSBAR_Quartermaster-Workhorse-ADCP-164.5_201007To210307,PRES_REL,21807,21807,False,False,-0.129164660,-0.454005797,-0.247647956,-0.048489390,0.241242331,0.345114106,0.485815658,0.065955107,-0.664552469,0.028410428,0.229501887,0.487659893,-0.410839268,0.443753867,0.021997339,0.713680118,0.192023843,-0.304582151,-0.243683229,-0.641205923,-0.681740114,-0.726827598
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,4,2,0,2,NRS_NRSDAR_Sentinel-or-Monitor-Workhorse-ADCP-17.5_221106To230525,WCUR,28905,28905,False,False,1.675751282,-1.309177463,-0.698175731,-0.308253981,-1.119497470,0.402835473,0.651031851,-0.513946788,-0.664896847,-0.414215812,-0.792508167,0.261891424,-0.380166190,0.380154531,-0.126171955,-1.504978743,-0.576071529,1.418713411,-0.711850154,-0.567320026,1.858754549,1.189833842
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,5,59,9,5,WA_WATR50_Signature55-489_210211To210407,ABSIC1,7885,7885,False,False,0.479315331,2.207363754,-0.240048647,-0.322685347,-0.997102517,0.032214706,-2.717506939,0.813539478,-0.352028725,-0.012764106,-0.807920518,0.337147581,-0.592151243,-1.529758469,0.783845595,-0.440533300,-0.768095373,0.365148329,0.224483697,1.427599195,-0.594207045,0.434556680
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,1,9,9,0,CrudeCottonseedOilProductionforUnitedStates_m,target,472,472,False,False,-2.241567922,-1.768040652,-0.343262838,-0.254358945,-1.064800348,4.155784557,1.227675886,-0.349099213,-0.404478371,-1.074937362,-0.940169741,-1.557755679,3.910519920,-0.245968279,0.251773184,-0.894094366,-0.622934706,1.634492664,-1.267315717,0.424012010,3.746532673,2.702988760
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,2,13,13,0,FineWritingPaperProductionforUnitedStates_m,target,192,192,False,False,0.777524794,0.344720107,-0.297386577,-0.243879424,-0.161415055,0.011387880,0.927350919,-0.314283630,0.907013867,-1.074937362,-0.116810803,-0.865419822,-0.634956238,0.684482814,-0.984610631,-0.214821131,-0.999709730,1.072677873,-1.138805457,0.970145691,-0.536860672,0.223220496
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,3,12,12,0,EvaporatedMilk_CaseGoods_ProductionforUnitedStates_m,target,456,456,False,False,0.317661335,-1.023649147,-0.339339703,-0.254358945,-0.745508500,-0.069062366,1.008403300,-0.341799171,0.052247838,-1.074937362,-0.137987712,-1.298129733,-0.567264858,0.722820872,-1.062259337,0.321956835,-0.874118055,0.586304328,-1.035997249,-0.850299914,-0.641333680,1.014269631
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,4,23,23,0,Shortening(LardCompoundsandOtherLardSubstitutes)ProductionforUnitedStates_m,target,162,162,False,False,0.603329263,0.179049848,-0.341563034,-0.258550754,-2.192940822,1.376819014,1.261304935,-0.347976129,1.063313941,-1.074937362,-1.387655163,-1.471213697,-0.528100560,1.424351406,-0.221650853,-3.900045157,-1.376484753,2.561630936,-1.197920177,0.551443202,2.388383563,2.130763430
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,5,19,19,0,LubricantsProductionforUnitedStates_m,target,479,479,False,False,-0.455002195,0.332727632,-0.228723887,-0.233399902,1.890609450,-0.285590184,0.663533092,-0.262621799,1.883889329,1.015702564,0.120792349,-1.298129733,-0.715316117,1.292631089,-1.436687844,0.403106440,-1.250893079,-0.213381679,1.277187435,1.379745952,-0.641333680,-0.875332975
group_002,2,ECDC_COVID/W,ECDC_COVID,W,TIME/ECDC_COVID/W,TIME/ECDC_COVID/W/data-00000-of-00001.arrow,1,11,11,0,Netherlands,target,196,196,False,False,-0.954142737,-0.937946426,-0.338337789,-0.218728572,-0.404007464,1.377928787,0.395760797,-0.335622213,-0.721111903,-0.182059893,-1.003718535,-0.519251893,0.803485584,-1.638632823,1.133033320,-0.399727285,0.256207016,0.164811467,0.296837736,-1.821204237,0.507869412,0.803547782
