group_id,group_rank,dataset_id,dataset_name,frequency,dataset_dir,arrow_path,sample_rank,candidate_index,row_index,variate_index,item_id,variate_name,series_length_original,series_length_used,downsampled,sampled_with_replacement,pc1,pc2,pc1_explained_ratio,pc2_explained_ratio
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,1,68,11,2,QLD_NWSROW_Quartermaster-Workhorse-ADCP-157.3_201118To210228,WCUR,2447,2447,False,False,3.635638614,-0.514937191,0.400166646,0.144476907
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,2,18,3,0,NRS_NRSMAI-ADCP_Sentinel-or-Monitor-Workhorse-ADCP-90_200704To210107,UCUR,4489,4489,False,False,0.966960064,0.980983085,0.400166646,0.144476907
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,3,62,10,2,QLD_NWSROW_Quartermaster-Workhorse-ADCP-155.2_211116To220416,WCUR,3607,3607,False,False,3.824563090,0.196607796,0.400166646,0.144476907
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,4,104,17,2,SA_VBM100_Sentinel-or-Monitor-Workhorse-ADCP-93_210820To211201,WCUR,2496,2496,False,False,2.230080495,-0.129399343,0.400166646,0.144476907
group_001,1,current_velocity/H,current_velocity,H,TIME/current_velocity/H,TIME/current_velocity/H/data-00000-of-00001.arrow,5,61,10,1,QLD_NWSROW_Quartermaster-Workhorse-ADCP-155.2_211116To220416,VCUR,3607,3607,False,False,1.967026661,1.773238625,0.400166646,0.144476907
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,1,3,0,3,item0,Q_TotalNonfarm,297,297,False,False,0.044511729,-0.086766831,0.400166646,0.144476907
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,2,1,0,1,item0,H_TotalNonfarm,297,297,False,False,1.174924653,-1.145119974,0.400166646,0.144476907
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,3,4,0,4,item0,LAD_TotalNonfarm,297,297,False,False,3.496248766,-0.361748713,0.400166646,0.144476907
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,4,5,0,5,item0,OS_TotalNonfarm,297,297,False,False,4.376382518,-0.377208839,0.400166646,0.144476907
group_001,2,JOLTS/M,JOLTS,M,TIME/JOLTS/M,TIME/JOLTS/M/data-00000-of-00001.arrow,5,0,0,0,item0,JO_TotalNonfarm,297,297,False,False,-1.831784451,1.240857381,0.400166646,0.144476907
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,1,52,8,4,SA_SAM5CB_Sentinel-or-Monitor-Workhorse-ADCP-91.86_210915To220129,PRES_REL,9787,9787,False,False,-1.435507204,4.325123031,0.400166646,0.144476907
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,2,91,15,1,SA_SAM8SG_Sentinel-or-Monitor-Workhorse-ADCP-41.6955_221216To230206,VCUR,3749,3749,False,False,-1.463868309,1.669090860,0.400166646,0.144476907
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,3,139,23,1,SA_VBM100_Sentinel-or-Monitor-Workhorse-ADCP-95.19_220731To221029,VCUR,6475,6475,False,False,-7.297105515,-3.777896710,0.400166646,0.144476907
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,4,86,14,2,SA_SAM5CB_Sentinel-or-Monitor-Workhorse-ADCP-92_201124To210504,WCUR,11603,11603,False,False,2.552222630,-1.462348899,0.400166646,0.144476907
group_001,3,current_velocity/20T,current_velocity,20T,TIME/current_velocity/20T,TIME/current_velocity/20T/data-00000-of-00001.arrow,5,148,24,4,SA_VBM100_Sentinel-or-Monitor-Workhorse-ADCP-95.7607_221210To230306,PRES_REL,6211,6211,False,False,-2.356992270,4.222492438,0.400166646,0.144476907
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,1,0,0,0,item0,LWVS_AutosandLightTrucks,596,596,False,False,-1.861614251,-1.907279448,0.400166646,0.144476907
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,2,6,0,6,item0,MVRS_DomesticandForeignAutos,596,596,False,False,-2.106483325,-0.438727088,0.400166646,0.144476907
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,3,4,0,4,item0,MVRS_ForeignLightWeightTrucks,596,596,False,False,-4.999618200,0.165302683,0.400166646,0.144476907
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,4,9,0,9,item0,TotalVehicleSales,596,596,False,False,-1.940505596,-1.854278048,0.400166646,0.144476907
group_001,4,Vehicle_Sales/M,Vehicle_Sales,M,TIME/Vehicle_Sales/M,TIME/Vehicle_Sales/M/data-00000-of-00001.arrow,5,2,0,2,item0,MVRS_DomesticLightWeightTrucks,596,596,False,False,-4.167942144,0.330499771,0.400166646,0.144476907
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,1,43,7,1,QLD_NWSLYN_Sentinel-or-Monitor-Workhorse-ADCP-157_221101To221223,VCUR,7481,7481,False,False,-0.735361835,0.732216700,0.400166646,0.144476907
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,2,56,9,2,WA_WATR50_Signature55-489_210211To210407,WCUR,7885,7885,False,False,3.507859987,-0.892340677,0.400166646,0.144476907
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,3,40,6,4,QLD_NWSBAR_Quartermaster-Workhorse-ADCP-164.5_201007To210307,PRES_REL,21807,21807,False,False,-0.735861262,0.750609993,0.400166646,0.144476907
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,4,2,0,2,NRS_NRSDAR_Sentinel-or-Monitor-Workhorse-ADCP-17.5_221106To230525,WCUR,28905,28905,False,False,3.066321046,-1.028043830,0.400166646,0.144476907
group_001,5,current_velocity/10T,current_velocity,10T,TIME/current_velocity/10T,TIME/current_velocity/10T/data-00000-of-00001.arrow,5,59,9,5,WA_WATR50_Signature55-489_210211To210407,ABSIC1,7885,7885,False,False,0.089904108,-2.410926769,0.400166646,0.144476907
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,1,9,9,0,CrudeCottonseedOilProductionforUnitedStates_m,target,472,472,False,False,-6.454991609,3.030648767,0.359701679,0.178717801
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,2,13,13,0,FineWritingPaperProductionforUnitedStates_m,target,192,192,False,False,-1.437243465,-2.224952642,0.359701679,0.178717801
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,3,12,12,0,EvaporatedMilk_CaseGoods_ProductionforUnitedStates_m,target,456,456,False,False,-1.791468846,-0.921524114,0.359701679,0.178717801
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,4,23,23,0,Shortening(LardCompoundsandOtherLardSubstitutes)ProductionforUnitedStates_m,target,162,162,False,False,-5.767865648,-2.503390696,0.359701679,0.178717801
group_002,1,Commodity_Production/M,Commodity_Production,M,TIME/Commodity_Production/M,TIME/Commodity_Production/M/data-00000-of-00001.arrow,5,19,19,0,LubricantsProductionforUnitedStates_m,target,479,479,False,False,-0.165570432,-2.266705281,0.359701679,0.178717801
group_002,2,ECDC_COVID/W,ECDC_COVID,W,TIME/ECDC_COVID/W,TIME/ECDC_COVID/W/data-00000-of-00001.arrow,1,11,11,0,Netherlands,target,196,196,False,False,-1.563761126,2.654259722,0.359701679,0.178717801
group_002,2,ECDC_COVID/W,ECDC_COVID,W,TIME/ECDC_COVID/W,TIME/ECDC_COVID/W/data-00000-of-00001.arrow,2,14,14,0,Slovenia,target,160,160,False,False,0.365593066,2.190200612,0.359701679,0.178717801
group_002,2,ECDC_COVID/W,ECDC_COVID,W,TIME/ECDC_COVID/W,TIME/ECDC_COVID/W/data-00000-of-00001.arrow,3,8,8,0,Liechtenstein,target,163,163,False,False,-2.124101238,0.774071572,0.359701679,0.178717801
group_002,2,ECDC_COVID/W,ECDC_COVID,W,TIME/ECDC_COVID/W,TIME/ECDC_COVID/W/data-00000-of-00001.arrow,4,2,2,0,Bulgaria,target,188,188,False,False,1.804938502,1.539668919,0.359701679,0.178717801
group_002,2,ECDC_COVID/W,ECDC_COVID,W,TIME/ECDC_COVID/W,TIME/ECDC_COVID/W/data-00000-of-00001.arrow,5,13,13,0,Slovakia,target,160,160,False,False,0.673471366,2.326483667,0.359701679,0.178717801
group_002,3,Uncertainty_1M/M,Uncertainty_1M,M,TIME/Uncertainty_1M/M,TIME/Uncertainty_1M/M/data-00000-of-00001.arrow,1,1,0,1,item0,LMN_FinUnc_1M,780,780,False,True,1.101280387,1.336856603,0.359701679,0.178717801
group_002,3,Uncertainty_1M/M,Uncertainty_1M,M,TIME/Uncertainty_1M/M,TIME/Uncertainty_1M/M/data-00000-of-00001.arrow,2,1,0,1,item0,LMN_FinUnc_1M,780,780,False,True,1.101280387,1.336856603,0.359701679,0.178717801
group_002,3,Uncertainty_1M/M,Uncertainty_1M,M,TIME/Uncertainty_1M/M,TIME/Uncertainty_1M/M/data-00000-of-00001.arrow,3,0,0,0,item0,JLN_MacroUnc_1M,780,780,False,True,0.870199888,0.978942216,0.359701679,0.178717801
group_002,3,Uncertainty_1M/M,Uncertainty_1M,M,TIME/Uncertainty_1M/M,TIME/Uncertainty_1M/M/data-00000-of-00001.arrow,4,0,0,0,item0,JLN_MacroUnc_1M,780,780,False,True,0.870199888,0.978942216,0.359701679,0.178717801
group_002,3,Uncertainty_1M/M,Uncertainty_1M,M,TIME/Uncertainty_1M/M,TIME/Uncertainty_1M/M/data-00000-of-00001.arrow,5,1,0,1,item0,LMN_FinUnc_1M,780,780,False,True,1.101280387,1.336856603,0.359701679,0.178717801
group_002,4,Water_Quality_Darwin/15T,Water_Quality_Darwin,15T,TIME/Water_Quality_Darwin/15T,TIME/Water_Quality_Darwin/15T/data-00000-of-00001.arrow,1,19,3,1,item_3,DOX2,15334,15334,False,False,3.993154041,0.855995551,0.359701679,0.178717801
group_002,4,Water_Quality_Darwin/15T,Water_Quality_Darwin,15T,TIME/Water_Quality_Darwin/15T,TIME/Water_Quality_Darwin/15T/data-00000-of-00001.arrow,2,20,3,2,item_3,PSAL,15334,15334,False,False,4.889154550,-5.074370297,0.359701679,0.178717801
group_002,4,Water_Quality_Darwin/15T,Water_Quality_Darwin,15T,TIME/Water_Quality_Darwin/15T,TIME/Water_Quality_Darwin/15T/data-00000-of-00001.arrow,3,34,5,4,item_5,TURB,10823,10823,False,False,0.854714873,0.258812019,0.359701679,0.178717801
group_002,4,Water_Quality_Darwin/15T,Water_Quality_Darwin,15T,TIME/Water_Quality_Darwin/15T,TIME/Water_Quality_Darwin/15T/data-00000-of-00001.arrow,4,31,5,1,item_5,DOX2,10823,10823,False,False,6.965224679,0.723881393,0.359701679,0.178717801
group_002,4,Water_Quality_Darwin/15T,Water_Quality_Darwin,15T,TIME/Water_Quality_Darwin/15T,TIME/Water_Quality_Darwin/15T/data-00000-of-00001.arrow,5,28,4,4,item_4,TURB,18759,18759,False,False,0.618152201,0.042602225,0.359701679,0.178717801
group_002,5,Global_Price/Q,Global_Price,Q,TIME/Global_Price/Q,TIME/Global_Price/Q/data-00000-of-00001.arrow,1,44,0,44,item0,GlobalpriceofSoftSawnwood_AverageofSoftwoods_,142,142,False,False,-1.983534443,-3.701274481,0.359701679,0.178717801
group_002,5,Global_Price/Q,Global_Price,Q,TIME/Global_Price/Q,TIME/Global_Price/Q/data-00000-of-00001.arrow,2,32,0,32,item0,GlobalpriceofNaturalGas_USHenryHubGas,142,142,False,False,-2.696552548,-0.816736877,0.359701679,0.178717801
group_002,5,Global_Price/Q,Global_Price,Q,TIME/Global_Price/Q,TIME/Global_Price/Q/data-00000-of-00001.arrow,3,2,0,2,item0,GlobalpriceofAgr.RawMaterialIndex,142,142,False,False,-0.273538929,-1.333342898,0.359701679,0.178717801
group_002,5,Global_Price/Q,Global_Price,Q,TIME/Global_Price/Q,TIME/Global_Price/Q/data-00000-of-00001.arrow,4,17,0,17,item0,GlobalpriceofEnergyindex,142,142,False,False,-0.941457155,-0.651053194,0.359701679,0.178717801
group_002,5,Global_Price/Q,Global_Price,Q,TIME/Global_Price/Q,TIME/Global_Price/Q/data-00000-of-00001.arrow,5,20,0,20,item0,GlobalpriceofFoodandbeverageindex,142,142,False,False,-0.008558776,-0.871728208,0.359701679,0.178717801
group_003,1,current_velocity/5T,current_velocity,5T,TIME/current_velocity/5T,TIME/current_velocity/5T/data-00000-of-00001.arrow,1,3,0,3,NSW_SYD100_Sentinel-or-Monitor-Workhorse-ADCP-102.5_220718To221017,TEMP,26486,26486,False,False,-6.514780826,-2.539553666,0.366515448,0.205845243
group_003,1,current_velocity/5T,current_velocity,5T,TIME/current_velocity/5T,TIME/current_velocity/5T/data-00000-of-00001.arrow,2,0,0,0,NSW_SYD100_Sentinel-or-Monitor-Workhorse-ADCP-102.5_220718To221017,UCUR,26486,26486,False,False,-0.122469771,0.328089204,0.366515448,0.205845243
group_003,1,current_velocity/5T,current_velocity,5T,TIME/current_velocity/5T,TIME/current_velocity/5T/data-00000-of-00001.arrow,3,5,0,5,NSW_SYD100_Sentinel-or-Monitor-Workhorse-ADCP-102.5_220718To221017,ABSIC1,26486,26486,False,False,0.393887910,0.347532811,0.366515448,0.205845243
