centroid_id,dataset,family,source_format,source_path,sample_count,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
D01,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,5,-0.449939722,-0.566247930,8.799326089,23.400000000,0.525791664,0.112365218,0.631578947,26.400000000,0.046035903,10.400000000,0.397033137,11.200000000,0.190124884,0.268750000,0.093750000,0.861193019,12.000000000,1.541228664,0.782857143,0.668571429,0.157079633,0.543929211
D02,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,5,-0.124403878,0.055946155,4.883951230,8.800000000,0.344018271,0.045566526,0.926315789,17.800000000,0.073584328,12.200000000,0.232343100,5.800000000,0.113855607,-0.029166667,-0.227083333,0.747987415,6.800000000,1.797632270,0.600000000,0.680000000,0.284706834,0.712561773
D03,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,5,-0.177019232,-0.100415861,1.624218679,3.100000000,0.123988135,-0.049966059,0.924210526,9.900000000,0.036725945,6.550000000,0.075429282,2.450000000,0.222930216,-0.017447917,0.025000000,0.398441832,6.150000000,2.094214613,0.718571429,0.651428571,0.893390411,1.021661782
D04,TIME__Finland_Traffic__15T,TIME,arrow,dataset/Time_Dataset/Finland_Traffic/15T/data-00000-of-00001.arrow,5,-0.710542507,-1.164451635,12.944627398,43.400000000,0.868930098,0.002619742,0.722105263,38.200000000,0.070037037,0.000000000,1.263854645,22.800000000,0.334361792,-0.214583333,0.147916667,0.961451417,11.600000000,1.499829043,0.708571429,0.622857143,0.078539816,0.251671166
D05,Monash__traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,5,-0.345743264,-0.018162193,3.602652773,12.000000000,0.498540017,0.008166107,0.892631579,14.000000000,0.015659868,23.000000000,0.520221096,4.600000000,0.624761905,0.031250000,0.016666667,0.883435616,11.600000000,1.711390869,0.542857143,0.365714286,0.265071880,0.685094959
D06,TIME__EWELD_Load__15T,TIME,arrow,dataset/Time_Dataset/EWELD_Load/15T/data-00000-of-00001.arrow,5,-0.574227360,-0.646183626,8.869091318,22.580000000,0.509007675,-0.035601569,0.693684211,22.880000000,0.069992170,12.120000000,0.414676396,13.600000000,0.162025981,-0.203854167,0.118333333,0.809307441,5.600000000,1.682308363,0.713714286,0.658285714,0.207148766,0.526133601
D07,Monash__kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,5,-0.208890537,-0.226230001,8.897823315,18.000000000,0.555842695,-0.010090790,0.642105263,28.200000000,0.055605084,19.200000000,0.363927780,7.600000000,0.364410256,0.058333333,-0.256250000,0.891009255,7.800000000,1.546853579,0.697142857,0.548571429,0.186532064,0.569377344
D08,TIME__current_velocity__5T,TIME,arrow,dataset/Time_Dataset/current_velocity/5T/data-00000-of-00001.arrow,5,0.058827767,0.021951283,10.315810936,20.666666667,0.534997912,-0.068936635,0.807719298,27.266666667,0.075182736,7.200000000,1.007587463,11.866666667,0.219349415,0.209201389,-0.183854167,0.768370957,6.700000000,1.742596804,0.625714286,0.638095238,0.255254403,0.553072968
D09,TIME__Coastal_T_S__H,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/H/data-00000-of-00001.arrow,5,0.197103859,0.074413920,6.122366614,15.800000000,0.446989162,-0.037068670,0.863859649,21.466666667,0.056357768,10.400000000,0.556542846,7.666666667,0.407917830,-0.086805556,-0.061458333,0.734845000,7.733333333,1.780395036,0.660952381,0.586666667,0.454876436,0.689699507
D10,TIME__Coastal_T_S__20T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/20T/data-00000-of-00001.arrow,5,0.127948246,-0.008706239,9.274874505,22.600000000,0.769326162,0.003079338,0.795087719,28.733333333,0.045550387,3.266666667,1.274866045,14.066666667,0.617516064,0.188194444,-0.068055556,0.958551744,17.133333333,1.465227226,0.683809524,0.594285714,0.140717171,0.314407594
