centroid_id,dataset,family,source_format,source_path,sample_count,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
D01,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,5,-1.227545417,-0.982442418,0.356029248,0.321505970,0.071060872,0.415570358,-1.112987193,0.348037741,-0.285147224,-0.170803704,-0.497844117,0.114919976,-0.824582555,1.265966919,0.751651031,0.470167309,1.184005971,-0.652347839,1.613531248,0.873574737,-0.586279431,-0.264480019
D02,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,5,0.021726072,0.822019153,-0.482268926,-0.744928205,-0.765308038,0.074364472,1.068688195,-0.543859430,0.650218431,0.102667523,-0.818644278,-0.704214128,-1.161981459,-0.520701916,-1.148970016,-0.051220189,-0.516573830,0.475351298,-0.327416295,0.986344494,-0.237166946,0.382732876
D03,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,5,-0.180189822,0.368544497,-1.180191334,-1.161275795,-1.777702436,-0.413613348,1.053104799,-1.363160320,-0.601252949,-0.755728271,-1.124297125,-1.212380656,-0.679458813,-0.450422111,0.344375092,-1.661111302,-0.729146305,1.779762173,0.931166878,0.704420101,1.427831064,1.569060771
D04,TIME__Finland_Traffic__15T,TIME,arrow,dataset/Time_Dataset/Finland_Traffic/15T/data-00000-of-00001.arrow,5,-2.227630771,-2.717328082,1.243555640,1.782374704,1.649896550,-0.145006523,-0.442901181,1.571803627,0.529775456,-1.750859677,1.190639815,1.874541386,-0.186509447,-1.632684618,1.072535104,0.931924264,1.053192140,-0.834429197,0.825021309,0.422495707,-0.801117884,-1.386168341
D05,Monash__traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,5,-0.827682647,0.607093185,-0.756600298,-0.511189208,-0.054328383,-0.116675844,0.819353865,-0.937953529,-1.316520169,1.743494880,-0.257885961,-0.886243930,1.098158287,-0.158370474,0.295008312,0.572609341,1.053192140,0.096049481,-0.933962402,-2.114823837,-0.290876559,0.277315062
D06,TIME__EWELD_Load__15T,TIME,arrow,dataset/Time_Dataset/EWELD_Load/15T/data-00000-of-00001.arrow,5,-1.704509800,-1.214268620,0.370966276,0.261610352,-0.006164985,-0.340239928,-0.653277022,-0.017017846,0.528252071,0.090513246,-0.463476766,0.478979578,-0.948886070,-1.568339552,0.897283033,0.231199530,-0.909015322,-0.031859472,0.879610459,0.772081955,-0.449319918,-0.332779690
D07,Monash__kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,5,-0.302498666,0.003663525,0.377117917,-0.072928588,0.209330549,-0.209931571,-1.035070215,0.534713893,0.039760040,1.166166736,-0.562330129,-0.431169427,-0.053581495,0.004053965,-1.321753748,0.607491011,-0.189539253,-0.627608671,0.703712087,-0.310507717,-0.505715012,-0.166809914
D08,TIME__current_velocity__5T,TIME,arrow,dataset/Time_Dataset/current_velocity/5T/data-00000-of-00001.arrow,5,0.724893095,0.723428629,0.680715013,0.121853910,0.113420314,-0.510514531,0.190823574,0.437918851,0.704489976,-0.656974772,0.691456286,0.216047643,-0.695299506,0.908841389,-0.892879843,0.042659655,-0.549277288,0.233297577,-0.054470547,0.572855383,-0.317731365,-0.229386218
D09,TIME__Coastal_T_S__H,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/H/data-00000-of-00001.arrow,5,1.255539360,0.875578602,-0.217119000,-0.233624149,-0.291522243,-0.347733840,0.606380791,-0.163593195,0.065316280,-0.170803704,-0.187134727,-0.421056660,0.138886666,-0.866374442,-0.167805255,-0.111749795,-0.211341558,0.399539518,0.319566219,0.065391475,0.228316369,0.294987350
D10,TIME__Coastal_T_S__20T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/20T/data-00000-of-00001.arrow,5,0.990148813,0.634516951,0.457846158,0.263071221,1.191602659,-0.142658917,0.097323200,0.590025345,-0.301632203,-1.254560045,1.212088951,0.549768945,1.066104246,0.782858330,-0.206887289,0.918569332,2.862783466,-0.986612856,0.562184662,0.140571313,-0.631037442,-1.145385513
