centroid_id,dataset,family,source_format,source_path,sample_count,pc1,pc2,pc1_explained_ratio,pc2_explained_ratio
D01,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,5,-1.488841103,1.378942037,0.444258344,0.109319379
D02,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,5,1.435943760,0.575171635,0.444258344,0.109319379
D03,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,5,4.435881641,1.969006937,0.444258344,0.109319379
D04,TIME__Finland_Traffic__15T,TIME,arrow,dataset/Time_Dataset/Finland_Traffic/15T/data-00000-of-00001.arrow,5,-4.425992253,2.471218305,0.444258344,0.109319379
D05,Monash__traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf,5,1.519745766,-2.970281117,0.444258344,0.109319379
D06,TIME__EWELD_Load__15T,TIME,arrow,dataset/Time_Dataset/EWELD_Load/15T/data-00000-of-00001.arrow,5,-0.822025712,2.389057671,0.444258344,0.109319379
D07,Monash__kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf,5,-0.962400465,-0.574090690,0.444258344,0.109319379
D08,TIME__current_velocity__5T,TIME,arrow,dataset/Time_Dataset/current_velocity/5T/data-00000-of-00001.arrow,5,-0.955335711,0.285374774,0.444258344,0.109319379
D09,TIME__Coastal_T_S__H,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/H/data-00000-of-00001.arrow,5,0.960131431,-0.237225382,0.444258344,0.109319379
D10,TIME__Coastal_T_S__20T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/20T/data-00000-of-00001.arrow,5,-2.600230628,-1.591651530,0.444258344,0.109319379
D11,TIME__epf_electricity_price__H,TIME,arrow,dataset/Time_Dataset/epf_electricity_price/H/data-00000-of-00001.arrow,5,1.376859218,-1.406914077,0.444258344,0.109319379
D12,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds,5,0.763992335,1.006560224,0.444258344,0.109319379
D13,Monash__sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf,5,1.567528856,0.955300513,0.444258344,0.109319379
D14,TIME__current_velocity__20T,TIME,arrow,dataset/Time_Dataset/current_velocity/20T/data-00000-of-00001.arrow,5,0.006007356,-0.004662573,0.444258344,0.109319379
D15,TIME__SG_Carpark__15T,TIME,arrow,dataset/Time_Dataset/SG_Carpark/15T/data-00000-of-00001.arrow,5,-5.906059743,0.165969252,0.444258344,0.109319379
D16,TIME__azure2019_I__5T,TIME,arrow,dataset/Time_Dataset/azure2019_I/5T/data-00000-of-00001.arrow,5,4.093890949,0.327967794,0.444258344,0.109319379
D17,TIME__US_Term_Structure__B,TIME,arrow,dataset/Time_Dataset/US_Term_Structure/B/data-00000-of-00001.arrow,5,-4.103205436,1.291118318,0.444258344,0.109319379
D18,TIME__current_velocity__H,TIME,arrow,dataset/Time_Dataset/current_velocity/H/data-00000-of-00001.arrow,5,0.942210028,-0.983812733,0.444258344,0.109319379
D19,Monash__weather_dataset,Monash,tsf,dataset/Monash_Dataset/weather_dataset/weather_dataset.tsf,5,3.703705381,0.836363785,0.444258344,0.109319379
D20,TIME__azure2019_D__5T,TIME,arrow,dataset/Time_Dataset/azure2019_D/5T/data-00000-of-00001.arrow,5,6.205281959,1.552418204,0.444258344,0.109319379
D21,TIME__SG_PM25__H,TIME,arrow,dataset/Time_Dataset/SG_PM25/H/data-00000-of-00001.arrow,5,3.715052854,0.823692969,0.444258344,0.109319379
D22,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds,5,-1.198058796,2.096525163,0.444258344,0.109319379
D23,illness,Benchmark,csv,dataset/illness/national_illness.csv,5,-1.228454929,-1.080474879,0.444258344,0.109319379
D24,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,5,-2.428739864,0.393918166,0.444258344,0.109319379
D25,Monash__elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf,5,-0.660916249,-2.871171747,0.444258344,0.109319379
D26,Monash__australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf,5,-1.607768115,-2.965496091,0.444258344,0.109319379
D27,TIME__CPHL__15T,TIME,arrow,dataset/Time_Dataset/CPHL/15T/data-00000-of-00001.arrow,5,-1.407097608,2.427747799,0.444258344,0.109319379
D28,Monash__pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf,5,2.139354598,-0.911171118,0.444258344,0.109319379
D29,Monash__bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf,5,0.885721541,0.225347560,0.444258344,0.109319379
D30,TIME__Oil_Price__B,TIME,arrow,dataset/Time_Dataset/Oil_Price/B/data-00000-of-00001.arrow,5,-2.497330047,0.265603969,0.444258344,0.109319379
D31,Monash__oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf,5,-1.992364577,-1.680521235,0.444258344,0.109319379
D32,TIME__Coastal_T_S__5T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/5T/data-00000-of-00001.arrow,5,-0.246764299,-0.073890727,0.444258344,0.109319379
D33,TIME__Coastal_T_S__15T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/15T/data-00000-of-00001.arrow,5,4.770678874,0.869030271,0.444258344,0.109319379
D34,electricity,Benchmark,csv,dataset/electricity/electricity.csv,5,1.854186980,-3.170426043,0.444258344,0.109319379
D35,TIME__Port_Activity__D,TIME,arrow,dataset/Time_Dataset/Port_Activity/D/data-00000-of-00001.arrow,5,6.277714876,1.566786326,0.444258344,0.109319379
