feature_index,feature_name,feature_short_name
1,DN_HistogramMode_5,mode_5
2,DN_HistogramMode_10,mode_10
3,CO_f1ecac,acf_timescale
4,CO_FirstMin_ac,acf_first_min
5,CO_HistogramAMI_even_2_5,ami2
6,CO_trev_1_num,trev
7,MD_hrv_classic_pnn40,high_fluctuation
8,SB_BinaryStats_mean_longstretch1,stretch_high
9,SB_TransitionMatrix_3ac_sumdiagcov,transition_matrix
10,PD_PeriodicityWang_th0_01,periodicity
11,CO_Embed2_Dist_tau_d_expfit_meandiff,embedding_dist
12,IN_AutoMutualInfoStats_40_gaussian_fmmi,ami_timescale
13,FC_LocalSimple_mean1_tauresrat,whiten_timescale
14,DN_OutlierInclude_p_001_mdrmd,outlier_timing_pos
15,DN_OutlierInclude_n_001_mdrmd,outlier_timing_neg
16,SP_Summaries_welch_rect_area_5_1,centroid_freq
17,SB_BinaryStats_diff_longstretch0,stretch_decreasing
18,SB_MotifThree_quantile_hh,entropy_pairs
19,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,rs_range
20,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,dfa
21,SP_Summaries_welch_rect_centroid,low_freq_power
22,FC_LocalSimple_mean3_stderr,forecast_error
