dataset,family,n_samples,center_pc1,center_pc2,center_pc3,true_radius,mean_sample_distance,rms_sample_distance,display_radius,radius_was_expanded_for_visibility,radius_rank
electricity_hourly_dataset,Monash,5,0.304196879,1.407661734,2.860857049,10.873522509,5.382574817,6.150449499,10.873522509,False,1
solar_4_seconds_dataset,Monash,5,3.251351083,1.575058525,0.754169122,6.281527338,3.706004089,4.098470559,6.281527338,False,2
anonymous_public_pv_power_data_per_unit,Monash,5,1.752416213,0.455137810,-0.339687075,5.722795439,3.052746619,3.412992634,5.722795439,False,3
MetroPT-3__5T,TIME,5,-3.385408962,0.634023818,-0.186686737,4.860559360,2.155367960,2.553927263,4.860559360,False,4
australian_electricity_demand_dataset,Monash,5,1.478858235,-0.226526860,1.204719263,4.649142067,2.287360349,2.655937989,4.649142067,False,5
ETTh1,Benchmark,5,-0.240429251,-0.426394176,-0.294334487,4.479624213,2.008524853,2.374829794,4.479624213,False,6
bitcoin_dataset_without_missing_values,Monash,5,0.112077911,0.761797024,0.149201297,4.247936669,1.699174668,2.123968335,4.247936669,False,7
CPHL__H,TIME,5,-0.145878217,-1.787437651,-0.000277895,4.030911416,2.269611481,2.524922490,4.030911416,False,8
wind_4_seconds_dataset,Monash,5,1.192116376,0.994355187,-0.511137633,3.948424860,2.002150445,2.285211855,3.948424860,False,9
solar_10_minutes_dataset,Monash,5,5.825388442,0.970652565,0.185218658,3.819715533,2.531490693,2.643438465,3.819715533,False,10
CPHL__30T,TIME,5,-1.645341889,-0.227230697,-1.222286908,3.614488951,2.107863639,2.288420787,3.614488951,False,11
oikolab_weather_dataset,Monash,5,0.730003568,-0.787376990,0.762179886,3.583843783,2.693788573,2.750207640,3.583843783,False,12
epf_electricity_price__H,TIME,5,-1.727322933,-1.416352034,0.806749612,3.550013771,1.879433606,2.094043711,3.550013771,False,13
Coastal_T_S__15T,TIME,5,-1.275240132,1.261643257,-0.518391617,3.516813146,2.764373642,2.891741245,3.516813146,False,14
SG_Carpark__15T,TIME,5,4.415935162,1.057200198,-0.791614729,3.375555325,2.252618147,2.337760369,3.375555325,False,15
anonymous_public_load_power_data_per_unit,Monash,5,-0.399656206,-0.171465195,-1.428098616,2.952286445,1.916704668,2.125492104,2.952286445,False,16
NE_China_Wind__H,TIME,5,1.672413518,-0.652542698,0.861879023,2.891435376,1.444739528,1.690825482,2.891435376,False,17
pedestrian_counts_dataset,Monash,5,-2.010348178,-1.660114375,-0.017873640,2.836878773,1.393544349,1.780777340,2.836878773,False,18
current_velocity__15T,TIME,5,-0.442933947,0.382078297,-0.873416451,2.769225639,1.668118685,1.783727069,2.769225639,False,19
saugeenday_dataset,Monash,5,-0.065570550,-0.764277100,-0.385690252,2.602463014,2.074146102,2.094170416,2.602463014,False,20
US_Term_Structure__B,TIME,5,3.625436387,0.118267999,-0.343428336,2.543462908,1.652157861,1.731172691,2.543462908,False,21
Coastal_T_S__H,TIME,5,-2.689906068,0.640073960,-0.228010927,2.498381371,1.868803291,1.933719696,2.498381371,False,22
sunspot_dataset_without_missing_values,Monash,5,-0.895346528,-1.054269132,0.161406366,2.481421239,1.846171378,1.911549802,2.481421239,False,23
CPHL__15T,TIME,5,-0.242104061,-0.967241777,-0.889521997,2.405823431,1.957503069,2.007419050,2.405823431,False,24
exchange_rate,Benchmark,5,2.327161733,-0.143515258,-0.535630607,2.370418742,1.200351458,1.390314065,2.370418742,False,25
OpenElectricity_NEM__5T,TIME,5,2.135520202,0.101876220,-0.512362534,2.366205204,1.397513482,1.484533217,2.366205204,False,26
weather_dataset,Monash,5,-3.803303453,1.868181429,-0.277748715,2.362653337,1.556395556,1.636666303,2.362653337,False,27
kdd_cup_2018_dataset_without_missing_values,Monash,5,0.364570232,-0.960156522,-0.006166285,2.301426172,1.649552671,1.753594578,2.301426172,False,28
Coastal_T_S__5T,TIME,5,0.447202204,1.110087992,-0.630938483,2.195215149,1.517093933,1.566864735,2.195215149,False,29
elecdemand_dataset,Monash,5,0.980877509,-0.772029253,1.572340313,2.166240444,1.414942426,1.485573708,2.166240444,False,30
Port_Activity__D,TIME,5,-5.225394706,1.710728877,-0.028941226,1.990774800,1.041652690,1.163958308,1.990774800,False,31
traffic_hourly_dataset,Monash,5,-1.458579217,-1.680948263,1.607087517,1.932730773,1.510837696,1.541396836,1.932730773,False,32
wind_farms_minutely_dataset_without_missing_values,Monash,5,-0.736098884,0.711883025,0.275630356,1.904648880,1.043755274,1.192830801,1.904648880,False,33
Crypto__D,TIME,5,1.983979681,-0.431843091,-0.695285485,1.898015362,1.399987927,1.463632499,1.898015362,False,34
azure2019_D__5T,TIME,5,-4.595448171,0.834641584,-0.443472932,1.784950153,1.268538726,1.312766224,1.784950153,False,35
current_velocity__10T,TIME,5,1.309929267,0.449092768,-0.078279272,1.756556490,1.351708602,1.378568731,1.756556490,False,36
Finland_Traffic__15T,TIME,5,3.473937838,-1.333917687,-1.993303873,1.717928114,1.254518765,1.298687287,1.717928114,False,37
Oil_Price__B,TIME,5,1.911704707,0.471507775,-0.976817091,1.666759916,0.843514228,0.947654789,1.666759916,False,38
Coastal_T_S__20T,TIME,5,3.031837548,-0.124653361,1.155533314,1.577976709,1.153007429,1.173135271,1.577976709,False,39
current_velocity__20T,TIME,5,-0.191139051,0.096361068,-0.543095760,1.493759727,1.182884110,1.226464849,1.493759727,False,40
current_velocity__5T,TIME,5,0.878561030,0.325993720,-0.977022903,1.449060245,0.975021600,1.113900547,1.449060245,False,41
SG_Weather__D,TIME,5,-3.001871681,0.252535465,-1.245137290,1.443151085,1.014698303,1.064848590,1.443151085,False,42
current_velocity__H,TIME,5,-2.076272703,-0.172654698,1.102620904,1.384127306,0.901264423,0.959133244,1.384127306,False,43
Water_Quality_Darwin__15T,TIME,5,1.850159613,-0.146343040,-0.304527498,1.345311933,1.001177583,1.033492394,1.345311933,False,44
weather,Benchmark,5,4.620119681,0.435449859,0.965372879,1.295183402,0.862358323,0.893653868,1.295183402,False,45
illness,Benchmark,5,0.557576679,0.033388567,-0.387335028,1.277969042,1.050728203,1.064548247,1.277969042,False,46
SG_PM25__H,TIME,5,-3.085305746,-0.193314224,-0.617242585,1.270661728,0.972779765,1.006308136,1.270661728,False,47
Australia_Solar__H,TIME,5,-0.058643556,-1.594460742,1.584852440,1.128656678,0.809199394,0.834154630,1.128656678,False,48
azure2019_I__5T,TIME,5,-5.097249693,0.864125355,-0.423027105,0.941675183,0.586769021,0.643223332,0.941675183,False,49
traffic,Benchmark,5,-1.027978922,-2.061048404,1.627612656,0.909898350,0.542767408,0.577742386,0.909898350,False,50
us_births_dataset,Monash,5,-4.899171421,2.215353777,0.515584659,0.823807042,0.556914496,0.624438655,0.823807042,False,51
EWELD_Load__15T,TIME,5,1.269700211,-0.815955866,-1.203903519,0.798247007,0.523679941,0.542318473,0.798247007,False,52
ECL,Benchmark,5,-1.081087783,-1.167088759,1.757680174,0.270328802,0.156141602,0.171965742,0.270328802,False,53
