dataset,registry_name,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,input_len,pred_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,1,10007,0,10007,96,96,321,mean,train_split_standard,0.069051815,-0.119388953,4.439423818,11.862928349,0.430423133,0.068716647,0.818822758,15.348909657,0.026574035,21.984423676,0.386915210,5.395638629,0.585284114,0.038632529,-0.013353453,0.871635353,8.623052960,1.718820357,0.554250111,0.274143302,0.268833717,0.675787468
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,2,1267,0,1267,96,96,321,mean,train_split_standard,0.113535090,-0.150595001,4.042901159,10.426791277,0.431222870,0.053673972,0.820724709,15.003115265,0.028991743,21.429906542,0.384378335,4.862928349,0.639886718,-0.053576064,0.002628505,0.870933754,8.697819315,1.731838331,0.538673787,0.316332888,0.294677231,0.700055810
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,3,14951,0,14951,96,96,321,mean,train_split_standard,0.031651217,-0.248819247,4.338680282,11.517133956,0.441228182,0.059890460,0.823807182,14.137071651,0.022083236,21.056074766,0.395635715,5.168224299,0.662916146,0.051677700,-0.123848001,0.860303866,8.676012461,1.716233837,0.522474410,0.297997330,0.303087843,0.671409919
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,4,10198,0,10198,96,96,321,mean,train_split_standard,0.055283304,-0.205518627,4.280234447,11.996884735,0.428623096,0.057919046,0.814658141,14.887850467,0.023216294,21.305295950,0.385216737,5.373831776,0.597442860,0.024273105,-0.068227544,0.864001834,8.704049844,1.719519067,0.562082777,0.319448153,0.283972817,0.676827721
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,5,1625,0,1625,96,96,321,mean,train_split_standard,0.102906274,-0.129720120,3.700945590,10.233644860,0.426679935,0.059239661,0.830431218,15.149532710,0.024057710,21.411214953,0.373801776,4.753894081,0.636153783,-0.127514927,0.074928609,0.865782316,8.875389408,1.737717663,0.459724077,0.364307966,0.318532783,0.706900373
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,1,7532,0,7532,96,96,7,mean,train_split_standard,0.091571630,-0.040205834,3.367401891,9.714285714,0.307470139,-0.032107839,0.885714286,14.714285714,0.015664423,19.714285714,0.169196343,4.714285714,0.450680272,-0.060267857,0.028273810,0.802806281,7.857142857,1.814270397,0.710204082,0.534693878,0.329586729,0.782868774
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,2,3783,0,3783,96,96,7,mean,train_split_standard,-0.501784009,-0.668606412,16.005962977,43.285714286,0.738513801,0.033288441,0.412030075,28.714285714,0.136574074,13.857142857,0.455145838,13.428571429,0.055527044,0.642857143,-0.386904762,0.926314241,6.428571429,1.110552530,0.804081633,0.604081633,0.049087385,0.366924092
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,3,6779,0,6779,96,96,7,mean,train_split_standard,-0.001788716,0.161302409,5.835165298,15.714285714,0.377595905,-0.024854354,0.885714286,20.857142857,0.043109913,21.428571429,0.305278782,6.428571429,0.237244898,0.047619048,0.025297619,0.819011573,6.714285714,1.793324312,0.514285714,0.506122449,0.231411959,0.682303883
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,4,801,0,801,96,96,7,mean,train_split_standard,-0.158816768,-0.273011260,4.791254396,11.000000000,0.331970971,0.043318945,0.902255639,16.000000000,0.031313582,20.857142857,0.308276271,8.571428571,0.102677878,0.289434524,-0.688988095,0.806034790,7.000000000,1.876502999,0.604081633,0.653061224,0.266474377,0.627530513
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,5,1129,0,1129,96,96,7,mean,train_split_standard,0.052956166,-0.042495437,3.554133620,9.571428571,0.323752959,0.281698764,0.938345865,18.571428571,0.020747989,19.142857143,0.258547627,6.714285714,0.166223459,0.031250000,0.493303571,0.742798794,7.142857143,1.842772961,0.681632653,0.493877551,0.336599213,0.759860359
