dataset,registry_name,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,input_len,pred_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,1,10007,0,10007,96,96,321,mean,train_split_standard,0.430673308,0.182265127,-0.453658740,-0.425454906,-0.230546615,0.086931605,0.278558950,-0.559327043,-0.690674251,1.166415763,-0.326561095,-0.622655124,0.889377142,0.108709717,-0.049280708,0.522796536,0.125123083,0.177226194,-0.311837438,-2.048250679,-0.286525075,0.158560883
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,2,1267,0,1267,96,96,321,mean,train_split_standard,0.525967791,0.115577695,-0.532251626,-0.512000260,-0.227206386,0.066812634,0.288471345,-0.588585157,-0.633406782,1.103374496,-0.330660680,-0.692049604,1.091637740,-0.114766078,-0.002090448,0.519824399,0.141777335,0.221071656,-0.397068736,-1.784278085,-0.221396345,0.244991000
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,3,14951,0,14951,96,96,321,mean,train_split_standard,0.350551721,-0.094327855,-0.473626641,-0.446293375,-0.185417580,0.075126935,0.304536261,-0.661862234,-0.797046370,1.060874766,-0.312468771,-0.652279668,1.176944034,0.140325859,-0.375540277,0.474793726,0.136919845,0.168514609,-0.485709286,-1.899000351,-0.200200604,0.142970528
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,4,10198,0,10198,96,96,321,mean,train_split_standard,0.401177658,-0.001794282,-0.485210915,-0.417382345,-0.238064762,0.072490248,0.256854223,-0.598337861,-0.770207989,1.089207919,-0.329305823,-0.625495834,0.934415933,0.073908366,-0.211308588,0.490459175,0.143165190,0.179579499,-0.268978271,-1.764786438,-0.248372742,0.162265675
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,5,1625,0,1625,96,96,321,mean,train_split_standard,0.503198165,0.160187388,-0.600029026,-0.523639766,-0.246180689,0.074256519,0.339058740,-0.576196586,-0.750277649,1.101249510,-0.347752384,-0.706253153,1.077810091,-0.293963544,0.211391584,0.498001712,0.181331184,0.240873666,-0.829069659,-1.484106718,-0.161277516,0.269367468
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,1,7532,0,7532,96,96,7,mean,train_split_standard,0.478916476,0.351479723,-0.666139149,-0.554937698,-0.744079708,-0.047917076,0.627177389,-0.613023401,-0.949086742,0.908331090,-0.678394455,-0.711412809,0.390773572,-0.130984238,0.073632981,0.231220604,-0.045483867,0.498708737,0.541519191,-0.418032952,-0.133420257,0.539923978
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,2,3783,0,3783,96,96,7,mean,train_split_standard,-0.792202121,-0.991414463,1.838890423,1.468163891,1.056243956,0.039547809,-1.841521643,0.571534825,1.914861346,0.242451384,-0.216300502,0.423769570,-1.072964815,1.573102261,-1.152273487,0.754428999,-0.363699040,-1.871463251,1.055203006,0.016113655,-0.840311976,-0.941435905
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,3,6779,0,6779,96,96,7,mean,train_split_standard,0.278914886,0.782103530,-0.177015406,-0.193362095,-0.451188091,-0.038215832,0.627177389,-0.093268261,-0.298994235,1.103222711,-0.458485440,-0.488098243,-0.399840115,0.130489352,0.064845121,0.299869981,-0.300056006,0.428160827,-0.530516597,-0.596799202,-0.380832359,0.181768669
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,4,801,0,801,96,96,7,mean,train_split_standard,-0.057479116,-0.146026270,-0.383924061,-0.477457212,-0.641748014,0.052963204,0.713385927,-0.504237442,-0.578410126,1.038258838,-0.453641502,-0.208955035,-0.898307290,0.716550846,-2.044241276,0.244897316,-0.236412971,0.708312581,-0.039166861,0.322570084,-0.292470894,-0.013303116
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,5,1129,0,1129,96,96,7,mean,train_split_standard,0.396192338,0.346586833,-0.629127934,-0.563546641,-0.676071876,0.371786589,0.901477282,-0.286665522,-0.828673936,0.843367216,-0.534002915,-0.450879148,-0.662919850,0.090817497,1.446736104,-0.022985046,-0.204591454,0.594707405,0.385180638,-0.673413310,-0.115747964,0.457981006
