dataset,registry_name,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,input_len,pred_len,n_channels,pooling,scale,pc1,pc2,pc3,pc1_explained_ratio,pc2_explained_ratio,pc3_explained_ratio
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,1,10007,0,10007,96,96,321,mean,train_split_standard,-0.962982775,-1.177071702,1.745715636,0.359667531,0.099896136,0.091346773
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,2,1267,0,1267,96,96,321,mean,train_split_standard,-1.108168177,-1.134733381,1.841617473,0.359667531,0.099896136,0.091346773
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,3,14951,0,14951,96,96,321,mean,train_split_standard,-1.081524898,-1.170704964,1.670629308,0.359667531,0.099896136,0.091346773
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,4,10198,0,10198,96,96,321,mean,train_split_standard,-1.008731913,-1.137047079,1.562649061,0.359667531,0.099896136,0.091346773
ECL,ECL,Benchmark,csv,dataset/electricity/electricity.csv,train,5,1625,0,1625,96,96,321,mean,train_split_standard,-1.244031151,-1.215886669,1.967789392,0.359667531,0.099896136,0.091346773
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,1,7532,0,7532,96,96,7,mean,train_split_standard,-1.700285116,-0.714663756,0.686853249,0.359667531,0.099896136,0.091346773
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,2,3783,0,3783,96,96,7,mean,train_split_standard,3.793039091,0.712780495,-1.875614759,0.359667531,0.099896136,0.091346773
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,3,6779,0,6779,96,96,7,mean,train_split_standard,-0.758058583,-0.615015598,0.562655466,0.359667531,0.099896136,0.091346773
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,4,801,0,801,96,96,7,mean,train_split_standard,-0.972544098,-0.432080020,-1.185777710,0.359667531,0.099896136,0.091346773
ETTh1,ETTh1,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,5,1129,0,1129,96,96,7,mean,train_split_standard,-1.564297548,-1.082992001,0.340211321,0.359667531,0.099896136,0.091346773
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,1,1447,0,1447,96,96,8,mean,train_split_standard,2.319654930,-0.213656105,-0.314058155,0.359667531,0.099896136,0.091346773
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,2,4208,0,4208,96,96,8,mean,train_split_standard,2.151429622,0.579929119,-0.900614031,0.359667531,0.099896136,0.091346773
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,3,261,0,261,96,96,8,mean,train_split_standard,3.621223591,-0.250267984,-0.284615668,0.359667531,0.099896136,0.091346773
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,4,1676,0,1676,96,96,8,mean,train_split_standard,3.537945216,-0.244248417,-0.817232364,0.359667531,0.099896136,0.091346773
exchange_rate,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv,train,5,2533,0,2533,96,96,8,mean,train_split_standard,0.005555305,-0.589332905,-0.361632814,0.359667531,0.099896136,0.091346773
