group_id,group_rank,dataset,family,source_format,source_path
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv
group_001,2,ETT-small,Benchmark,csv,dataset/ETT-small/ETTh1.csv
group_001,3,exchange_rate,Benchmark,csv,dataset/exchange_rate/exchange_rate.csv
group_001,4,illness,Benchmark,csv,dataset/illness/national_illness.csv
group_001,5,traffic,Benchmark,csv,dataset/traffic/traffic.csv
group_001,6,weather,Benchmark,csv,dataset/weather/weather.csv
group_001,7,Monash__anonymous_public_load_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_load_power_data_per_unit/*.rds
group_001,8,Monash__anonymous_public_pv_power_data_per_unit,Monash,rds,dataset/Monash_Dataset/anonymous_public_pv_power_data_per_unit/*.rds
group_001,9,Monash__australian_electricity_demand_dataset,Monash,tsf,dataset/Monash_Dataset/australian_electricity_demand_dataset/australian_electricity_demand_dataset.tsf
group_001,10,Monash__bitcoin_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/bitcoin_dataset_without_missing_values/bitcoin_dataset_without_missing_values.tsf
group_001,11,Monash__elecdemand_dataset,Monash,tsf,dataset/Monash_Dataset/elecdemand_dataset/elecdemand_dataset.tsf
group_001,12,Monash__electricity_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/electricity_hourly_dataset/electricity_hourly_dataset.tsf
group_001,13,Monash__kdd_cup_2018_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/kdd_cup_2018_dataset_without_missing_values/kdd_cup_2018_dataset_without_missing_values.tsf
group_001,14,Monash__oikolab_weather_dataset,Monash,tsf,dataset/Monash_Dataset/oikolab_weather_dataset/oikolab_weather_dataset.tsf
group_001,15,Monash__pedestrian_counts_dataset,Monash,tsf,dataset/Monash_Dataset/pedestrian_counts_dataset/pedestrian_counts_dataset.tsf
group_001,16,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf
group_001,17,Monash__solar_10_minutes_dataset,Monash,tsf,dataset/Monash_Dataset/solar_10_minutes_dataset/solar_10_minutes_dataset.tsf
group_001,18,Monash__solar_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/solar_4_seconds_dataset/solar_4_seconds_dataset.tsf
group_001,19,Monash__sunspot_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/sunspot_dataset_without_missing_values/sunspot_dataset_without_missing_values.tsf
group_001,20,Monash__traffic_hourly_dataset,Monash,tsf,dataset/Monash_Dataset/traffic_hourly_dataset/traffic_hourly_dataset.tsf
group_001,21,Monash__us_births_dataset,Monash,tsf,dataset/Monash_Dataset/us_births_dataset/us_births_dataset.tsf
group_001,22,Monash__weather_dataset,Monash,tsf,dataset/Monash_Dataset/weather_dataset/weather_dataset.tsf
group_001,23,Monash__wind_4_seconds_dataset,Monash,tsf,dataset/Monash_Dataset/wind_4_seconds_dataset/wind_4_seconds_dataset.tsf
group_001,24,Monash__wind_farms_minutely_dataset_without_missing_values,Monash,tsf,dataset/Monash_Dataset/wind_farms_minutely_dataset_without_missing_values/wind_farms_minutely_dataset_without_missing_values.tsf
group_001,25,TIME__Australia_Solar__H,TIME,arrow,dataset/Time_Dataset/Australia_Solar/H/data-00000-of-00001.arrow
group_001,26,TIME__CPHL__15T,TIME,arrow,dataset/Time_Dataset/CPHL/15T/data-00000-of-00001.arrow
group_001,27,TIME__CPHL__30T,TIME,arrow,dataset/Time_Dataset/CPHL/30T/data-00000-of-00001.arrow
group_001,28,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow
group_001,29,TIME__Coastal_T_S__15T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/15T/data-00000-of-00001.arrow
group_001,30,TIME__Coastal_T_S__20T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/20T/data-00000-of-00001.arrow
group_001,31,TIME__Coastal_T_S__5T,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/5T/data-00000-of-00001.arrow
group_001,32,TIME__Coastal_T_S__H,TIME,arrow,dataset/Time_Dataset/Coastal_T_S/H/data-00000-of-00001.arrow
group_001,33,TIME__Crypto__D,TIME,arrow,dataset/Time_Dataset/Crypto/D/data-00000-of-00001.arrow
group_001,34,TIME__EWELD_Load__15T,TIME,arrow,dataset/Time_Dataset/EWELD_Load/15T/data-00000-of-00001.arrow
group_001,35,TIME__Finland_Traffic__15T,TIME,arrow,dataset/Time_Dataset/Finland_Traffic/15T/data-00000-of-00001.arrow
group_001,36,TIME__MetroPT-3__5T,TIME,arrow,dataset/Time_Dataset/MetroPT-3/5T/data-00000-of-00001.arrow
group_001,37,TIME__NE_China_Wind__H,TIME,arrow,dataset/Time_Dataset/NE_China_Wind/H/data-00000-of-00001.arrow
group_001,38,TIME__Oil_Price__B,TIME,arrow,dataset/Time_Dataset/Oil_Price/B/data-00000-of-00001.arrow
group_001,39,TIME__OpenElectricity_NEM__5T,TIME,arrow,dataset/Time_Dataset/OpenElectricity_NEM/5T/data-00000-of-00001.arrow
group_001,40,TIME__Port_Activity__D,TIME,arrow,dataset/Time_Dataset/Port_Activity/D/data-00000-of-00001.arrow
group_001,41,TIME__SG_Carpark__15T,TIME,arrow,dataset/Time_Dataset/SG_Carpark/15T/data-00000-of-00001.arrow
group_001,42,TIME__SG_PM25__H,TIME,arrow,dataset/Time_Dataset/SG_PM25/H/data-00000-of-00001.arrow
group_001,43,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow
