dataset,family,n_samples,center_pc1,center_pc2,true_radius,mean_sample_distance,rms_sample_distance,display_radius,radius_was_expanded_for_visibility
electricity,Benchmark,20,-1.284244377,-1.899045419,0.512765979,0.212335045,0.239622240,0.512765979,False
ETT-small,Benchmark,20,-1.336293688,-0.805463086,2.264715565,0.691002763,0.827608336,2.264715565,False
exchange_rate,Benchmark,20,2.652339291,0.706684211,2.039551218,0.883574417,0.992988676,2.039551218,False
illness,Benchmark,20,0.688235538,-0.625095008,1.475484535,0.957556434,1.007688039,1.475484535,False
traffic,Benchmark,20,-1.383254340,-2.126272839,0.732076999,0.292898032,0.330235042,0.732076999,False
weather,Benchmark,20,3.748029756,0.492455641,3.839756416,1.227387873,1.453153051,3.839756416,False
Monash__anonymous_public_load_power_data_per_unit,Monash,20,-1.320377707,0.208612379,4.101539612,2.038947506,2.208836243,4.101539612,False
Monash__anonymous_public_pv_power_data_per_unit,Monash,20,1.721590095,1.134023583,6.264682960,3.602028074,3.987569122,6.264682960,False
Monash__australian_electricity_demand_dataset,Monash,20,1.280421787,-1.611321339,2.630735823,1.356472912,1.492464135,2.630735823,False
Monash__bitcoin_dataset_without_missing_values,Monash,20,-0.225642248,0.543454141,6.363497127,1.087463729,1.856085429,6.363497127,False
Monash__elecdemand_dataset,Monash,20,1.307128699,-0.896518177,1.940317643,1.048194338,1.127268369,1.940317643,False
Monash__electricity_hourly_dataset,Monash,20,-1.140207215,-1.772105586,3.465870463,0.966267476,1.262382977,3.465870463,False
Monash__kdd_cup_2018_dataset_without_missing_values,Monash,20,0.148895433,0.500119150,6.696082895,2.323533921,2.733957594,6.696082895,False
Monash__oikolab_weather_dataset,Monash,20,0.200400911,-1.293059509,2.472704050,1.560502075,1.660616441,2.472704050,False
Monash__pedestrian_counts_dataset,Monash,20,-1.072788282,-2.453657892,3.101612366,1.244841895,1.471616710,3.101612366,False
Monash__saugeenday_dataset,Monash,20,0.559969983,0.133204296,2.870300608,1.366302485,1.502392588,2.870300608,False
Monash__solar_10_minutes_dataset,Monash,20,4.173234182,0.248912759,4.786308691,2.097446933,2.351512008,4.786308691,False
Monash__solar_4_seconds_dataset,Monash,20,1.795303549,1.312514030,7.181966003,3.625479921,3.863820325,7.181966003,False
Monash__sunspot_dataset_without_missing_values,Monash,20,-0.847202507,-0.190875717,2.633987660,1.495056544,1.665413606,2.633987660,False
Monash__traffic_hourly_dataset,Monash,20,-1.300694220,-2.260098999,1.993731734,0.883547112,1.024941381,1.993731734,False
Monash__us_births_dataset,Monash,20,-4.696372296,1.007928356,0.962982153,0.530499510,0.579377011,0.962982153,False
Monash__weather_dataset,Monash,20,-2.840289086,2.089682498,3.306912588,1.672527407,1.833948735,3.306912588,False
Monash__wind_4_seconds_dataset,Monash,20,4.172703007,2.493735298,5.405179343,2.214471680,2.535357233,5.405179343,False
Monash__wind_farms_minutely_dataset_without_missing_values,Monash,20,0.162957851,0.902060649,10.460002349,2.563165787,3.545267627,10.460002349,False
TIME__Australia_Solar__H,TIME,20,-0.097991023,-2.267981349,2.116872103,0.527040738,0.684612645,2.116872103,False
TIME__CPHL__15T,TIME,20,0.285877664,0.480475839,3.924428936,1.657633868,1.905726733,3.924428936,False
TIME__CPHL__30T,TIME,20,-1.835330278,-0.480946395,3.685295494,1.650078493,1.999644764,3.685295494,False
TIME__CPHL__H,TIME,20,-1.623976091,-0.402382920,4.652900497,1.857625305,2.095674222,4.652900497,False
TIME__Coastal_T_S__15T,TIME,20,-1.896095556,1.195244076,3.970457122,2.387657408,2.505655652,3.970457122,False
TIME__Coastal_T_S__20T,TIME,20,1.667836388,-1.687925449,1.942151407,0.722521639,0.846817178,1.942151407,False
TIME__Coastal_T_S__5T,TIME,20,-0.810838812,1.168360387,4.555636655,2.611756414,2.876398086,4.555636655,False
TIME__Coastal_T_S__H,TIME,20,-1.625479443,-0.191546840,4.176481482,2.157248943,2.352148804,4.176481482,False
TIME__Crypto__D,TIME,20,2.979053221,0.437899326,3.365463887,1.483039384,1.671892994,3.365463887,False
TIME__EWELD_Load__15T,TIME,20,1.324687775,0.292304998,1.655481826,0.672576983,0.773335474,1.655481826,False
TIME__Finland_Traffic__15T,TIME,20,3.826289839,0.007851715,2.183577745,1.033761642,1.133101507,2.183577745,False
TIME__MetroPT-3__5T,TIME,20,-4.101635854,1.327235642,3.591843573,0.965599864,1.226797155,3.591843573,False
TIME__NE_China_Wind__H,TIME,20,2.007459192,-0.728017355,2.851419581,1.096078919,1.320782712,2.851419581,False
TIME__Oil_Price__B,TIME,20,2.098403069,0.160363277,2.499123912,1.223185920,1.398754822,2.499123912,False
TIME__OpenElectricity_NEM__5T,TIME,20,3.082641583,0.845821647,3.545749408,1.198515036,1.460477169,3.545749408,False
TIME__Port_Activity__D,TIME,20,-5.553434741,1.122750755,0.984470837,0.379485465,0.454803723,0.984470837,False
TIME__SG_Carpark__15T,TIME,20,4.302800724,-0.420513048,4.410515075,1.411005070,1.711657301,4.410515075,False
TIME__SG_PM25__H,TIME,20,-2.308069943,0.241003264,3.245751689,0.971512887,1.164421557,3.245751689,False
TIME__SG_Weather__D,TIME,20,-3.223686021,0.730802376,5.421870518,1.048419742,1.474709663,5.421870518,False
