group_id,group_rank,dataset,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,seq_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,1,17790,0,17790,96,321,mean,train_split_standard,0.469656154,0.063063136,-0.474989017,-0.408617659,-0.287121246,0.063106612,0.301504901,-0.546294346,-0.605395772,1.193715698,-0.360321674,-0.609152707,0.965385462,-0.136377355,-0.000988746,0.453116274,0.168280399,0.176507698,-0.153987664,-1.171397140,-0.268708090,0.174047126
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,2,7270,0,7270,96,321,mean,train_split_standard,0.492498828,0.140304546,-0.510259969,-0.407277070,-0.292704968,0.188193292,0.349423846,-0.644447838,-0.773503147,1.179762962,-0.392259338,-0.635052270,0.833087444,0.337407383,-0.295019835,0.427638629,0.158832505,0.210041541,-0.262778268,-1.748091375,-0.253732761,0.196737546
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,3,8144,0,8144,96,321,mean,train_split_standard,0.426351743,-0.042239509,-0.511045928,-0.446537187,-0.258548811,0.037143727,0.311424963,-0.594258521,-0.613998949,1.179762962,-0.361651988,-0.636621941,0.942666926,-0.106726097,0.443835940,0.535656755,0.240229742,0.190728166,-0.120664416,-1.482481306,-0.269421200,0.180123231
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,4,726,0,726,96,321,mean,train_split_standard,0.796144956,0.419773906,-0.649328311,-0.482158562,-0.308192239,0.075807287,0.363547324,-0.657056977,-0.742331923,1.148369307,-0.354099031,-0.735511183,1.112513915,0.051357465,0.118031659,0.473209909,0.218426911,0.266071611,-0.346086389,-1.567228487,-0.193118335,0.290271813
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,5,2555,0,2555,96,321,mean,train_split_standard,0.724592563,0.591576810,-0.561171875,-0.483307639,-0.380994176,0.069960677,0.371281610,-0.644447838,-0.818601856,1.096046548,-0.419056706,-0.720599313,1.027604368,0.002983556,0.160787018,0.396931778,0.020021147,0.294544689,-0.664617437,-1.784263952,-0.164593899,0.384107500
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,6,2373,0,2373,96,321,mean,train_split_standard,0.710040171,0.425721636,-0.543651303,-0.448835340,-0.327171426,0.115521872,0.329751858,-0.630849748,-0.727409202,1.061513527,-0.403511951,-0.657812493,0.941273687,0.062582584,-0.592195390,0.414669751,0.001852121,0.247617955,-0.264738460,-1.495916835,-0.190979002,0.278002104
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,7,17441,0,17441,96,321,mean,train_split_standard,0.332484193,-0.110986372,-0.511694985,-0.455729800,-0.274965445,0.046482303,0.329247448,-0.598708806,-0.671088921,1.195110972,-0.346406079,-0.653495899,1.036579992,0.136329498,-0.022155230,0.508583263,0.235869176,0.104505074,-0.932183518,-1.572395999,-0.230913212,0.160550686
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,8,12883,0,12883,96,321,mean,train_split_standard,0.321682556,0.025054030,-0.492907628,-0.434280370,-0.272941323,0.125822921,0.322353845,-0.597719853,-0.782637247,1.072675716,-0.353561288,-0.608760289,1.119679504,0.143615235,-0.062610904,0.473470934,0.145750807,0.158668553,-0.674418393,-1.304718925,-0.236261544,0.160638730
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,9,10781,0,10781,96,321,mean,train_split_standard,0.883670924,0.350277314,-0.593190093,-0.433322806,-0.331921603,0.100491646,0.384564405,-0.636536222,-0.826178745,1.181855873,-0.384634022,-0.722168983,1.051168340,0.008659654,-0.004461739,0.357072905,0.091243729,0.280808186,-0.245136549,-1.561544225,-0.213798551,0.294452249
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,10,11160,0,11160,96,321,mean,train_split_standard,0.731187451,0.374143145,-0.536318894,-0.431982217,-0.334365221,0.118744669,0.327566081,-0.627635653,-0.756962273,1.109301647,-0.395656577,-0.674686450,0.892807120,0.243539973,-0.059184844,0.444534204,0.007666209,0.250743347,-0.706761545,-1.925337005,-0.230556657,0.252796299
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,11,15930,0,15930,96,321,mean,train_split_standard,0.447841658,0.222247405,-0.559047789,-0.486371843,-0.495478464,-0.176558885,0.326252514,-0.598472384,-0.781224593,1.132672479,-0.640481192,-0.654687867,0.214415714,-0.209490473,0.168795141,0.213089955,0.123648186,0.329731495,-0.475647361,-1.359893410,-0.123636820,0.397975281
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,12,16260,0,16260,96,321,mean,train_split_standard,0.357934242,0.113137585,-0.503374740,-0.431216166,-0.275373550,0.138802794,0.334964094,-0.574232242,-0.706235143,1.171391321,-0.372177617,-0.617785895,0.989957751,-0.275780624,0.387564068,0.451672103,0.219153672,0.173880771,-0.645995622,-1.676779722,-0.228417324,0.210266390
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,13,10444,0,10444,96,321,mean,train_split_standard,0.684662618,0.274962566,-0.608150716,-0.463007285,-0.372672691,0.172580658,0.355813038,-0.670407830,-0.741041157,1.138253573,-0.409062400,-0.736296018,1.122767835,-0.029251597,-0.029054284,0.324084976,0.099964861,0.282373096,-0.384310115,-1.460261008,-0.156036568,0.359148250
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,14,17582,0,17582,96,321,mean,train_split_standard,0.419433871,0.102618435,-0.513585091,-0.463773336,-0.282403322,0.064815037,0.311593100,-0.584369001,-0.640106192,1.174530686,-0.363055457,-0.642508205,0.922902465,-0.283489951,0.344245522,0.498383384,0.174094487,0.173401860,-0.632764332,-1.581697518,-0.233765656,0.194591865
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,15,9735,0,9735,96,321,mean,train_split_standard,0.187625642,-0.131382976,-0.525791496,-0.461666696,-0.298404453,0.080526573,0.312770056,-0.582885573,-0.713286348,1.196157427,-0.358143600,-0.663698757,0.992575950,-0.010020638,-0.093304652,0.489409510,0.163193072,0.187776117,-0.666577628,-1.454059995,-0.238400876,0.227914157
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,16,3862,0,3862,96,321,mean,train_split_standard,0.577093011,0.479023862,-0.567348624,-0.476221666,-0.306210768,0.075057984,0.381537945,-0.604889756,-0.760071904,1.062211164,-0.394806086,-0.654280734,1.100086681,-0.045093840,-0.257520898,0.453630164,0.046911305,0.248010536,-0.418123411,-1.416337164,-0.187056892,0.230714767
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,17,2053,0,2053,96,321,mean,train_split_standard,0.709240649,0.421078529,-0.632709634,-0.538846341,-0.298563217,0.116125684,0.375148753,-0.676588780,-0.679669635,1.049304883,-0.407416218,-0.762980416,1.234184013,-0.052337219,0.145768670,0.409966004,0.078162030,0.270027262,-0.824863057,-1.821470032,-0.114319580,0.397842881
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,18,10919,0,10919,96,321,mean,train_split_standard,0.869389434,0.712282292,-0.529346440,-0.444813572,-0.624260154,-0.238924085,0.297301485,-0.574726718,-0.718783988,1.002912037,-0.631022506,-0.642900623,0.131357216,0.390483135,-0.565584756,0.179933040,0.048364827,0.278580503,-0.531814492,-1.618386847,-0.131790797,0.089083105
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,19,14638,0,14638,96,321,mean,train_split_standard,0.540548818,-0.187939145,-0.507595994,-0.440217266,-0.211350797,0.079495191,0.315123970,-0.679308399,-0.830099310,1.141392939,-0.332399202,-0.656635240,1.232829005,-0.075422841,-0.227953526,0.459850133,0.174094487,0.176403307,-0.278949845,-1.834388810,-0.236261544,0.155713213
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,20,16072,0,16072,96,321,mean,train_split_standard,0.345687911,0.139784372,-0.517669935,-0.459177030,-0.311968245,0.092179531,0.310752417,-0.552969773,-0.731387018,1.158136222,-0.380590018,-0.657027657,1.029427047,-0.229990611,0.152808521,0.464913166,0.183542381,0.172215589,-0.876808120,-1.250976810,-0.212015773,0.217233583
group_001,2,ETT-small,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,1,4074,0,4074,96,7,mean,train_split_standard,-1.151278072,-0.552990899,-0.423713206,-0.223233300,-0.557422018,0.406507550,0.678515303,-0.470286316,-0.595900520,0.897419389,-0.611567195,-0.272065966,-0.577485696,-0.465385289,0.542373733,0.019675939,-0.380008895,0.569354810,-0.370238743,-0.402471492,-0.272120835,0.496738660
group_001,2,ETT-small,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,2,3131,0,3131,96,7,mean,train_split_standard,-0.389327249,-0.513342554,-0.331939305,-0.539393521,-0.390925386,0.336413380,0.771038499,-0.492961574,-0.283140210,0.753457055,-0.619778631,-0.380036873,-0.775724195,1.022539024,-1.237481495,0.074489099,-0.346681710,0.523944094,0.124149447,0.474307493,-0.288471449,0.316840884
group_001,2,ETT-small,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,3,1500,0,1500,96,7,mean,train_split_standard,-0.150731620,-0.064028586,-0.483121185,-0.442789009,-0.620207149,0.130549343,0.817300096,-0.697038896,-0.703964729,0.801444499,-0.586419524,-0.452017477,-0.511303394,0.024114616,0.951288477,0.171734990,-0.280027340,0.559806534,0.146621637,-1.160766831,-0.321172677,0.345294989
group_001,2,ETT-small,Benchmark,csv,dataset/ETT-small/ETTh1.csv,train,4,2321,0,2321,96,7,mean,train_split_standard,-0.483518013,-0.614894912,-0.617859348,-0.565740206,-0.552768699,0.129121406,0.801879564,-0.867103331,-0.848902993,1.425281280,-0.685691352,-0.631968989,-0.270722498,-0.729559840,-0.126955138,0.089252193,-0.346681710,0.580141323,-0.617432838,-0.781619162,-0.239419606,0.471811455
