group_id,group_rank,dataset,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,seq_len,n_channels,pooling,scale,pc1,pc2,pc1_explained_ratio,pc2_explained_ratio
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,1,17790,0,17790,96,321,mean,train_split_standard,-1.033977871,-1.742328694,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,2,7270,0,7270,96,321,mean,train_split_standard,-1.181386620,-1.999129392,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,3,8144,0,8144,96,321,mean,train_split_standard,-1.046033400,-1.964362336,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,4,726,0,726,96,321,mean,train_split_standard,-1.361910165,-1.940814618,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,5,2555,0,2555,96,321,mean,train_split_standard,-1.509399825,-1.902891337,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,6,2373,0,2373,96,321,mean,train_split_standard,-1.296481727,-1.679115301,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,7,17441,0,17441,96,321,mean,train_split_standard,-1.174953656,-2.159965835,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,8,12883,0,12883,96,321,mean,train_split_standard,-1.183397367,-1.947084450,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,9,10781,0,10781,96,321,mean,train_split_standard,-1.382970022,-1.850665051,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,10,11160,0,11160,96,321,mean,train_split_standard,-1.328436277,-1.975502802,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,11,15930,0,15930,96,321,mean,train_split_standard,-1.476332344,-1.558011340,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,12,16260,0,16260,96,321,mean,train_split_standard,-1.181963239,-2.086162069,0.361377013,0.098885852
group_001,1,electricity,Benchmark,csv,dataset/electricity/electricity.csv,train,13,10444,0,10444,96,321,mean,train_split_standard,-1.473788756,-1.810089634,0.361377013,0.098885852
