dataset,total_epochs,best_epoch,best_spearman,baseline_best_proxy,baseline_coefficient
Weather,17,8,0.426676,flops,0.446600
Traffic,26,24,0.545623,params,0.549300
ECL,51,29,0.931833,params,0.941200
Etth1,10,10,-0.363615,flops,-0.352200
Exchange,17,17,0.331490,synflow,0.376500
ILI,27,6,0.836385,synflow,0.910900
M4_Hourly,11,6,0.437789,snip,0.507100
M4_Monthly,11,9,0.717727,synflow,0.824000
M4_Quarterly,15,10,0.753318,synflow,0.759000
M4_Daily,7,1,0.191911,params,0.208800
M4_Weekly,12,3,0.256989,jacob_cov,0.242000
M4_Yearly,8,8,0.050335,sfrd,-0.134970
aus_electricity_demand,6,1,-0.386679,flops,-0.563300
Bitcoin,6,1,0.099389,grad_norm,0.172200
CIF_2016,6,1,-0.283884,synflow,-0.398200
Dominick,15,10,0.228702,flops,0.312600
Electricity_Hourly,66,58,0.193721,synflow,0.165400
Electricity_Weekly,20,16,-0.088202,jacob_fro,0.099400
FRED_MD,6,1,0.069163,jacob_cov,0.274200
KDD_Cup_2018,20,11,-0.075185,snip,-0.079700
M1_Yearly,6,2,-0.226604,jacob_cov,-0.492500
M3_Monthly,20,20,-0.047789,grasp,0.226300
M3_Quarterly,19,14,0.125852,jacob_fro,0.119900
M3_Yearly,15,7,0.419848,synflow,0.383400
NN5,8,1,-0.104434,grad_norm,-0.127100
San_Francisco_Traffic_Hourly,11,11,0.277885,synflow,0.422500
Saugeen_River_Flow,6,6,-0.154991,synflow,-0.098200
