dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,1,0.751554,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,2,0.697169,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,3,0.649639,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,4,0.636554,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,5,0.636347,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,6,0.636445,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,7,0.635717,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,8,0.635602,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,9,0.642483,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_083611,10,0.635325,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_32_expand64/01_val_Weather/dspbuilder_meta_20260511_083611/valid_logs/Weather.txt
