dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,1,0.674799,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,2,0.645596,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,3,0.650513,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,4,0.645726,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,5,0.642241,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,6,0.642881,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,7,0.643045,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,8,0.640678,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,9,0.648981,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,10,0.641585,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,11,0.641892,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,12,0.646719,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,13,0.639448,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,14,0.640937,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260511_081125,15,0.638717,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt
