dataset,run_name,epoch,spearman_mean,best_epoch,is_best_epoch,baseline_best_proxy,baseline_coefficient,valid_log_path,summary_path
Weather,01_val_Weather,1,0.33744,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,2,0.415479,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,3,0.416305,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,4,0.426775,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,5,0.423664,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,6,0.422692,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,7,0.420781,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,8,0.418067,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,9,0.419276,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,10,0.420359,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,11,0.418352,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,12,0.414293,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,13,0.420248,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,14,0.415743,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,15,0.417656,15,True,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,16,0.408768,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,17,0.408598,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,18,0.406869,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,19,0.407184,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Weather,01_val_Weather,20,0.404448,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/01_val_Weather/dspbuilder_meta_20260511_081125/summary.json
Traffic,02_val_Traffic,1,0.503066,8,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/summary.json
Traffic,02_val_Traffic,2,0.485655,8,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/summary.json
Traffic,02_val_Traffic,3,0.476726,8,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/summary.json
Traffic,02_val_Traffic,4,0.488869,8,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/summary.json
Traffic,02_val_Traffic,5,0.499437,8,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/0511_no_std_channel_64/02_val_Traffic/dspbuilder_meta_20260511_081255/summary.json
