dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,1,0.67066,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,2,0.668176,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,3,0.669228,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,4,0.671202,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,5,0.66815,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,6,0.664505,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,7,0.66603,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,8,0.660081,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,9,0.661678,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,10,0.657294,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,11,0.654451,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,12,0.656732,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_013732,13,0.710384,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/100_revised_valid/01_val_Weather/dspbuilder_meta_20260506_013732/valid_logs/Weather.txt
