dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,1,0.678645,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,2,0.667693,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,3,0.658004,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,4,0.652012,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,5,0.649836,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,6,0.649076,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,7,0.649746,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,8,0.649416,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,9,0.650577,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260427_125054,10,0.650797,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260427_learning_rate_half_and_weight_head_1/01_val_Weather/dspbuilder_meta_20260427_125054/valid_logs/Weather.txt
