dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,1,0.663201,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,2,0.652203,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,3,0.649782,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,4,0.646566,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,5,0.645639,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,6,0.649022,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,7,0.64798,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,8,0.645948,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,9,0.650469,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260501_083347,10,0.647502,5,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/01_val_Weather/dspbuilder_meta_20260501_083347/valid_logs/Weather.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,1,0.660055,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,2,0.665252,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,3,0.658717,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
