dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260504_054708,1,0.661719,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260504_054708,2,0.650165,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260504_054708,3,0.689009,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260504_054708,4,0.702818,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260504_054708,5,0.720722,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260504_054708,6,0.698378,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260504_054708,7,0.692662,5,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,1,0.655277,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,2,0.654405,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,3,0.639681,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,4,0.623671,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,5,0.62351,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,6,0.628292,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,7,0.623571,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,8,0.632258,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,9,0.621083,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,10,0.615814,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,11,0.623742,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,12,0.619633,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,13,0.628827,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,14,0.62483,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260504_054708,15,0.623442,5,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt
ECL,03_val_ECL,dspbuilder_meta_20260504_054708,1,0.599714,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/03_val_ECL/dspbuilder_meta_20260504_054708/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260504_054708,2,0.537525,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/03_val_ECL/dspbuilder_meta_20260504_054708/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260504_054708,3,0.449606,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/03_val_ECL/dspbuilder_meta_20260504_054708/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260504_054708,4,0.419852,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/03_val_ECL/dspbuilder_meta_20260504_054708/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260504_054708,5,0.39668,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/03_val_ECL/dspbuilder_meta_20260504_054708/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260504_054708,6,0.398911,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/03_val_ECL/dspbuilder_meta_20260504_054708/valid_logs/ECL.txt
