dataset,run_name,epoch,spearman_mean,best_epoch,is_best_epoch,baseline_best_proxy,baseline_coefficient,valid_log_path,summary_path
Weather,01_val_Weather,1,0.316971,2,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/summary.json
Weather,01_val_Weather,2,0.387723,2,True,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/summary.json
Weather,01_val_Weather,3,0.416384,2,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/summary.json
Weather,01_val_Weather,4,0.424432,2,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/summary.json
Weather,01_val_Weather,5,0.424864,2,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/summary.json
Weather,01_val_Weather,6,0.42267,2,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/summary.json
Weather,01_val_Weather,7,0.424122,2,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/01_val_Weather/dspbuilder_meta_20260504_054708/summary.json
Traffic,02_val_Traffic,1,0.42489,10,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/summary.json
Traffic,02_val_Traffic,2,0.366082,10,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/summary.json
Traffic,02_val_Traffic,3,0.402511,10,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/summary.json
Traffic,02_val_Traffic,4,0.488065,10,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/summary.json
Traffic,02_val_Traffic,5,0.494749,10,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/summary.json
Traffic,02_val_Traffic,6,0.492421,10,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/summary.json
Traffic,02_val_Traffic,7,0.500378,10,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260504_only_eight_good_datasets/02_val_Traffic/dspbuilder_meta_20260504_054708/summary.json
