dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,1,0.696803,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,2,0.656191,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,3,0.661789,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,4,0.661145,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,5,0.65958,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,6,0.65576,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,7,0.65578,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,8,0.651192,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,9,0.652652,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,10,0.650974,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,11,0.648475,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,12,0.647146,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,13,0.637948,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,14,0.632704,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,15,0.636544,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260506_054709,16,0.6389,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260506_100_revised_weight_head_3/01_val_Weather/dspbuilder_meta_20260506_054709/valid_logs/Weather.txt
