dataset,run_name,epoch,spearman_mean,best_epoch,is_best_epoch,baseline_best_proxy,baseline_coefficient,valid_log_path,summary_path
Weather,01_val_Weather,1,0.40709,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,2,0.396858,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,3,0.404527,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,4,0.391258,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,5,0.405211,5,True,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,6,0.386333,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,7,0.397372,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,8,0.391318,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,9,0.401815,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Weather,01_val_Weather,10,0.274427,5,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/01_val_Weather/dspbuilder_meta_20260511_111532/summary.json
Traffic,02_val_Traffic,1,0.527525,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,2,0.536929,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,3,0.539178,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,4,0.540186,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,5,0.523672,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,6,0.470879,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,7,0.447042,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,8,0.526301,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,9,0.514789,9,True,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,10,0.11043,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,11,-0.336413,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,12,-0.316496,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,13,-0.199863,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
Traffic,02_val_Traffic,14,0.547488,9,False,params,0.549300,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/valid_logs/Traffic.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/02_val_Traffic/dspbuilder_meta_20260511_111710/summary.json
ECL,03_val_ECL,1,0.894243,1,True,params,0.941200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/valid_logs/ECL.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/summary.json
ECL,03_val_ECL,2,0.797108,1,False,params,0.941200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/valid_logs/ECL.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/summary.json
ECL,03_val_ECL,3,0.762556,1,False,params,0.941200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/valid_logs/ECL.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/summary.json
ECL,03_val_ECL,4,0.75614,1,False,params,0.941200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/valid_logs/ECL.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/summary.json
ECL,03_val_ECL,5,0.874203,1,False,params,0.941200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/valid_logs/ECL.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/summary.json
ECL,03_val_ECL,6,0.87295,1,False,params,0.941200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/valid_logs/ECL.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/03_val_ECL/dspbuilder_meta_20260511_111909/summary.json
Etth1,04_val_Etth1,1,-0.385531,13,False,flops,-0.352200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/valid_logs/Etth1.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/summary.json
Etth1,04_val_Etth1,2,-0.38255,13,False,flops,-0.352200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/valid_logs/Etth1.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/summary.json
Etth1,04_val_Etth1,3,-0.369867,13,False,flops,-0.352200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/valid_logs/Etth1.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/summary.json
Etth1,04_val_Etth1,4,-0.373955,13,False,flops,-0.352200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/valid_logs/Etth1.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/summary.json
Etth1,04_val_Etth1,5,-0.376194,13,False,flops,-0.352200,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/valid_logs/Etth1.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_111516/04_val_Etth1/dspbuilder_meta_20260511_112015/summary.json
