dataset,run_name,epoch,spearman_mean,best_epoch,is_best_epoch,baseline_best_proxy,baseline_coefficient,valid_log_path,summary_path
Weather,01_val_Weather,1,0.1594,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,2,0.324164,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,3,0.381108,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,4,0.408739,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,5,0.404083,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,6,0.410602,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,7,0.41257,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,8,0.416756,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,9,0.409923,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,10,0.411711,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
Weather,01_val_Weather,11,0.413907,15,False,flops,0.446600,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/valid_logs/Weather.txt,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260511_114502/01_val_Weather/dspbuilder_meta_20260511_114518/summary.json
