dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,1,0.710244,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,2,0.652111,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,3,0.655502,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,4,0.65456,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,5,0.654579,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,6,0.650112,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,7,0.656309,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,8,0.650937,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,9,0.645638,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,10,0.648263,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,11,0.655702,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,12,0.648216,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,13,0.645538,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,14,0.64747,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,15,0.643667,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,16,0.645735,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,17,0.650544,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,18,0.657524,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,19,0.653082,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260528_073504,20,0.640239,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/suite_20260528_073452/01_val_Weather/dspbuilder_meta_20260528_073504/valid_logs/Weather.txt
