dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,1,0.668188,0,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,2,0.652135,0,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,3,0.649691,0,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,4,0.649032,0,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,5,0.649036,1,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,6,0.651689,2,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,7,0.652195,3,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,8,0.650645,4,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_104835,9,0.654691,5,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260423_104931,1,0.662537,0,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260423_104931,2,0.669357,1,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260423_104931,3,0.66186,0,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt
