dataset,run_name,epoch,spearman_mean,best_epoch,is_best_epoch,baseline_best_proxy,baseline_coefficient,valid_log_path,summary_path
Weather,01_val_Weather,1,0.318536,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,2,0.386631,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,3,0.411711,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,4,0.421278,4,True,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,5,0.428995,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,6,0.428875,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,7,0.426909,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,8,0.429338,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Weather,01_val_Weather,9,0.435896,4,False,flops,0.446600,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/valid_logs/Weather.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/01_val_Weather/dspbuilder_meta_20260423_104835/summary.json
Traffic,02_val_Traffic,1,0.382802,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,2,0.23508,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,3,0.252157,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,4,0.407467,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,5,0.446265,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,6,0.44222,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,7,0.489659,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,8,0.490057,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,9,0.493996,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,10,0.493849,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,11,0.489133,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,12,0.500234,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,13,0.500786,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,14,0.479006,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,15,0.501461,15,True,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,16,0.50273,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,17,0.496914,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,18,0.497906,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,19,0.485993,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
Traffic,02_val_Traffic,20,0.501024,15,False,params,0.549300,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/valid_logs/Traffic.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/02_val_Traffic/dspbuilder_meta_20260423_104931/summary.json
ECL,03_val_ECL,1,0.735158,8,False,params,0.941200,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/03_val_ECL/dspbuilder_meta_20260423_105111/valid_logs/ECL.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/03_val_ECL/dspbuilder_meta_20260423_105111/summary.json
ECL,03_val_ECL,2,0.839304,8,False,params,0.941200,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/03_val_ECL/dspbuilder_meta_20260423_105111/valid_logs/ECL.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/03_val_ECL/dspbuilder_meta_20260423_105111/summary.json
ECL,03_val_ECL,3,0.876412,8,False,params,0.941200,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/03_val_ECL/dspbuilder_meta_20260423_105111/valid_logs/ECL.txt,/home/gpuadmin/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 1 (260423)/03_val_ECL/dspbuilder_meta_20260423_105111/summary.json
