dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,1,0.750715,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,2,0.722696,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,3,0.673504,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,4,0.659555,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,5,0.657808,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,6,0.658163,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,7,0.65792,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,8,0.657705,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,9,0.658083,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,10,0.656599,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,11,0.657699,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,12,0.655971,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,13,0.65454,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,14,0.65324,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,15,0.652798,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,16,0.653449,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,17,0.652306,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,18,0.651145,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,19,0.650868,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,20,0.652318,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,21,0.651841,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,22,0.652895,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
Weather,01_val_Weather,dspbuilder_meta_20260423_111817,23,0.651098,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/weight head layer 3 (260423)/01_val_Weather/dspbuilder_meta_20260423_111817/valid_logs/Weather.txt
