candidate_id,candidate_name,model,task_name,data,num_batches,status,error,synflow
mamba_long_term_forecast_ecl_dm64_df12_expand2_dc3_dtr8_0001,mamba_long_term_forecast_ecl_dm64_df12_expand2_dc3_dtr8_0001,Mamba,long_term_forecast,custom,5,success,,14271932006400.0
mamba_long_term_forecast_ecl_dm96_df12_expand2_dc2_dtr8_0002,mamba_long_term_forecast_ecl_dm96_df12_expand2_dc2_dtr8_0002,Mamba,long_term_forecast,custom,5,success,,52045587415040.0
mamba_long_term_forecast_ecl_dm128_df12_expand1_dc2_dtr32_0003,mamba_long_term_forecast_ecl_dm128_df12_expand1_dc2_dtr32_0003,Mamba,long_term_forecast,custom,5,success,,90291025477632.0
mamba_long_term_forecast_ecl_dm128_df12_expand1_dc3_dtr32_0004,mamba_long_term_forecast_ecl_dm128_df12_expand1_dc3_dtr32_0004,Mamba,long_term_forecast,custom,5,success,,189856613400576.0
mamba_long_term_forecast_ecl_dm64_df12_expand1_dc4_dtr32_0005,mamba_long_term_forecast_ecl_dm64_df12_expand1_dc4_dtr32_0005,Mamba,long_term_forecast,custom,5,success,,14172602499072.0
mamba_long_term_forecast_ecl_dm96_df8_expand1_dc3_dtr8_0006,mamba_long_term_forecast_ecl_dm96_df8_expand1_dc3_dtr8_0006,Mamba,long_term_forecast,custom,5,success,,15258238320640.0
mamba_long_term_forecast_ecl_dm128_df16_expand2_dc2_dtr8_0007,mamba_long_term_forecast_ecl_dm128_df16_expand2_dc2_dtr8_0007,Mamba,long_term_forecast,custom,5,success,,246552631181312.0
mamba_long_term_forecast_ecl_dm128_df12_expand2_dc4_dtr16_0008,mamba_long_term_forecast_ecl_dm128_df12_expand2_dc4_dtr16_0008,Mamba,long_term_forecast,custom,5,success,,878680247107584.0
mamba_long_term_forecast_ecl_dm96_df16_expand2_dc4_dtr32_0009,mamba_long_term_forecast_ecl_dm96_df16_expand2_dc4_dtr32_0009,Mamba,long_term_forecast,custom,5,success,,491523238002688.0
mamba_long_term_forecast_ecl_dm128_df16_expand1_dc2_dtr32_0010,mamba_long_term_forecast_ecl_dm128_df16_expand1_dc2_dtr32_0010,Mamba,long_term_forecast,custom,5,success,,118826955964416.0
mamba_long_term_forecast_ecl_dm128_df12_expand2_dc3_dtr32_0011,mamba_long_term_forecast_ecl_dm128_df12_expand2_dc3_dtr32_0011,Mamba,long_term_forecast,custom,5,success,,725087787417600.0
mamba_long_term_forecast_ecl_dm128_df8_expand2_dc4_dtr32_0012,mamba_long_term_forecast_ecl_dm128_df8_expand2_dc4_dtr32_0012,Mamba,long_term_forecast,custom,5,success,,822886675775488.0
mamba_long_term_forecast_ecl_dm128_df8_expand1_dc3_dtr16_0013,mamba_long_term_forecast_ecl_dm128_df8_expand1_dc3_dtr16_0013,Mamba,long_term_forecast,custom,5,success,,85471946342400.0
mamba_long_term_forecast_ecl_dm96_df8_expand1_dc4_dtr16_0014,mamba_long_term_forecast_ecl_dm96_df8_expand1_dc4_dtr16_0014,Mamba,long_term_forecast,custom,5,success,,39579563117772.8
mamba_long_term_forecast_ecl_dm64_df8_expand1_dc2_dtr8_0015,mamba_long_term_forecast_ecl_dm64_df8_expand1_dc2_dtr8_0015,Mamba,long_term_forecast,custom,5,success,,1310924865536.0
mamba_long_term_forecast_ecl_dm64_df12_expand1_dc2_dtr32_0016,mamba_long_term_forecast_ecl_dm64_df12_expand1_dc2_dtr32_0016,Mamba,long_term_forecast,custom,5,success,,3692447924224.0
mamba_long_term_forecast_ecl_dm64_df12_expand2_dc2_dtr16_0017,mamba_long_term_forecast_ecl_dm64_df12_expand2_dc2_dtr16_0017,Mamba,long_term_forecast,custom,5,success,,9709971046400.0
mamba_long_term_forecast_ecl_dm96_df12_expand1_dc2_dtr16_0018,mamba_long_term_forecast_ecl_dm96_df12_expand1_dc2_dtr16_0018,Mamba,long_term_forecast,custom,5,success,,16170815062016.0
mamba_long_term_forecast_ecl_dm64_df12_expand1_dc4_dtr16_0019,mamba_long_term_forecast_ecl_dm64_df12_expand1_dc4_dtr16_0019,Mamba,long_term_forecast,custom,5,success,,10352043491328.0
mamba_long_term_forecast_ecl_dm128_df8_expand1_dc4_dtr16_0020,mamba_long_term_forecast_ecl_dm128_df8_expand1_dc4_dtr16_0020,Mamba,long_term_forecast,custom,5,success,,137861085003776.0
mamba_long_term_forecast_ecl_dm64_df8_expand1_dc2_dtr32_0021,mamba_long_term_forecast_ecl_dm64_df8_expand1_dc2_dtr32_0021,Mamba,long_term_forecast,custom,5,success,,2532469374976.0
mamba_long_term_forecast_ecl_dm128_df16_expand1_dc4_dtr8_0022,mamba_long_term_forecast_ecl_dm128_df16_expand1_dc4_dtr8_0022,Mamba,long_term_forecast,custom,5,success,,207481062031360.0
mamba_long_term_forecast_ecl_dm96_df12_expand1_dc4_dtr32_0023,mamba_long_term_forecast_ecl_dm96_df12_expand1_dc4_dtr32_0023,Mamba,long_term_forecast,custom,5,success,,82710198484992.0
mamba_long_term_forecast_ecl_dm64_df16_expand2_dc4_dtr32_0024,mamba_long_term_forecast_ecl_dm64_df16_expand2_dc4_dtr32_0024,Mamba,long_term_forecast,custom,5,success,,62161443356672.0
mamba_long_term_forecast_ecl_dm96_df16_expand2_dc2_dtr32_0025,mamba_long_term_forecast_ecl_dm96_df16_expand2_dc2_dtr32_0025,Mamba,long_term_forecast,custom,5,success,,136795085864960.0
mamba_long_term_forecast_ecl_dm96_df8_expand2_dc2_dtr16_0026,mamba_long_term_forecast_ecl_dm96_df8_expand2_dc2_dtr16_0026,Mamba,long_term_forecast,custom,5,success,,48048242897715.2
mamba_long_term_forecast_ecl_dm96_df12_expand2_dc4_dtr32_0027,mamba_long_term_forecast_ecl_dm96_df12_expand2_dc4_dtr32_0027,Mamba,long_term_forecast,custom,5,success,,370855427178496.0
mamba_long_term_forecast_ecl_dm96_df16_expand1_dc2_dtr16_0028,mamba_long_term_forecast_ecl_dm96_df16_expand1_dc2_dtr16_0028,Mamba,long_term_forecast,custom,5,success,,22185905225728.0
mamba_long_term_forecast_ecl_dm96_df16_expand1_dc4_dtr8_0029,mamba_long_term_forecast_ecl_dm96_df16_expand1_dc4_dtr8_0029,Mamba,long_term_forecast,custom,5,success,,55715108487168.0
mamba_long_term_forecast_ecl_dm128_df16_expand2_dc3_dtr32_0030,mamba_long_term_forecast_ecl_dm128_df16_expand2_dc3_dtr32_0030,Mamba,long_term_forecast,custom,5,success,,973970136367104.0
mamba_long_term_forecast_ecl_dm64_df12_expand1_dc2_dtr16_0031,mamba_long_term_forecast_ecl_dm64_df12_expand1_dc2_dtr16_0031,Mamba,long_term_forecast,custom,5,success,,2684288499712.0
mamba_long_term_forecast_ecl_dm96_df12_expand2_dc4_dtr8_0032,mamba_long_term_forecast_ecl_dm96_df12_expand2_dc4_dtr8_0032,Mamba,long_term_forecast,custom,5,success,,187333991202816.0
mamba_long_term_forecast_ecl_dm64_df12_expand1_dc3_dtr16_0033,mamba_long_term_forecast_ecl_dm64_df12_expand1_dc3_dtr16_0033,Mamba,long_term_forecast,custom,5,success,,6403381526528.0
mamba_long_term_forecast_ecl_dm96_df12_expand1_dc2_dtr32_0034,mamba_long_term_forecast_ecl_dm96_df12_expand1_dc2_dtr32_0034,Mamba,long_term_forecast,custom,5,success,,23122098624921.6
mamba_long_term_forecast_ecl_dm128_df16_expand1_dc2_dtr8_0035,mamba_long_term_forecast_ecl_dm128_df16_expand1_dc2_dtr8_0035,Mamba,long_term_forecast,custom,5,success,,62517418131456.0
mamba_long_term_forecast_ecl_dm96_df8_expand1_dc3_dtr16_0036,mamba_long_term_forecast_ecl_dm96_df8_expand1_dc3_dtr16_0036,Mamba,long_term_forecast,custom,5,success,,22338946990080.0
mamba_long_term_forecast_ecl_dm64_df12_expand1_dc2_dtr8_0037,mamba_long_term_forecast_ecl_dm64_df12_expand1_dc2_dtr8_0037,Mamba,long_term_forecast,custom,5,success,,1961897754624.0
mamba_long_term_forecast_ecl_dm128_df16_expand1_dc3_dtr32_0038,mamba_long_term_forecast_ecl_dm128_df16_expand1_dc3_dtr32_0038,Mamba,long_term_forecast,custom,5,success,,249607661551616.0
mamba_long_term_forecast_ecl_dm96_df12_expand2_dc2_dtr16_0039,mamba_long_term_forecast_ecl_dm96_df12_expand2_dc2_dtr16_0039,Mamba,long_term_forecast,custom,5,success,,73118538268672.0
mamba_long_term_forecast_ecl_dm96_df16_expand1_dc2_dtr8_0040,mamba_long_term_forecast_ecl_dm96_df16_expand1_dc2_dtr8_0040,Mamba,long_term_forecast,custom,5,success,,15332324409344.0
mamba_long_term_forecast_ecl_dm128_df12_expand1_dc4_dtr32_0041,mamba_long_term_forecast_ecl_dm128_df12_expand1_dc4_dtr32_0041,Mamba,long_term_forecast,custom,5,success,,304701086105600.0
mamba_long_term_forecast_ecl_dm128_df12_expand1_dc2_dtr16_0042,mamba_long_term_forecast_ecl_dm128_df12_expand1_dc2_dtr16_0042,Mamba,long_term_forecast,custom,5,success,,61933772341248.0
