candidate_id,candidate_name,model,task_name,data,num_batches,status,error,synflow
mamba_short_term_forecast_m4_daily_dm64_df12_expand2_dc3_dtr8_0001,mamba_short_term_forecast_m4_daily_dm64_df12_expand2_dc3_dtr8_0001,Mamba,short_term_forecast,m4,5,success,,5548010.0
mamba_short_term_forecast_m4_daily_dm96_df12_expand2_dc2_dtr8_0002,mamba_short_term_forecast_m4_daily_dm96_df12_expand2_dc2_dtr8_0002,Mamba,short_term_forecast,m4,5,success,,19756044.0
mamba_short_term_forecast_m4_daily_dm128_df12_expand1_dc2_dtr32_0003,mamba_short_term_forecast_m4_daily_dm128_df12_expand1_dc2_dtr32_0003,Mamba,short_term_forecast,m4,5,success,,46230520.0
mamba_short_term_forecast_m4_daily_dm128_df12_expand1_dc3_dtr32_0004,mamba_short_term_forecast_m4_daily_dm128_df12_expand1_dc3_dtr32_0004,Mamba,short_term_forecast,m4,5,success,,87829632.0
mamba_short_term_forecast_m4_daily_dm64_df12_expand1_dc4_dtr32_0005,mamba_short_term_forecast_m4_daily_dm64_df12_expand1_dc4_dtr32_0005,Mamba,short_term_forecast,m4,5,success,,3709582.25
mamba_short_term_forecast_m4_daily_dm96_df8_expand1_dc3_dtr8_0006,mamba_short_term_forecast_m4_daily_dm96_df8_expand1_dc3_dtr8_0006,Mamba,short_term_forecast,m4,5,success,,6425737.0
mamba_short_term_forecast_m4_daily_dm128_df16_expand2_dc2_dtr8_0007,mamba_short_term_forecast_m4_daily_dm128_df16_expand2_dc2_dtr8_0007,Mamba,short_term_forecast,m4,5,success,,137137120.0
mamba_short_term_forecast_m4_daily_dm128_df12_expand2_dc4_dtr16_0008,mamba_short_term_forecast_m4_daily_dm128_df12_expand2_dc4_dtr16_0008,Mamba,short_term_forecast,m4,5,success,,441800736.0
mamba_short_term_forecast_m4_daily_dm96_df16_expand2_dc4_dtr32_0009,mamba_short_term_forecast_m4_daily_dm96_df16_expand2_dc4_dtr32_0009,Mamba,short_term_forecast,m4,5,success,,168775360.0
mamba_short_term_forecast_m4_daily_dm128_df16_expand1_dc2_dtr32_0010,mamba_short_term_forecast_m4_daily_dm128_df16_expand1_dc2_dtr32_0010,Mamba,short_term_forecast,m4,5,success,,61617320.0
mamba_short_term_forecast_m4_daily_dm128_df12_expand2_dc3_dtr32_0011,mamba_short_term_forecast_m4_daily_dm128_df12_expand2_dc3_dtr32_0011,Mamba,short_term_forecast,m4,5,success,,379683072.0
mamba_short_term_forecast_m4_daily_dm128_df8_expand2_dc4_dtr32_0012,mamba_short_term_forecast_m4_daily_dm128_df8_expand2_dc4_dtr32_0012,Mamba,short_term_forecast,m4,5,success,,412335168.0
mamba_short_term_forecast_m4_daily_dm128_df8_expand1_dc3_dtr16_0013,mamba_short_term_forecast_m4_daily_dm128_df8_expand1_dc3_dtr16_0013,Mamba,short_term_forecast,m4,5,success,,38986667.2
mamba_short_term_forecast_m4_daily_dm96_df8_expand1_dc4_dtr16_0014,mamba_short_term_forecast_m4_daily_dm96_df8_expand1_dc4_dtr16_0014,Mamba,short_term_forecast,m4,5,success,,15551128.0
mamba_short_term_forecast_m4_daily_dm64_df8_expand1_dc2_dtr8_0015,mamba_short_term_forecast_m4_daily_dm64_df8_expand1_dc2_dtr8_0015,Mamba,short_term_forecast,m4,5,success,,532620.25
mamba_short_term_forecast_m4_daily_dm64_df12_expand1_dc2_dtr32_0016,mamba_short_term_forecast_m4_daily_dm64_df12_expand1_dc2_dtr32_0016,Mamba,short_term_forecast,m4,5,success,,1455108.625
mamba_short_term_forecast_m4_daily_dm64_df12_expand2_dc2_dtr16_0017,mamba_short_term_forecast_m4_daily_dm64_df12_expand2_dc2_dtr16_0017,Mamba,short_term_forecast,m4,5,success,,3676485.0
