candidate_id,candidate_name,model,task_name,data,num_batches,status,error,synflow
mamba_short_term_forecast_m4_monthly_dm64_df12_expand2_dc3_dtr8_0001,mamba_short_term_forecast_m4_monthly_dm64_df12_expand2_dc3_dtr8_0001,Mamba,short_term_forecast,m4,5,success,,5962033.5
mamba_short_term_forecast_m4_monthly_dm96_df12_expand2_dc2_dtr8_0002,mamba_short_term_forecast_m4_monthly_dm96_df12_expand2_dc2_dtr8_0002,Mamba,short_term_forecast,m4,5,success,,21010904.0
mamba_short_term_forecast_m4_monthly_dm128_df12_expand1_dc2_dtr32_0003,mamba_short_term_forecast_m4_monthly_dm128_df12_expand1_dc2_dtr32_0003,Mamba,short_term_forecast,m4,5,success,,49013576.0
mamba_short_term_forecast_m4_monthly_dm128_df12_expand1_dc3_dtr32_0004,mamba_short_term_forecast_m4_monthly_dm128_df12_expand1_dc3_dtr32_0004,Mamba,short_term_forecast,m4,5,success,,92793568.0
mamba_short_term_forecast_m4_monthly_dm64_df12_expand1_dc4_dtr32_0005,mamba_short_term_forecast_m4_monthly_dm64_df12_expand1_dc4_dtr32_0005,Mamba,short_term_forecast,m4,5,success,,3842474.6
mamba_short_term_forecast_m4_monthly_dm96_df8_expand1_dc3_dtr8_0006,mamba_short_term_forecast_m4_monthly_dm96_df8_expand1_dc3_dtr8_0006,Mamba,short_term_forecast,m4,5,success,,6741501.5
mamba_short_term_forecast_m4_monthly_dm128_df16_expand2_dc2_dtr8_0007,mamba_short_term_forecast_m4_monthly_dm128_df16_expand2_dc2_dtr8_0007,Mamba,short_term_forecast,m4,5,success,,146384000.0
mamba_short_term_forecast_m4_monthly_dm128_df12_expand2_dc4_dtr16_0008,mamba_short_term_forecast_m4_monthly_dm128_df12_expand2_dc4_dtr16_0008,Mamba,short_term_forecast,m4,5,success,,466261420.8
mamba_short_term_forecast_m4_monthly_dm96_df16_expand2_dc4_dtr32_0009,mamba_short_term_forecast_m4_monthly_dm96_df16_expand2_dc4_dtr32_0009,Mamba,short_term_forecast,m4,5,success,,178262976.0
mamba_short_term_forecast_m4_monthly_dm128_df16_expand1_dc2_dtr32_0010,mamba_short_term_forecast_m4_monthly_dm128_df16_expand1_dc2_dtr32_0010,Mamba,short_term_forecast,m4,5,success,,65370120.0
mamba_short_term_forecast_m4_monthly_dm128_df12_expand2_dc3_dtr32_0011,mamba_short_term_forecast_m4_monthly_dm128_df12_expand2_dc3_dtr32_0011,Mamba,short_term_forecast,m4,5,success,,398674112.0
mamba_short_term_forecast_m4_monthly_dm128_df8_expand2_dc4_dtr32_0012,mamba_short_term_forecast_m4_monthly_dm128_df8_expand2_dc4_dtr32_0012,Mamba,short_term_forecast,m4,5,success,,434727968.0
mamba_short_term_forecast_m4_monthly_dm128_df8_expand1_dc3_dtr16_0013,mamba_short_term_forecast_m4_monthly_dm128_df8_expand1_dc3_dtr16_0013,Mamba,short_term_forecast,m4,5,success,,41202056.0
mamba_short_term_forecast_m4_monthly_dm96_df8_expand1_dc4_dtr16_0014,mamba_short_term_forecast_m4_monthly_dm96_df8_expand1_dc4_dtr16_0014,Mamba,short_term_forecast,m4,5,success,,16153059.0
mamba_short_term_forecast_m4_monthly_dm64_df8_expand1_dc2_dtr8_0015,mamba_short_term_forecast_m4_monthly_dm64_df8_expand1_dc2_dtr8_0015,Mamba,short_term_forecast,m4,5,success,,583793.9375
mamba_short_term_forecast_m4_monthly_dm64_df12_expand1_dc2_dtr32_0016,mamba_short_term_forecast_m4_monthly_dm64_df12_expand1_dc2_dtr32_0016,Mamba,short_term_forecast,m4,5,success,,1584760.375
mamba_short_term_forecast_m4_monthly_dm64_df12_expand2_dc2_dtr16_0017,mamba_short_term_forecast_m4_monthly_dm64_df12_expand2_dc2_dtr16_0017,Mamba,short_term_forecast,m4,5,success,,4037301.0
mamba_short_term_forecast_m4_monthly_dm96_df12_expand1_dc2_dtr16_0018,mamba_short_term_forecast_m4_monthly_dm96_df12_expand1_dc2_dtr16_0018,Mamba,short_term_forecast,m4,5,success,,6850305.5
mamba_short_term_forecast_m4_monthly_dm64_df12_expand1_dc4_dtr16_0019,mamba_short_term_forecast_m4_monthly_dm64_df12_expand1_dc4_dtr16_0019,Mamba,short_term_forecast,m4,5,success,,2907803.25
mamba_short_term_forecast_m4_monthly_dm128_df8_expand1_dc4_dtr16_0020,mamba_short_term_forecast_m4_monthly_dm128_df8_expand1_dc4_dtr16_0020,Mamba,short_term_forecast,m4,5,success,,76090472.0
mamba_short_term_forecast_m4_monthly_dm64_df8_expand1_dc2_dtr32_0021,mamba_short_term_forecast_m4_monthly_dm64_df8_expand1_dc2_dtr32_0021,Mamba,short_term_forecast,m4,5,success,,1035484.4375
