candidate_id,candidate_name,model,task_name,data,num_batches,status,error,synflow
mamba_short_term_forecast_m4_yearly_dm64_df12_expand2_dc3_dtr8_0001,mamba_short_term_forecast_m4_yearly_dm64_df12_expand2_dc3_dtr8_0001,Mamba,short_term_forecast,m4,5,success,,4289505.5
mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc2_dtr8_0002,mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc2_dtr8_0002,Mamba,short_term_forecast,m4,5,success,,14517814.0
mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc2_dtr32_0003,mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc2_dtr32_0003,Mamba,short_term_forecast,m4,5,success,,35383776.0
mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc3_dtr32_0004,mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc3_dtr32_0004,Mamba,short_term_forecast,m4,5,success,,69751912.0
mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc4_dtr32_0005,mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc4_dtr32_0005,Mamba,short_term_forecast,m4,5,success,,3130943.75
mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc3_dtr8_0006,mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc3_dtr8_0006,Mamba,short_term_forecast,m4,5,success,,4842177.5
mamba_short_term_forecast_m4_yearly_dm128_df16_expand2_dc2_dtr8_0007,mamba_short_term_forecast_m4_yearly_dm128_df16_expand2_dc2_dtr8_0007,Mamba,short_term_forecast,m4,5,success,,104109992.0
mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc4_dtr16_0008,mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc4_dtr16_0008,Mamba,short_term_forecast,m4,5,success,,357644096.0
mamba_short_term_forecast_m4_yearly_dm96_df16_expand2_dc4_dtr32_0009,mamba_short_term_forecast_m4_yearly_dm96_df16_expand2_dc4_dtr32_0009,Mamba,short_term_forecast,m4,5,success,,136784576.0
mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc2_dtr32_0010,mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc2_dtr32_0010,Mamba,short_term_forecast,m4,5,success,,47278604.8
mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc3_dtr32_0011,mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc3_dtr32_0011,Mamba,short_term_forecast,m4,5,success,,300940339.2
mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc4_dtr32_0012,mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc4_dtr32_0012,Mamba,short_term_forecast,m4,5,success,,335055488.0
mamba_short_term_forecast_m4_yearly_dm128_df8_expand1_dc3_dtr16_0013,mamba_short_term_forecast_m4_yearly_dm128_df8_expand1_dc3_dtr16_0013,Mamba,short_term_forecast,m4,5,success,,30795718.8
mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc4_dtr16_0014,mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc4_dtr16_0014,Mamba,short_term_forecast,m4,5,success,,12412010.0
mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc2_dtr8_0015,mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc2_dtr8_0015,Mamba,short_term_forecast,m4,5,success,,394281.25
mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc2_dtr32_0016,mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc2_dtr32_0016,Mamba,short_term_forecast,m4,5,success,,1095957.375
mamba_short_term_forecast_m4_yearly_dm64_df12_expand2_dc2_dtr16_0017,mamba_short_term_forecast_m4_yearly_dm64_df12_expand2_dc2_dtr16_0017,Mamba,short_term_forecast,m4,5,success,,2665220.75
mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc2_dtr16_0018,mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc2_dtr16_0018,Mamba,short_term_forecast,m4,5,success,,4832144.0
mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc4_dtr16_0019,mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc4_dtr16_0019,Mamba,short_term_forecast,m4,5,success,,2361261.0
mamba_short_term_forecast_m4_yearly_dm128_df8_expand1_dc4_dtr16_0020,mamba_short_term_forecast_m4_yearly_dm128_df8_expand1_dc4_dtr16_0020,Mamba,short_term_forecast,m4,5,success,,58417376.0
mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc2_dtr32_0021,mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc2_dtr32_0021,Mamba,short_term_forecast,m4,5,success,,716710.625
mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc4_dtr8_0022,mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc4_dtr8_0022,Mamba,short_term_forecast,m4,5,success,,89126702.4
