candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.472584000,43.73970413208008,1.989959957,3.3290877819061278,0.2878597557544708,0.12409922629594802,-33.08196449279785,-182.2811338989721,41.57633972167969,1.2347713232040405,30.370689392089844,0.033945213
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.342536000,40.86125183105469,1.402396178,2.6298548221588134,0.3213472902774811,0.1286964163184166,-23.146321487426757,-578.1855214066275,50.40843963623047,1.7716951847076416,26.325856399536132,0.391196627
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408000,68.32644653320312,7.785830606,3.8778592586517333,0.38881741762161254,0.09396985620260238,-53.75717315673828,-199.11498698575414,35.21226272583008,1.2189397096633912,74.89366302490234,13634017.198866433
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.205768000,55.95563507080078,6.042888536,5.510524272918701,0.3395021677017212,0.17962604463100434,-108.00361022949218,-256.47884562507977,43.26530075073242,1.5691219806671142,73.90921478271484,0.880714291
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.797128000,63.62611389160156,7.888460250,6.585237312316894,0.3484337508678436,0.4218688189983368,-140.60179138183594,-228.855410112876,35.76104888916016,1.6500924587249757,108.88666381835938,926123.180634931
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.669192000,46.825042724609375,1.952211069,2.7601426601409913,0.3364099323749542,0.09136419147253036,-25.364795303344728,-782.5201665782002,51.31540451049805,1.3410049676895142,30.950118637084962,0.097321874
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.501448000,59.847713470458984,7.057687169,3.3385712146759032,0.375881153345108,0.0676744170486927,-44.78071746826172,-1658.164469904673,63.45782241821289,1.3250135421752929,55.02589569091797,469.210084147
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.495304000,57.23490524291992,4.419354901,2.9755553722381594,0.3211753308773041,0.0801258459687233,-25.61640396118164,-172.92610410924945,40.36751861572266,1.0425548672676086,38.291387939453124,0.164437718
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.673288000,48.83770751953125,3.133870489,2.3069982051849367,0.3846776247024536,0.08059747964143753,-15.406549739837647,-787.8698309111803,52.68656005859375,1.3675102472305298,32.589036560058595,161.878897459
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272000,64.1078109741211,7.057687169,3.60034065246582,0.3845110535621643,0.1348363995552063,-42.3646354675293,-293.8798023139892,39.43639144897461,1.5571008205413819,63.33478469848633,371.275825152
Autoformer_010,Autoformer_010,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.757256000,49.2233772277832,3.450562656,3.447678470611572,0.3332963168621063,0.11983655095100403,-33.465432739257814,-587.2845026069018,53.9289436340332,1.4729568719863892,38.16718673706055,0.058167011
Autoformer_011,Autoformer_011,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.648136000,59.265167236328125,5.961492628,5.239905738830567,0.38571866750717165,0.2804840385913849,-89.4188232421875,-213.95484064776014,44.15917892456055,2.1127361059188843,84.86517486572265,19.988378010
Autoformer_012,Autoformer_012,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.640520000,48.35784149169922,2.070415078,2.2483150005340575,0.40552011132240295,0.07751118540763854,-16.969956588745116,-1237.2267312542506,51.631568908691406,1.2089474201202393,32.956702423095706,1713.059659776
Autoformer_013,Autoformer_013,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.935432000,52.4485969543457,3.133870489,3.0665934085845947,0.4050250589847565,0.11772744953632355,-34.78576393127442,-295.43299438579817,42.798954772949216,1.6503331661224365,47.47396392822266,28.285558374
Autoformer_014,Autoformer_014,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.268424000,38.081844329833984,1.105563773,1.7723492860794068,0.3266916751861572,0.05038139745593071,-10.57414951324463,-800.4422527200147,51.34636535644531,0.9753015995025635,16.14027557373047,0.022014641
Autoformer_015,Autoformer_015,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408000,68.32644653320312,7.785830606,3.3725751876831054,0.4127113938331604,0.08803969025611877,-39.186563110351564,-279.28391681366713,35.53165054321289,1.3372564792633057,69.882373046875,49059334.376023658
Autoformer_016,Autoformer_016,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272000,64.1078109741211,7.057687169,4.531233215332032,0.37313042879104613,0.16666174232959746,-63.75925140380859,-1203.9151637339346,59.127262115478516,1.8549425840377807,77.82078704833984,3871.715780198
Autoformer_017,Autoformer_017,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.382088000,42.47563171386719,1.784199577,2.0491841793060304,0.40380322337150576,0.08893207907676696,-10.668754482269287,-1207.6331673501127,57.08295593261719,1.550210165977478,26.776109313964845,2.248413286
Autoformer_018,Autoformer_018,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.501448000,59.847713470458984,6.965674393,3.2109689235687258,0.39256955981254577,0.07339593917131423,-35.21583633422851,-1702.7604633405397,63.8909912109375,1.4385019540786743,55.32330474853516,2916.458849894
Autoformer_019,Autoformer_019,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.132552000,55.866600036621094,3.547734490,2.540594053268433,0.392907989025116,0.0536265105009079,-22.69638137817383,-230.36708986789213,39.42714157104492,0.9855499267578125,41.33867492675781,5278.479994061
Autoformer_020,Autoformer_020,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.379016000,40.466407775878906,1.105563773,3.1569823265075683,0.32767377495765687,0.1497596889734268,-33.72829055786133,-128.1402338398481,48.38549118041992,1.5363599061965942,30.045730209350587,0.024202546
Autoformer_021,Autoformer_021,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.342536000,40.86125183105469,1.335155866,2.354892921447754,0.34382715821266174,0.07540710121393204,-18.588472747802733,-150.85159263424958,48.10372543334961,1.3574450254440307,24.551448822021484,2.309789184
Autoformer_022,Autoformer_022,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408000,68.32644653320312,7.785830606,3.87785964012146,0.38881742358207705,0.09396990537643432,-53.7664291381836,-199.1135555512147,35.21224670410156,1.2189335346221923,74.89366607666015,13923235.786863413
Autoformer_023,Autoformer_023,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.804872000,51.97501754760742,3.616154342,2.6067683696746826,0.36437792181968687,0.06570860594511033,-25.482503509521486,-247.97291269832021,37.53850173950195,1.259845209121704,37.44395446777344,23.832112333
Autoformer_024,Autoformer_024,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.541704000,45.785850524902344,2.720006488,3.116050672531128,0.32364031076431277,0.1649794191122055,-25.065419387817382,-757.0173335296365,55.38972549438476,1.3067740201950073,33.540367126464844,2.527970765
Autoformer_025,Autoformer_025,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.640520000,48.35784149169922,2.019100122,3.4767879962921144,0.3866179049015045,0.12894213050603867,-44.319970703125,-248.66081832563728,45.10360870361328,1.3755624771118165,47.99821472167969,119.451995341
Autoformer_026,Autoformer_026,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.052936000,53.63167953491211,4.419354901,5.255000209808349,0.2961109519004822,0.22253847122192383,-102.44519348144532,-237.63720949733312,43.08862152099609,1.8095946311950684,58.299842834472656,0.058963478
Autoformer_027,Autoformer_027,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.456200000,44.983917236328125,1.967785166,2.58317494392395,0.42288761734962466,0.10923754274845124,-7.001763534545899,-844.9923269279161,64.39454727172851,1.548206377029419,37.429734802246095,88519.098132070
Autoformer_028,Autoformer_028,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.132552000,55.866600036621094,3.547734490,2.5405940055847167,0.39290793538093566,0.05362649038434029,-22.70128479003906,-230.36779775708868,39.42714996337891,0.9855449557304382,41.338671112060545,5352.598693478
Autoformer_029,Autoformer_029,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.604168000,47.20355987548828,2.448650770,3.045944595336914,0.3115922510623932,0.1175677865743637,-29.905018615722657,-874.7929321568852,60.26610260009765,1.2804749011993408,33.600813674926755,0.252868730
Autoformer_030,Autoformer_030,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.640520000,48.35784149169922,2.070415078,3.2327651023864745,0.3787972033023834,0.11634701192378998,-37.7524055480957,-259.84518588699774,41.98773956298828,1.3183966636657716,43.53053665161133,19.444222362
Autoformer_031,Autoformer_031,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.205768000,55.95563507080078,5.961492628,3.2740062713623046,0.37986273765563966,0.08984033465385437,-32.78948135375977,-486.2835309919452,46.18006591796875,1.471692442893982,49.67514343261719,10.904251597
