candidate_id,candidate_name,model,split,task_name,data,dataset_name,dataset_family,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,mse
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,0.463617000,43.90009689331055,1.981637909,1.906477189064026,0.19615041315555573,0.01482767816632986,-19.459275436401366,-2959546.9460607735,17738.477734375,0.1434645563364029,10.963657188415528,0.003993302,173.001312256
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,0.335809000,41.097164154052734,1.396138514,6.499159574508667,0.14044342786073685,0.25123076885938644,-275.6987533569336,-2959120.160879559,24887.0484375,0.6669688284397125,25.470772171020506,0.002712686,170.455612183
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,2.516929000,68.57425689697266,7.773347534,6.602471256256104,0.17463580071926116,0.14717914909124374,-211.0407958984375,-2957846.7958484394,19572.484765625,0.7994648098945618,57.10726699829102,1052692.041642803,166.321792603
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,1.188289000,56.37400436401367,6.030405464,2.7688000440597533,0.19335207343101501,0.021350372210144998,-69.31581554412841,-2958517.207455118,8073.983984375,0.29950664937496185,20.99735298156738,0.093284413,171.248260498
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,1.779649000,63.52295684814453,7.875977178,8.627502489089967,0.16628073453903197,0.29527943320572375,-737.6499908447265,-2959288.3711516624,53740.321875,1.1061399400234222,67.15686988830566,46363.423696486,166.379913330
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,0.660225000,46.56007766723633,1.943889021,5.816772174835205,0.1433991014957428,0.09018882662057877,-16.518600463867188,-2959517.8235828727,52051.134375,0.40518367290496826,26.427286911010743,0.004043827,165.259811401
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,1.483969000,59.828556060791016,7.045204097,13.454293346405029,0.1549531936645508,0.552837860584259,1065.5154510498046,-2958083.5012976704,40300.8828125,1.3581451177597046,91.03311233520508,25.916372173,163.202835083
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,1.481857000,57.147857666015625,4.406904085,9.615805625915527,0.15039462447166443,0.6483754515647888,-554.8366394042969,-2959248.0243952074,14183.629296875,2.2164615631103515,56.064823913574216,0.007489183,167.649734497
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,0.661633000,48.956241607666016,3.125516185,10.758663749694824,0.18382840156555175,0.4986201226711273,-722.6666564941406,-2959654.348341793,66657.82578125,0.9793236792087555,69.31318130493165,0.361646560,155.432083130
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,multi_series,Monash__bitcoin_dataset_without_missing_values,Monash,5,success,,2.073793000,64.01487731933594,7.045204097,5.258957481384277,0.21093057692050934,0.10105429291725158,-365.60658569335936,-2959586.2575268657,42665.31875,0.6342709779739379,48.922125244140624,0.759603584,166.073226929
