candidate_id,candidate_name,model,split,task_name,data,dataset_name,dataset_family,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,mse
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,0.466179000,43.94483184814453,1.984015637,3.5120288848876955,0.32616382241249087,0.11725474894046783,-39.2296875,-64.64736679931724,773.4946655273437,0.9723508477210998,35.44537887573242,0.012047395,0.068262219
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,0.337731000,40.94083023071289,1.397926418,3.5465800762176514,0.3264099359512329,0.18790751695632935,-39.157128143310544,-433.6008652741386,1538.8482055664062,1.1211557388305664,35.23414916992188,0.007884816,0.069132879
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,2.521923000,68.38981628417969,7.776914126,6.531230926513672,0.3918739855289459,0.3263250827789307,-216.8316619873047,-109.69287471319078,1327.4390594482422,1.4359874963760375,124.86554107666015,1350465.036799181,0.068593554
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,1.193283000,55.97085952758789,6.033972056,4.587840843200683,0.35269749760627744,0.2110562354326248,-79.40593643188477,-62.2085326617666,985.4095275878906,1.3974232435226441,64.8396827697754,0.297247520,0.068270624
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,1.784643000,63.69221115112305,7.879543770,4.616663074493408,0.35953760147094727,0.1475450098514557,-57.04316444396973,-151.8620514896347,743.6946228027343,1.0549382090568542,78.78951110839844,53717.934433894,0.068721555
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,0.662787000,46.7344856262207,1.946266749,5.3663914680480955,0.3636330127716064,0.27518375813961027,-89.05124206542969,-120.22745387307309,1559.1869689941407,1.3734761238098145,63.45784683227539,0.013098050,0.068477027
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,1.488963000,59.93890380859375,7.048770689,6.234428882598877,0.35031219124794005,0.34611364603042605,-146.86397399902344,-256.26755064131675,1251.1456176757813,1.7342950344085692,95.83305358886719,351.579917517,0.070990995
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,1.485699000,57.230594635009766,4.410461461,5.3192493438720705,0.34363108277320864,0.20746980607509613,-95.45758819580078,-68.03697102484495,576.5595916748047,1.1991549491882325,71.19853210449219,0.034342099,0.067684986
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,0.664963000,49.00344467163086,3.127903129,3.4710623741149904,0.3563867449760437,0.14521389305591584,-37.63195686340332,-251.2362178050218,1353.4527465820313,1.0394697904586792,44.53580856323242,0.602062618,0.070960708
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__5T,TIME,5,success,,2.078787000,64.09358978271484,7.048770689,5.181983566284179,0.36268759369850156,0.1748314842581749,-88.5437614440918,-133.14580424792177,803.5274108886719,1.0267168164253235,85.32465972900391,36.176660070,0.068453588
