dataset_name,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow
Monash__anonymous_public_load_power_data_per_unit,0.2733835599,0.2748222370,0.2773525023,0.0012426808,0.2120688479,0.0217589133,-0.0445678335,-0.2585295679,0.2078098876,0.0715423584,0.1192877964,0.2866828683
Monash__anonymous_public_pv_power_data_per_unit,-0.2930312192,-0.3092668588,-0.3294838828,-0.1317888123,-0.2044387160,-0.0056658407,0.0548312759,0.2769421882,-0.4044182713,-0.0326174772,-0.2672985255,-0.5079944275
Monash__australian_electricity_demand_dataset,-0.0097321350,-0.0060410648,-0.0192126970,-0.1017453866,0.1698144067,-0.0248869432,0.0902090023,-0.7457371749,-0.3818197980,-0.0156748408,-0.0722319137,0.1655841724
Monash__bitcoin_dataset_without_missing_values,0.1504306465,0.1577412016,0.1347594642,0.2412154808,-0.2097453359,0.1898091033,-0.1198109534,0.0950237753,0.3046797768,0.1372756015,0.2460346482,0.3300312937
Monash__elecdemand_dataset,0.0375856901,0.0382059821,0.0290471044,0.2362377885,0.1417325739,0.1621114288,-0.1037169532,-0.7087326202,-0.3220945035,0.0548572884,0.2184040308,0.1895464125
Monash__electricity_hourly_dataset,0.2838849154,0.3076578795,0.3488537293,-0.0688900988,0.2567685797,-0.0391391015,0.1264365160,-0.1652951699,0.2101994700,-0.0474783053,0.0957361748,0.5324635454
Monash__kdd_cup_2018_dataset_without_missing_values,-0.1341095497,-0.1438363489,-0.1416095084,-0.0089192102,-0.1426616010,-0.0225206947,0.0208135646,0.3391975466,-0.3242640474,-0.0814391271,-0.0711665685,-0.3088346456
Monash__oikolab_weather_dataset,0.1213977904,0.0652864983,0.0024954990,-0.1399766664,-0.2277314192,-0.2991979911,0.0768008533,-0.0883280925,-0.4124188047,-0.2351061678,-0.1455727286,-0.3358411395
Monash__pedestrian_counts_dataset,0.2912688343,0.3052883201,0.3214723687,0.3428687747,0.3597589662,0.2175346634,-0.1943950488,-0.6445791620,-0.5945617174,0.0209526773,0.4671668501,0.5388182263
Monash__saugeenday_dataset,0.2343843156,0.2572822038,0.2891716153,0.0444767263,0.1449765803,0.0395842220,-0.0580573182,-0.3119126115,-0.3083530502,0.0727237050,0.1582388869,0.2030414574
Monash__solar_10_minutes_dataset,-0.0362701780,-0.0219025285,-0.0393356164,-0.1136468309,0.0808262763,-0.0866429820,0.0613415705,-0.1222320248,-0.3461456238,-0.0477078687,-0.0488781041,-0.0202753477
Monash__solar_4_seconds_dataset,-0.2861777721,-0.3256536808,-0.3548134085,-0.3667454083,0.3000948899,-0.2224682496,0.2945654952,-0.0062631807,-0.5769677441,-0.2575224169,-0.4288056534,-0.6214522773
Monash__sunspot_dataset_without_missing_values,0.1100099874,0.1067982539,0.1015992826,-0.0448151746,0.3043168161,-0.0467198576,0.0038151535,-0.4954557273,-0.0873618596,0.0277349748,0.0380579827,0.2906953914
Monash__traffic_hourly_dataset,0.2315496223,0.2369952959,0.2520231681,0.2450378338,0.0865940829,0.1216107116,-0.1641640463,-0.6327905866,-0.4544508272,-0.0240567117,0.3097304336,0.3823067773
Monash__us_births_dataset,0.6768129940,0.6938543480,0.7044958631,0.0731779486,0.4007696536,-0.1095665751,-0.0700503417,-0.3238394120,-0.1196865075,-0.0722897082,0.4180629603,0.6795114120
Monash__weather_dataset,-0.2984862305,-0.2941370729,-0.2792051466,-0.1008484987,-0.2325826359,0.0151228364,0.1377499750,-0.0313119035,0.0250331670,-0.0070356337,-0.2093529928,-0.2253830489
Monash__wind_4_seconds_dataset,-0.2626320259,-0.2829237965,-0.2888975161,-0.1178955322,-0.2461415110,-0.0644758275,0.1262671807,0.2636193735,-0.4534383715,-0.0657833976,-0.2389937666,-0.4899518294
