번호,el,dm,df,tk,nk,final_epoch,mse,mae
1,1,32,128,7,6,10,0.4005923867225647,0.4180730879306793
2,2,64,256,6,3,8,0.41911062598228455,0.4283730983734131
3,4,8,16,5,6,12,0.42120295763015747,0.4350723624229431
4,4,8,16,8,7,10,0.4426587224006653,0.44694626331329346
5,4,64,256,5,8,4,0.41259023547172546,0.42142704129219055
6,1,32,128,2,3,8,0.4030076265335083,0.4197787046432495
7,2,16,32,8,4,13,0.42467114329338074,0.43542614579200745
8,4,32,128,4,3,7,0.4146536886692047,0.422522634267807
9,4,64,128,4,3,5,0.422174334526062,0.4289335012435913
10,4,16,64,2,8,7,0.39502668380737305,0.41519173979759216
11,3,32,64,5,6,5,0.40212082862854004,0.4186619818210602
12,4,16,64,8,5,7,0.4136273264884949,0.43091437220573425
13,4,16,32,6,8,8,0.4239703118801117,0.4351283609867096
14,3,64,256,8,6,4,0.39693087339401245,0.4154750406742096
15,4,32,64,6,4,10,0.4137639105319977,0.4230307638645172
16,3,32,128,5,6,5,0.40765032172203064,0.4201536774635315
17,2,16,64,6,8,7,0.3996734321117401,0.419072687625885
18,1,8,16,2,8,11,0.4705616235733032,0.46117982268333435
19,4,32,128,8,6,5,0.40136682987213135,0.4141943156719208
20,1,16,64,8,6,13,0.3997812569141388,0.4162195920944214
21,1,32,128,4,7,7,0.4082064926624298,0.42205679416656494
22,2,64,128,2,3,7,0.4095843434333801,0.41934627294540405
23,1,32,64,7,5,16,0.3972245156764984,0.4151916205883026
24,3,32,128,8,5,6,0.40471217036247253,0.41927191615104675
25,1,8,16,5,8,11,0.4631838798522949,0.4569678008556366
26,3,64,256,8,5,5,0.4157980978488922,0.4258907437324524
27,2,64,256,4,4,6,0.4085206687450409,0.4235544502735138
28,2,16,32,3,7,10,0.4296802878379822,0.4408963918685913
29,3,16,64,4,6,10,0.39168480038642883,0.4117676019668579
30,2,32,64,3,8,9,0.40559855103492737,0.4211611747741699
31,3,8,16,8,7,15,0.41763702034950256,0.43359366059303284
32,3,8,32,4,7,13,0.4096944332122803,0.42746448516845703
33,3,16,32,4,5,8,0.4053489565849304,0.41910576820373535
34,4,8,32,2,4,13,0.44729289412498474,0.44835424423217773
35,4,64,256,2,7,5,0.4297460615634918,0.42835533618927
36,1,16,64,7,3,11,0.43841731548309326,0.44421878457069397
37,3,8,16,6,4,10,0.442712664604187,0.44914665818214417
38,1,32,64,4,6,6,0.40572187304496765,0.41966113448143005
39,4,16,64,3,4,10,0.404363751411438,0.42154672741889954
40,4,16,32,3,6,12,0.41297709941864014,0.42583853006362915
41,2,64,128,3,7,4,0.41010668873786926,0.42741188406944275
42,2,64,128,2,4,6,0.40086960792541504,0.42037272453308105
43,3,64,128,4,3,6,0.4149455726146698,0.4225342571735382
44,1,64,128,8,3,8,0.40321794152259827,0.41647228598594666
45,4,64,256,5,3,5,0.41869643330574036,0.427139550447464
46,4,32,64,3,3,8,0.4122699201107025,0.42923444509506226
47,2,64,256,2,5,5,0.41514649987220764,0.4222802221775055
48,1,8,32,3,5,24,0.43927374482154846,0.4435030519962311
49,3,8,32,8,8,11,0.40850701928138733,0.4255032241344452
50,3,8,32,7,3,13,0.4517344832420349,0.44951561093330383
51,3,64,128,5,5,5,0.42660680413246155,0.4330439865589142
52,3,32,64,6,3,11,0.4050527811050415,0.41988715529441833
53,1,32,64,4,8,6,0.4053165912628174,0.4214482307434082
54,3,16,64,5,3,11,0.39122164249420166,0.41160207986831665
55,4,32,64,5,8,4,0.4068906605243683,0.42254361510276794
56,4,16,64,2,4,10,0.4077138602733612,0.42346319556236267
57,4,8,16,4,3,8,0.46653541922569275,0.45779988169670105
58,1,32,128,6,7,7,0.4110320508480072,0.4242022931575775
59,3,32,64,7,4,8,0.4144035577774048,0.42923933267593384
60,4,8,16,6,8,8,0.4322899878025055,0.43750572204589844
61,4,32,128,3,8,4,0.41100358963012695,0.4283396005630493
62,3,16,64,4,8,12,0.4185009300708771,0.43320974707603455
63,4,8,32,6,3,14,0.4370540678501129,0.44464853405952454
64,2,32,64,6,4,15,0.4087426960468292,0.42228034138679504
65,3,32,64,5,5,6,0.4193902313709259,0.4281880259513855
66,4,16,64,5,6,8,0.42029815912246704,0.4294692873954773
67,3,64,256,4,6,4,0.4026232957839966,0.4177534282207489
68,4,8,32,2,3,14,0.4435202479362488,0.4444900453090668
69,4,8,32,3,7,9,0.42617276310920715,0.43904396891593933
70,1,8,32,3,6,8,0.4220007658004761,0.4362613260746002
71,4,32,64,2,5,7,0.409191370010376,0.42253026366233826
72,2,16,32,8,6,14,0.3891759514808655,0.41213762760162354
73,1,64,128,4,3,8,0.40490731596946716,0.4180229604244232
74,1,16,32,4,7,12,0.4343436360359192,0.44166985154151917
75,4,8,32,5,6,12,0.43340420722961426,0.44233110547065735
76,4,64,128,4,5,5,0.4212609827518463,0.4304800033569336
77,3,32,64,8,6,5,0.40189361572265625,0.4186650216579437
78,3,64,128,8,5,5,0.4246788024902344,0.43099555373191833
79,1,64,128,8,6,9,0.4131516218185425,0.42455610632896423
80,3,64,256,5,6,4,0.4011417627334595,0.4173685610294342
81,2,16,64,3,3,9,0.4023917019367218,0.41807129979133606
82,1,32,128,8,6,10,0.40049996972084045,0.41803309321403503
83,4,64,128,5,8,4,0.40736743807792664,0.4236707091331482
84,3,64,128,3,8,4,0.41544535756111145,0.4291774332523346
85,3,64,128,8,4,7,0.4310750365257263,0.4344771206378937
86,4,16,32,6,4,13,0.397329717874527,0.41819432377815247
87,2,32,64,3,7,6,0.4064333736896515,0.42283231019973755
88,4,16,64,4,3,15,0.39803892374038696,0.41784414649009705
89,3,16,64,6,4,13,0.40323176980018616,0.42191454768180847
90,2,64,256,2,3,8,0.41990166902542114,0.42687252163887024
91,4,16,32,7,3,9,0.4247705340385437,0.43428823351860046
92,4,64,256,5,7,5,0.4168030917644501,0.42465126514434814
93,4,8,16,5,4,11,0.45681360363960266,0.4553964138031006
94,3,64,256,4,5,5,0.4153282046318054,0.4259582459926605
95,3,32,128,2,7,5,0.43465596437454224,0.4394916892051697
96,2,8,32,8,3,15,0.43700602650642395,0.44758865237236023
97,2,64,128,4,5,5,0.4091368019580841,0.42361754179000854
98,2,32,128,2,7,7,0.42303958535194397,0.43224355578422546
99,1,8,16,5,3,11,0.46143078804016113,0.4532544016838074
100,1,8,32,6,4,12,0.4415387213230133,0.44851183891296387
