candidate_id,candidate_name,model,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse,model_label
Mamba_000,Mamba_000,Mamba,long_term_forecast,custom,5,success,,0.121088,26.49467468,0.689750272,0.024942836,0.464789611,1.45E-06,-0.004504029,-145.6112393,16.89699726,0.003054049,0.192341831,23210.6,,0.127775252,proxy_train
Mamba_001,Mamba_001,Mamba,long_term_forecast,custom,5,success,,0.060096,21.23056984,0.335462656,0.022224372,0.378858298,2.52E-06,-0.003600204,-127.414098,16.01715374,0.002455426,0.136279456,5980.07,,0.135993212,proxy_train
Mamba_002,Mamba_002,Mamba,long_term_forecast,custom,5,success,,0.057792,21.17082214,0.326025472,0.020549793,0.387263966,1.40E-06,-0.002937381,-111.3618305,16.32263603,-0.002324431,0.121111235,3931.58,,0.144043952,proxy_train
Mamba_003,Mamba_003,Mamba,long_term_forecast,custom,5,success,,0.112032,25.81033134,0.630571264,0.023229166,0.440519798,1.55E-06,-0.003959306,-313.8307257,29.05279694,0.003421468,0.172342962,38247.9,,0.137146622,proxy_train
Mamba_004,Mamba_004,Mamba,long_term_forecast,custom,5,success,,0.067456,23.0657959,0.381468928,0.018741777,0.475438476,1.05E-06,-0.002481373,-177.4664774,19.45836792,-0.000266469,0.128102128,7952.12,,0.13294284,proxy_train
Mamba_005,Mamba_005,Mamba,long_term_forecast,custom,5,success,,0.018688,16.40570068,0.099533056,0.01689339,0.439160591,1.83E-06,-0.00229029,-210.9919234,18.42684097,0.005410728,0.082760903,182.536,,0.140676409,proxy_train
Mamba_006,Mamba_006,Mamba,long_term_forecast,custom,5,success,,0.056064,21.15300751,0.307151104,0.017394444,0.446464449,1.21E-06,-0.002182312,-153.8479438,21.68454742,0.002887762,0.117139706,3887.59,,0.135653615,proxy_train
Mamba_007,Mamba_007,Mamba,long_term_forecast,custom,5,success,,0.036608,18.9864254,0.200196352,0.01908823,0.426818937,1.91E-06,-0.0026733,-153.4964479,21.42183685,0.006686165,0.108393453,1434.19,,0.140762255,proxy_train
Mamba_008,Mamba_008,Mamba,long_term_forecast,custom,5,success,,0.107424,25.74415588,0.602259712,0.023749376,0.445669061,1.54E-06,-0.003961655,-142.8011829,20.71489639,-0.000464164,0.176933926,27602.7,,0.139010474,proxy_train
Mamba_009,Mamba_009,Mamba,long_term_forecast,custom,5,success,,0.193152,29.50415993,1.123860736,0.029922605,0.390793037,2.09E-06,-0.006940957,-224.0975406,22.46695251,0.008492508,0.217683068,61627.6,,0.133820444,proxy_train
Mamba_010,Mamba_010,Mamba,long_term_forecast,custom,5,success,,0.041472,20.24981499,0.229490944,0.017458072,0.465794158,1.27E-06,-0.00214585,-289.036623,23.1245945,0.00287918,0.108635712,3380.8,,0.13582696,proxy_train
Mamba_011,Mamba_011,Mamba,long_term_forecast,custom,5,success,,0.1216,26.49903679,0.689750272,0.025497404,0.436386698,1.56E-06,-0.00472876,-327.1555079,28.24457016,-0.001366853,0.187173235,47591.3,,0.132831931,proxy_train
Mamba_012,Mamba_012,Mamba,long_term_forecast,custom,5,success,,0.122368,26.46831131,0.702333184,0.024829212,0.44291563,1.20E-06,-0.004586501,-223.3272452,18.61000748,0.001135704,0.181915104,35454.7,,0.133822158,proxy_train
Mamba_013,Mamba_013,Mamba,long_term_forecast,custom,5,success,,0.053952,21.09151459,0.29771392,0.021707609,0.388245207,1.99E-06,-0.003537554,-122.2476332,15.6044199,0.003413387,0.125095406,4033.73,,0.140914351,proxy_train
Mamba_014,Mamba_014,Mamba,long_term_forecast,custom,5,success,,0.081792,23.14250183,0.460701952,0.017424311,0.451211882,1.16E-06,-0.002184143,-143.7716356,16.4673481,0.000427399,0.12648097,14437,,0.135864735,proxy_train
Mamba_015,Mamba_015,Mamba,long_term_forecast,custom,5,success,,0.04272,20.32232666,0.234209536,0.025950571,0.3586402,2.85E-06,-0.005276674,-258.0666,33.65972977,0.00356618,0.127214883,6284.49,,0.142398968,proxy_train
Mamba_016,Mamba_016,Mamba,long_term_forecast,custom,5,success,,0.057408,21.18829346,0.326025472,0.018903789,0.41866188,1.68E-06,-0.002424643,-130.4134141,18.1327198,-0.000270604,0.119319077,1843.06,,0.136857152,proxy_train
Mamba_017,Mamba_017,Mamba,long_term_forecast,custom,5,success,,0.177024,29.37276077,1.029488896,0.025541011,0.445585269,1.27E-06,-0.005114783,-113.1529953,15.18324623,0.005363061,0.206589094,60962.9,,0.131382018,proxy_train
Mamba_018,Mamba_018,Mamba,long_term_forecast,custom,5,success,,0.035712,19.98554993,0.1964608,0.016242779,0.489907151,8.90E-07,-0.001914406,-167.9389478,18.9281147,0.003575929,0.097332592,1126.46,,0.13624087,proxy_train
Mamba_019,Mamba_019,Mamba,long_term_forecast,custom,5,success,,0.185856,29.43564415,1.067237632,0.026958588,0.432400453,1.65E-06,-0.005184388,-166.9932265,18.85613708,-0.00139796,0.215360752,88889.7,,0.133594364,proxy_train
Mamba_020,Mamba_020,Mamba,long_term_forecast,custom,5,success,,0.19392,29.51799011,1.123860736,0.024695063,0.425853074,1.23E-06,-0.00462963,-148.1580473,18.35792313,0.001485489,0.198030952,132541,,0.135095119,proxy_train
Mamba_021,Mamba_021,Mamba,long_term_forecast,custom,5,success,,0.118272,26.46441269,0.67716736,0.025928482,0.454604584,1.78E-06,-0.004929652,-217.5198734,20.73416023,0.001562784,0.194906995,25338.9,,0.131820053,proxy_train
Mamba_022,Mamba_022,Mamba,long_term_forecast,custom,5,success,,0.036768,20.09839439,0.201179392,0.017401806,0.475173283,1.25E-06,-0.00212313,-88.1313438,12.39027081,-0.000539728,0.104844928,1168.26,,0.140478745,proxy_train
Mamba_023,Mamba_023,Mamba,long_term_forecast,custom,5,success,,0.104832,25.62942123,0.602259712,0.027485584,0.426814789,2.77E-06,-0.005801504,-262.2432733,31.53762589,0.00781208,0.193096411,13302.4,,0.138831049,proxy_train
Mamba_024,Mamba_024,Mamba,long_term_forecast,custom,5,success,,0.119296,26.43878555,0.689750272,0.027050664,0.448390651,1.94E-06,-0.005555703,-160.5109315,19.15823097,0.008542951,0.202075371,23900.7,,0.136168405,proxy_train
Mamba_025,Mamba_025,Mamba,long_term_forecast,custom,5,success,,0.079296,23.13032532,0.451264768,0.020521552,0.435856354,1.55E-06,-0.003099319,-245.7955541,24.38422813,-4.40E-05,0.142831908,7634.92,,0.135123044,proxy_train
Mamba_026,Mamba_026,Mamba,long_term_forecast,custom,5,success,,0.071232,22.88906479,0.404078848,0.020463105,0.456179911,1.47E-06,-0.003233474,-143.9924343,18.87363701,0.000537664,0.140434042,6975.43,,0.136996105,proxy_train
Mamba_027,Mamba_027,Mamba,long_term_forecast,custom,5,success,,0.104544,25.63256073,0.602259712,0.025943304,0.429713547,1.92E-06,-0.004957091,-133.8652667,21.2666111,0.010047709,0.181586012,8780.75,,0.14058575,proxy_train
Mamba_028,Mamba_028,Mamba,long_term_forecast,custom,5,success,,0.018368,16.39795494,0.096387328,0.022592619,0.364544702,6.36E-06,-0.004748885,-211.7298219,18.68928108,0.013638115,0.09532631,121.683,,0.139732108,proxy_train
Mamba_029,Mamba_029,Mamba,long_term_forecast,custom,5,success,,0.048192,20.99699593,0.269402368,0.018602174,0.48027029,1.37E-06,-0.002484711,-149.7824716,15.91812744,0.006315567,0.122858506,971.132,,0.140586287,proxy_train
Mamba_030,Mamba_030,Mamba,long_term_forecast,custom,5,success,,0.181632,29.39435196,1.048363264,0.024649273,0.440645254,1.51E-06,-0.004424463,-145.1249989,17.16076469,0.003773369,0.20296995,94757,,0.135227397,proxy_train
Mamba_031,Mamba_031,Mamba,long_term_forecast,custom,5,success,,0.0576,21.17420769,0.326025472,0.017914622,0.425758946,1.52E-06,-0.002332858,-247.2930627,23.01656494,0.000496514,0.118117754,2756.14,,0.135786876,proxy_train
Mamba_032,Mamba_032,Mamba,long_term_forecast,custom,5,success,,0.175488,29.40192032,1.010614528,0.024254703,0.448034161,1.46E-06,-0.004071966,-270.8692251,19.90789528,-0.004940253,0.199141595,67437.6,,0.130081534,proxy_train
Mamba_033,Mamba_033,Mamba,long_term_forecast,custom,5,success,,0.170496,29.29780197,0.99174016,0.026801016,0.439747286,1.48E-06,-0.0053415,-221.0058088,23.04416733,0.000693673,0.208440009,31245.4,,0.134024248,proxy_train
Mamba_034,Mamba_034,Mamba,long_term_forecast,custom,5,success,,0.042528,20.35155296,0.234209536,0.020308917,0.432402432,1.87E-06,-0.003060999,-205.4091775,22.51294746,-0.000101428,0.119276683,3091.09,,0.140399888,proxy_train
Mamba_035,Mamba_035,Mamba,long_term_forecast,custom,5,success,,0.072576,22.96088791,0.404078848,0.018214762,0.470178932,1.20E-06,-0.002322475,-163.6955064,17.33709259,-0.000281309,0.129117544,7462.29,,0.142442077,proxy_train
Mamba_036,Mamba_036,Mamba,long_term_forecast,custom,5,success,,0.059904,22.83319283,0.337428736,0.01709476,0.506129712,7.93E-07,-0.002019872,-304.5776336,24.68289948,-0.000200346,0.117787085,3962.79,,0.129075736,proxy_train
