rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.776300000,\frac{\mathrm{Snip} - \log\left(\sqrt{\mathrm{GSynFlow}} + \mathrm{JacobFro}\right)}{\mathrm{GradNorm}},Snip GSynFlow Sqrt Jacob_fro Add Log Sub Grad_Norm Div <EOS>,((Snip - log((sqrt(GSynFlow) + Jacob_fro))) / Grad_Norm),0.776300000,0.704200000,116,9,6,2050,run_20260618_142728,1,1,ECL/seed_2050/run_20260618_142728/visualizations/archive_latex.tex
2,0.999099099,0.773300000,\frac{\mathrm{Snip} - \log\left(\sqrt{\mathrm{GSynFlow}} - \mathrm{JacobFro}\right)}{\mathrm{GradNorm}},Snip GSynFlow Sqrt Jacob_fro Sub Log Sub Grad_Norm Div <EOS>,((Snip - log((sqrt(GSynFlow) - Jacob_fro))) / Grad_Norm),0.773300000,0.698200000,117,9,6,2050,run_20260618_142728,2,1,ECL/seed_2050/run_20260618_142728/visualizations/archive_latex.tex
3,0.998198198,0.772900000,\left(\frac{\log\left(\mathrm{ZiCo}\right)}{\sqrt{\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{Fisher}\right)}}\right) \cdot \left(\mathrm{plain}\right),ZiCo Log GFLOPs Fisher Mul Sqrt Div plain Mul <EOS>,((log(ZiCo) / sqrt((GFLOPs * Fisher))) * plain),0.772900000,0.685000000,51,9,5,2060,run_20260618_142728,1,1,ECL/seed_2060/run_20260618_142728/visualizations/archive_latex.tex
4,0.997297297,0.771200000,\frac{\mathrm{Snip} - \log\left(\sqrt{\mathrm{GSynFlow}} - \mathrm{Jacov}\right)}{\mathrm{GradNorm}},Snip GSynFlow Sqrt Jacov Sub Log Sub Grad_Norm Div <EOS>,((Snip - log((sqrt(GSynFlow) - Jacov))) / Grad_Norm),0.771200000,0.713200000,116,9,6,2050,run_20260618_142728,3,1,ECL/seed_2050/run_20260618_142728/visualizations/archive_latex.tex
5,0.996396396,0.768000000,\frac{\mathrm{Snip}}{\left(\mathrm{GradNorm}\right)^2 + \mathrm{plain}},Snip Grad_Norm Square plain Add Div <EOS>,(Snip / (square(Grad_Norm) + plain)),0.768000000,0.656200000,142,6,4,2071,run_20260618_142728,1,1,ECL/seed_2071/run_20260618_142728/visualizations/archive_latex.tex
6,0.995495495,0.768000000,\frac{\mathrm{Snip}}{\mathrm{plain} + \left(\mathrm{GradNorm}\right)^2},Snip plain Grad_Norm Square Add Div <EOS>,(Snip / (plain + square(Grad_Norm))),0.768000000,0.656200000,199,6,4,2144,run_20260620_142858,1,1,ECL/seed_2144/run_20260620_142858/visualizations/archive_latex.tex
7,0.994594595,0.765200000,\sqrt{\mathrm{GFLOPs}} + \frac{\mathrm{Snip} - \sqrt{\mathrm{L2Norm}}}{\mathrm{GradNorm}},GFLOPs Sqrt Snip L2-Norm Sqrt Sub Grad_Norm Div Add <EOS>,(sqrt(GFLOPs) + ((Snip - sqrt(L2-Norm)) / Grad_Norm)),0.765200000,0.684300000,175,9,5,2171,run_20260620_142858,1,1,ECL/seed_2171/run_20260620_142858/visualizations/archive_latex.tex
8,0.993693694,0.764500000,\frac{\left(\mathrm{Snip} + \mathrm{L2Norm}\right) \cdot \left(\mathrm{ZiCo}\right)}{\mathrm{plain}},Snip L2-Norm Add ZiCo Mul plain Div <EOS>,(((Snip + L2-Norm) * ZiCo) / plain),0.764500000,0.627000000,93,7,4,2043,run_20260618_142728,1,1,ECL/seed_2043/run_20260618_142728/visualizations/archive_latex.tex
9,0.992792793,0.764500000,\left(\frac{\mathrm{ZiCo}}{\mathrm{plain}}\right) \cdot \left(\mathrm{L2Norm} + \mathrm{Snip}\right),ZiCo plain Div L2-Norm Snip Add Mul <EOS>,((ZiCo / plain) * (L2-Norm + Snip)),0.764500000,0.627000000,98,7,3,2053,run_20260618_142728,1,1,ECL/seed_2053/run_20260618_142728/visualizations/archive_latex.tex
10,0.991891892,0.764500000,\left(\mathrm{Snip} + \mathrm{L2Norm}\right) \cdot \left(\frac{\mathrm{ZiCo}}{\mathrm{plain}}\right),Snip L2-Norm Add ZiCo plain Div Mul <EOS>,((Snip + L2-Norm) * (ZiCo / plain)),0.764500000,0.627000000,141,7,3,2070,run_20260618_142728,1,2,ECL/seed_2070/run_20260618_142728/visualizations/archive_latex.tex
