rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.367900000,\left(\left(\mathrm{Jacov}\right)^2 - \mathrm{GSynFlow}\right) \cdot \left(\sqrt{\mathrm{L2Norm} - \mathrm{Snip}}\right),Jacov Square GSynFlow Sub L2-Norm Snip Sub Sqrt Mul <EOS>,((square(Jacov) - GSynFlow) * sqrt((L2-Norm - Snip))),0.367900000,0.353700000,76,9,4,2151,run_20260620_142858,1,2,ETTh1/seed_2151/run_20260620_142858/visualizations/archive_latex.tex
2,0.999099099,0.359700000,\left(\mathrm{GraSP}\right) \cdot \left(\mathrm{L2Norm} + \mathrm{Jacov}\right) - \mathrm{GSynFlow},GraSP L2-Norm Jacov Add Mul GSynFlow Sub <EOS>,((GraSP * (L2-Norm + Jacov)) - GSynFlow),0.359700000,0.305100000,172,7,4,2037,run_20260618_142728,1,1,ETTh1/seed_2037/run_20260618_142728/visualizations/archive_latex.tex
3,0.998198198,0.359700000,\left(\mathrm{Jacov} + \mathrm{L2Norm}\right) \cdot \left(\mathrm{GraSP}\right) - \mathrm{GSynFlow},Jacov L2-Norm Add GraSP Mul GSynFlow Sub <EOS>,(((Jacov + L2-Norm) * GraSP) - GSynFlow),0.359700000,0.305100000,155,7,4,2108,run_20260618_142728,1,1,ETTh1/seed_2108/run_20260618_142728/visualizations/archive_latex.tex
4,0.997297297,0.358500000,\frac{\left(\mathrm{Jacov}\right)^2 - \mathrm{GSynFlow}}{\frac{\mathrm{GFLOPs}}{\mathrm{Snip}}},Jacov Square GSynFlow Sub GFLOPs Snip Div Div <EOS>,((square(Jacov) - GSynFlow) / (GFLOPs / Snip)),0.358500000,0.313900000,136,8,4,2186,run_20260620_142858,1,1,ETTh1/seed_2186/run_20260620_142858/visualizations/archive_latex.tex
5,0.996396396,0.357900000,\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{GraSP}\right) - \frac{\mathrm{GSynFlow}}{\mathrm{MParams}},Jacov GraSP Mul GSynFlow MParams Div Sub <EOS>,((Jacov * GraSP) - (GSynFlow / MParams)),0.357900000,0.272500000,68,7,3,2170,run_20260620_142858,1,1,ETTh1/seed_2170/run_20260620_142858/visualizations/archive_latex.tex
6,0.995495495,0.354000000,\frac{\mathrm{GSynFlow}}{\left(\left(\mathrm{MParams}\right)^2\right) \cdot \left(\mathrm{GraSP}\right)} - \mathrm{Jacov},GSynFlow MParams Square GraSP Mul Div Jacov Sub <EOS>,((GSynFlow / (square(MParams) * GraSP)) - Jacov),0.354000000,0.341700000,33,8,5,2208,run_20260620_142858,1,1,ETTh1/seed_2208/run_20260620_142858/visualizations/archive_latex.tex
7,0.994594595,0.352200000,\left(\left(\mathrm{Jacov}\right)^2 - \mathrm{GSynFlow}\right) \cdot \left(\frac{\mathrm{GradNorm}}{\mathrm{GFLOPs}}\right),Jacov Square GSynFlow Sub Grad_Norm GFLOPs Div Mul <EOS>,((square(Jacov) - GSynFlow) * (Grad_Norm / GFLOPs)),0.352200000,0.307600000,14,8,4,2028,run_20260618_142728,1,1,ETTh1/seed_2028/run_20260618_142728/visualizations/archive_latex.tex
8,0.993693694,0.351400000,\frac{\frac{\mathrm{GSynFlow}}{\mathrm{MParams}}}{\mathrm{GraSP}} - \mathrm{Jacov},GSynFlow MParams Div GraSP Div Jacov Sub <EOS>,(((GSynFlow / MParams) / GraSP) - Jacov),0.351400000,0.324300000,17,7,4,2071,run_20260618_142728,1,1,ETTh1/seed_2071/run_20260618_142728/visualizations/archive_latex.tex
9,0.992792793,0.351400000,\frac{\mathrm{GSynFlow}}{\left(\mathrm{MParams}\right) \cdot \left(\mathrm{GraSP}\right)} - \mathrm{Jacov},GSynFlow MParams GraSP Mul Div Jacov Sub <EOS>,((GSynFlow / (MParams * GraSP)) - Jacov),0.351400000,0.324300000,34,7,4,2208,run_20260620_142858,2,1,ETTh1/seed_2208/run_20260620_142858/visualizations/archive_latex.tex
10,0.991891892,0.350800000,\left(\left(\mathrm{GraSP}\right)^2\right) \cdot \left(-\mathrm{L2Norm} + \mathrm{Jacov}\right) - \mathrm{GSynFlow},GraSP Square L2-Norm Jacov Add Negative Mul GSynFlow Sub <EOS>,((square(GraSP) * -((L2-Norm + Jacov))) - GSynFlow),0.350800000,0.270300000,138,9,5,2037,run_20260618_142728,2,1,ETTh1/seed_2037/run_20260618_142728/visualizations/archive_latex.tex
11,0.990990991,0.349400000,\left(\left(\mathrm{Jacov}\right)^2 - \mathrm{GSynFlow}\right) \cdot \left(\frac{\mathrm{Fisher}}{\mathrm{GFLOPs}}\right),Jacov Square GSynFlow Sub Fisher GFLOPs Div Mul <EOS>,((square(Jacov) - GSynFlow) * (Fisher / GFLOPs)),0.349400000,0.270900000,117,8,4,2139,run_20260620_142858,1,1,ETTh1/seed_2139/run_20260620_142858/visualizations/archive_latex.tex
12,0.990090090,0.348900000,\left(\mathrm{Fisher}\right) \cdot \left(\frac{\mathrm{GSynFlow}}{\mathrm{GraSP}} - \mathrm{Jacov}\right),Fisher GSynFlow GraSP Div Jacov Sub Mul <EOS>,(Fisher * ((GSynFlow / GraSP) - Jacov)),0.348900000,0.267400000,30,7,4,2152,run_20260620_142858,1,1,ETTh1/seed_2152/run_20260620_142858/visualizations/archive_latex.tex
