rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.594900000,\left(\mathrm{MParams}\right) \cdot \left(\left(\mathrm{JacobFro} - \mathrm{Snip} + \mathrm{JacobFro}\right)^2\right),MParams Jacob_fro Snip Sub Jacob_fro Add Square Mul <EOS>,(MParams * square(((Jacob_fro - Snip) + Jacob_fro))),0.594900000,0.675400000,46,8,5,2049,run_20260618_142728,1,1,Exchange/seed_2049/run_20260618_142728/visualizations/archive_latex.tex
2,0.999099099,0.594900000,\left(\left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right)^2\right) \cdot \left(\mathrm{MParams}\right),Jacob_fro Jacob_fro Snip Sub Add Square MParams Mul <EOS>,(square((Jacob_fro + (Jacob_fro - Snip))) * MParams),0.594900000,0.675400000,8,8,5,2054,run_20260618_142728,1,3,Exchange/seed_2054/run_20260618_142728/visualizations/archive_latex.tex
3,0.998198198,0.594900000,\left(\left(\sqrt{\mathrm{MParams}}\right) \cdot \left(\mathrm{JacobFro} - \mathrm{Snip} + \mathrm{JacobFro}\right)\right)^2,MParams Sqrt Jacob_fro Snip Sub Jacob_fro Add Mul Square <EOS>,square((sqrt(MParams) * ((Jacob_fro - Snip) + Jacob_fro))),0.594900000,0.675400000,24,9,5,2064,run_20260618_142728,1,1,Exchange/seed_2064/run_20260618_142728/visualizations/archive_latex.tex
4,0.997297297,0.594900000,\left(\left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right)^2\right) \cdot \left(\mathrm{MParams}\right),Jacob_fro Jacob_fro Add Snip Sub Square MParams Mul <EOS>,(square(((Jacob_fro + Jacob_fro) - Snip)) * MParams),0.594900000,0.675400000,63,8,5,2067,run_20260618_142728,1,3,Exchange/seed_2067/run_20260618_142728/visualizations/archive_latex.tex
5,0.996396396,0.594900000,\left(\mathrm{MParams}\right) \cdot \left(\left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right)^2\right),MParams Jacob_fro Jacob_fro Snip Sub Add Square Mul <EOS>,(MParams * square((Jacob_fro + (Jacob_fro - Snip)))),0.594900000,0.675400000,25,8,5,2085,run_20260618_142728,1,2,Exchange/seed_2085/run_20260618_142728/visualizations/archive_latex.tex
6,0.995495495,0.594900000,\left(\mathrm{MParams}\right) \cdot \left(\left(\mathrm{JacobFro} - \mathrm{Snip} - \mathrm{JacobFro}\right)^2\right),MParams Jacob_fro Snip Jacob_fro Sub Sub Square Mul <EOS>,(MParams * square((Jacob_fro - (Snip - Jacob_fro)))),0.594900000,0.675400000,89,8,5,2099,run_20260618_142728,1,3,Exchange/seed_2099/run_20260618_142728/visualizations/archive_latex.tex
7,0.994594595,0.594900000,\left(\left(\mathrm{JacobFro} - \mathrm{Snip} - \mathrm{JacobFro}\right)^2\right) \cdot \left(\mathrm{MParams}\right),Jacob_fro Snip Jacob_fro Sub Sub Square MParams Mul <EOS>,(square((Jacob_fro - (Snip - Jacob_fro))) * MParams),0.594900000,0.675400000,161,8,5,2124,run_20260618_142728,1,1,Exchange/seed_2124/run_20260618_142728/visualizations/archive_latex.tex
8,0.993693694,0.594900000,\left(\left(\mathrm{JacobFro} - \mathrm{Snip} + \mathrm{JacobFro}\right)^2\right) \cdot \left(\mathrm{MParams}\right),Jacob_fro Snip Sub Jacob_fro Add Square MParams Mul <EOS>,(square(((Jacob_fro - Snip) + Jacob_fro)) * MParams),0.594900000,0.675400000,31,8,5,2159,run_20260620_142858,1,2,Exchange/seed_2159/run_20260620_142858/visualizations/archive_latex.tex
9,0.992792793,0.594900000,\sqrt{\left(\sqrt{\mathrm{MParams}}\right) \cdot \left(\mathrm{JacobFro} - \mathrm{Snip} + \mathrm{JacobFro}\right)},MParams Sqrt Jacob_fro Snip Sub Jacob_fro Add Mul Sqrt <EOS>,sqrt((sqrt(MParams) * ((Jacob_fro - Snip) + Jacob_fro))),0.594900000,0.675400000,190,9,5,2206,run_20260620_142858,1,1,Exchange/seed_2206/run_20260620_142858/visualizations/archive_latex.tex
10,0.991891892,0.594900000,\left(\left(\sqrt{\mathrm{MParams}}\right) \cdot \left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right)\right)^2,MParams Sqrt Jacob_fro Jacob_fro Snip Sub Add Mul Square <EOS>,square((sqrt(MParams) * (Jacob_fro + (Jacob_fro - Snip)))),0.594900000,0.675400000,106,9,5,2214,run_20260620_142858,1,1,Exchange/seed_2214/run_20260620_142858/visualizations/archive_latex.tex
11,0.990990991,0.583000000,\frac{\left(\mathrm{JacobFro}\right)^2}{\frac{\mathrm{Snip}}{\mathrm{MParams}} + \mathrm{Snip}},Jacob_fro Square Snip MParams Div Snip Add Div <EOS>,(square(Jacob_fro) / ((Snip / MParams) + Snip)),0.583000000,0.655900000,52,8,4,2069,run_20260618_142728,1,2,Exchange/seed_2069/run_20260618_142728/visualizations/archive_latex.tex
12,0.990090090,0.582800000,\left(\sqrt{\mathrm{MParams}}\right) \cdot \left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right),MParams Sqrt Jacob_fro Jacob_fro Add Snip Sub Mul <EOS>,(sqrt(MParams) * ((Jacob_fro + Jacob_fro) - Snip)),0.582800000,0.637600000,37,8,4,2147,run_20260620_142858,1,1,Exchange/seed_2147/run_20260620_142858/visualizations/archive_latex.tex
13,0.989189189,0.582800000,\left(\mathrm{JacobFro} - \mathrm{Snip} + \mathrm{JacobFro}\right) \cdot \left(\sqrt{\mathrm{MParams}}\right),Jacob_fro Snip Sub Jacob_fro Add MParams Sqrt Mul <EOS>,(((Jacob_fro - Snip) + Jacob_fro) * sqrt(MParams)),0.582800000,0.637600000,68,8,4,2155,run_20260620_142858,1,3,Exchange/seed_2155/run_20260620_142858/visualizations/archive_latex.tex
14,0.988288288,0.582800000,\left(\sqrt{\mathrm{MParams}}\right) \cdot \left(\mathrm{JacobFro} - \mathrm{Snip} + \mathrm{JacobFro}\right),MParams Sqrt Jacob_fro Snip Sub Jacob_fro Add Mul <EOS>,(sqrt(MParams) * ((Jacob_fro - Snip) + Jacob_fro)),0.582800000,0.637600000,46,8,4,2049,run_20260618_142728,2,3,Exchange/seed_2049/run_20260618_142728/visualizations/archive_latex.tex
15,0.987387387,0.582800000,\left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right) \cdot \left(\sqrt{\mathrm{MParams}}\right),Jacob_fro Jacob_fro Snip Sub Add MParams Sqrt Mul <EOS>,((Jacob_fro + (Jacob_fro - Snip)) * sqrt(MParams)),0.582800000,0.637600000,39,8,4,2054,run_20260618_142728,2,4,Exchange/seed_2054/run_20260618_142728/visualizations/archive_latex.tex
16,0.986486486,0.582800000,\left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right) \cdot \left(\sqrt{\mathrm{MParams}}\right),Jacob_fro Jacob_fro Add Snip Sub MParams Sqrt Mul <EOS>,(((Jacob_fro + Jacob_fro) - Snip) * sqrt(MParams)),0.582800000,0.637600000,63,8,4,2067,run_20260618_142728,2,3,Exchange/seed_2067/run_20260618_142728/visualizations/archive_latex.tex
17,0.985585586,0.582800000,\left(\sqrt{\mathrm{MParams}}\right) \cdot \left(\mathrm{JacobFro} + \mathrm{JacobFro} - \mathrm{Snip}\right),MParams Sqrt Jacob_fro Jacob_fro Snip Sub Add Mul <EOS>,(sqrt(MParams) * (Jacob_fro + (Jacob_fro - Snip))),0.582800000,0.637600000,31,8,4,2085,run_20260618_142728,2,2,Exchange/seed_2085/run_20260618_142728/visualizations/archive_latex.tex
18,0.984684685,0.582800000,\left(\sqrt{\mathrm{MParams}}\right) \cdot \left(\mathrm{JacobFro} - \mathrm{Snip} - \mathrm{JacobFro}\right),MParams Sqrt Jacob_fro Snip Jacob_fro Sub Sub Mul <EOS>,(sqrt(MParams) * (Jacob_fro - (Snip - Jacob_fro))),0.582800000,0.637600000,101,8,4,2172,run_20260620_142858,2,1,Exchange/seed_2172/run_20260620_142858/visualizations/archive_latex.tex
19,0.983783784,0.579600000,\left(\left(\frac{\mathrm{JacobFro}}{\mathrm{Snip}}\right)^2 + \mathrm{Fisher}\right) \cdot \left(\mathrm{MParams}\right),Jacob_fro Snip Div Square Fisher Add MParams Mul <EOS>,((square((Jacob_fro / Snip)) + Fisher) * MParams),0.579600000,0.637800000,81,8,5,2207,run_20260620_142858,1,1,Exchange/seed_2207/run_20260620_142858/visualizations/archive_latex.tex
20,0.982882883,0.579600000,\left(\mathrm{L2Norm}\right) \cdot \left(\sqrt{\mathrm{JacobFro} - \mathrm{Snip} - \mathrm{JacobFro}}\right),L2-Norm Jacob_fro Snip Jacob_fro Sub Sub Sqrt Mul <EOS>,(L2-Norm * sqrt((Jacob_fro - (Snip - Jacob_fro)))),0.579600000,0.667500000,19,8,5,2113,run_20260618_142728,2,1,Exchange/seed_2113/run_20260618_142728/visualizations/archive_latex.tex
21,0.981981982,0.579600000,\left(\sqrt{\mathrm{JacobFro} - \mathrm{Snip} - \mathrm{JacobFro}}\right) \cdot \left(\mathrm{L2Norm}\right),Jacob_fro Snip Jacob_fro Sub Sub Sqrt L2-Norm Mul <EOS>,(sqrt((Jacob_fro - (Snip - Jacob_fro))) * L2-Norm),0.579600000,0.667500000,70,8,5,2124,run_20260618_142728,2,1,Exchange/seed_2124/run_20260618_142728/visualizations/archive_latex.tex
