rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.902700000,\left(\sqrt{\left(\mathrm{MParams}\right) \cdot \left(\sqrt{\mathrm{Jacov}}\right)}\right) \cdot \left(\mathrm{GradNorm}\right) + \mathrm{JacobFro},MParams Jacov Sqrt Mul Sqrt Grad_Norm Mul Jacob_fro Add <EOS>,((sqrt((MParams * sqrt(Jacov))) * Grad_Norm) + Jacob_fro),0.902700000,0.876900000,29,9,6,2250,run_20260625_153808,1,1,ILI/seed_2250/run_20260625_153808/visualizations/archive_latex.tex
2,0.999099099,0.899800000,\left(\left(\mathrm{GradNorm}\right)^2\right) \cdot \left(\sqrt{\frac{\mathrm{Snip}}{\mathrm{Fisher}} + \mathrm{Jacov}}\right),Grad_Norm Square Snip Fisher Div Jacov Add Sqrt Mul <EOS>,(square(Grad_Norm) * sqrt(((Snip / Fisher) + Jacov))),0.899800000,0.876300000,143,9,5,2061,run_20260618_142728,1,1,ILI/seed_2061/run_20260618_142728/visualizations/archive_latex.tex
3,0.998198198,0.899800000,\left(\sqrt{\frac{\mathrm{Snip}}{\mathrm{Fisher}} + \mathrm{Jacov}}\right) \cdot \left(\left(\mathrm{GradNorm}\right)^2\right),Snip Fisher Div Jacov Add Sqrt Grad_Norm Square Mul <EOS>,(sqrt(((Snip / Fisher) + Jacov)) * square(Grad_Norm)),0.899800000,0.876300000,135,9,5,2154,run_20260620_142858,1,3,ILI/seed_2154/run_20260620_142858/visualizations/archive_latex.tex
4,0.997297297,0.899100000,\sqrt{\left(\left(\mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right)\right) \cdot \left(\mathrm{GradNorm}\right)} - \log\left(\mathrm{GSynFlow}\right),MParams Jacov Mul Grad_Norm Mul Sqrt GSynFlow Log Sub <EOS>,(sqrt(((MParams * Jacov) * Grad_Norm)) - log(GSynFlow)),0.899100000,0.897800000,149,9,5,2029,run_20260618_142728,1,1,ILI/seed_2029/run_20260618_142728/visualizations/archive_latex.tex
5,0.996396396,0.899100000,\sqrt{\left(\mathrm{GradNorm}\right) \cdot \left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{MParams}\right)\right)} - \log\left(\mathrm{GSynFlow}\right),Grad_Norm Jacov MParams Mul Mul Sqrt GSynFlow Log Sub <EOS>,(sqrt((Grad_Norm * (Jacov * MParams))) - log(GSynFlow)),0.899100000,0.897800000,118,9,5,2126,run_20260618_142728,1,1,ILI/seed_2126/run_20260618_142728/visualizations/archive_latex.tex
6,0.995495495,0.898400000,\left(\left(\mathrm{GradNorm}\right)^2\right) \cdot \left(\mathrm{JacobFro}\right) - \left(\mathrm{Jacov}\right) \cdot \left(\mathrm{MParams}\right),Grad_Norm Square Jacob_fro Mul Jacov MParams Mul Sub <EOS>,((square(Grad_Norm) * Jacob_fro) - (Jacov * MParams)),0.898400000,0.893200000,70,8,4,2036,run_20260618_142728,1,11,ILI/seed_2036/run_20260618_142728/visualizations/archive_latex.tex
7,0.994594595,0.898400000,\left(\mathrm{JacobFro}\right) \cdot \left(\left(\mathrm{GradNorm}\right)^2\right) - \left(\mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right),Jacob_fro Grad_Norm Square Mul MParams Jacov Mul Sub <EOS>,((Jacob_fro * square(Grad_Norm)) - (MParams * Jacov)),0.898400000,0.893200000,193,8,4,2058,run_20260618_142728,1,7,ILI/seed_2058/run_20260618_142728/visualizations/archive_latex.tex
8,0.993693694,0.898400000,\left(\mathrm{JacobFro}\right) \cdot \left(\left(\mathrm{GradNorm}\right)^2\right) - \left(\mathrm{Jacov}\right) \cdot \left(\mathrm{MParams}\right),Jacob_fro Grad_Norm Square Mul Jacov MParams Mul Sub <EOS>,((Jacob_fro * square(Grad_Norm)) - (Jacov * MParams)),0.898400000,0.893200000,42,8,4,2059,run_20260618_142728,1,5,ILI/seed_2059/run_20260618_142728/visualizations/archive_latex.tex
9,0.992792793,0.898400000,\left(\left(\mathrm{GradNorm}\right)^2\right) \cdot \left(\mathrm{JacobFro}\right) - \left(\mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right),Grad_Norm Square Jacob_fro Mul MParams Jacov Mul Sub <EOS>,((square(Grad_Norm) * Jacob_fro) - (MParams * Jacov)),0.898400000,0.893200000,184,8,4,2176,run_20260620_142858,1,5,ILI/seed_2176/run_20260620_142858/visualizations/archive_latex.tex
10,0.991891892,0.897800000,\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{JacobFro} + \sqrt{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{MParams}\right)}\right),Grad_Norm Jacob_fro Jacov MParams Mul Sqrt Add Mul <EOS>,(Grad_Norm * (Jacob_fro + sqrt((Jacov * MParams)))),0.897800000,0.889600000,93,8,5,2031,run_20260618_142728,1,2,ILI/seed_2031/run_20260618_142728/visualizations/archive_latex.tex
