rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.435200000,\left(\left(\mathrm{MParams}\right) \cdot \left(\mathrm{GFLOPs}\right)\right) \cdot \left(\left(\mathrm{Jacov}\right)^2\right) - \mathrm{GSynFlow},MParams GFLOPs Mul Jacov Square Mul GSynFlow Sub <EOS>,(((MParams * GFLOPs) * square(Jacov)) - GSynFlow),0.435200000,0.441700000,45,8,4,2054,run_monash_time_unique1000,1,2,Monash__anonymous_public_load_power_data_per_unit/seed_2054/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.435200000,\left(\left(\left(\mathrm{Jacov}\right)^2\right) \cdot \left(\mathrm{MParams}\right)\right) \cdot \left(\mathrm{GFLOPs}\right) - \mathrm{GSynFlow},Jacov Square MParams Mul GFLOPs Mul GSynFlow Sub <EOS>,(((square(Jacov) * MParams) * GFLOPs) - GSynFlow),0.435200000,0.441700000,184,8,5,2106,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2106/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.435200000,\left(\left(\left(\mathrm{Jacov}\right)^2\right) \cdot \left(\mathrm{GFLOPs}\right)\right) \cdot \left(\mathrm{MParams}\right) - \mathrm{GSynFlow},Jacov Square GFLOPs Mul MParams Mul GSynFlow Sub <EOS>,(((square(Jacov) * GFLOPs) * MParams) - GSynFlow),0.435200000,0.441700000,83,8,5,2199,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2199/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.429200000,\left(\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{Jacov}\right)\right)^2 - \left(\sqrt{\mathrm{GradNorm}}\right) \cdot \left(\mathrm{GSynFlow}\right),GFLOPs Jacov Mul Square Grad_Norm Sqrt GSynFlow Mul Sub <EOS>,(square((GFLOPs * Jacov)) - (sqrt(Grad_Norm) * GSynFlow)),0.429200000,0.452700000,14,9,4,2146,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2146/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.428600000,\left(\left(\mathrm{Jacov} + \mathrm{Jacov}\right) \cdot \left(\mathrm{MParams}\right)\right)^2 - \mathrm{GSynFlow},Jacov Jacov Add MParams Mul Square GSynFlow Sub <EOS>,(square(((Jacov + Jacov) * MParams)) - GSynFlow),0.428600000,0.431900000,200,8,5,2098,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2098/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.426900000,\left(\left(\mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right)\right)^2 - \frac{\mathrm{GSynFlow}}{\mathrm{GFLOPs}},MParams Jacov Mul Square GSynFlow GFLOPs Div Sub <EOS>,(square((MParams * Jacov)) - (GSynFlow / GFLOPs)),0.426900000,0.428300000,17,8,4,2067,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2067/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.426900000,\left(\left(\mathrm{MParams}\right)^2\right) \cdot \left(\left(\mathrm{Jacov}\right)^2\right) - \frac{\mathrm{GSynFlow}}{\mathrm{GFLOPs}},MParams Square Jacov Square Mul GSynFlow GFLOPs Div Sub <EOS>,((square(MParams) * square(Jacov)) - (GSynFlow / GFLOPs)),0.426900000,0.428300000,11,9,4,2190,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2190/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.425700000,\left(\left(\mathrm{MParams}\right) \cdot \left(\frac{\mathrm{Jacov}}{\mathrm{ZiCo}}\right)\right)^2 - \mathrm{GSynFlow},MParams Jacov ZiCo Div Mul Square GSynFlow Sub <EOS>,(square((MParams * (Jacov / ZiCo))) - GSynFlow),0.425700000,0.427000000,22,8,5,2061,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2061/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.424400000,\left(\mathrm{GFLOPs}\right) \cdot \left(-\mathrm{Jacov}\right) - \frac{\mathrm{GSynFlow}}{\mathrm{JacobFro}},GFLOPs Jacov Negative Mul GSynFlow Jacob_fro Div Sub <EOS>,((GFLOPs * -(Jacov)) - (GSynFlow / Jacob_fro)),0.424400000,0.449400000,11,8,4,2188,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2188/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.419900000,\left(\left(\left(\mathrm{Jacov}\right)^2\right) \cdot \left(\mathrm{GFLOPs}\right)\right) \cdot \left(\sqrt{\mathrm{GFLOPs}}\right) - \mathrm{GSynFlow},Jacov Square GFLOPs Mul GFLOPs Sqrt Mul GSynFlow Sub <EOS>,(((square(Jacov) * GFLOPs) * sqrt(GFLOPs)) - GSynFlow),0.419900000,0.461000000,176,9,5,2154,run_monash_time_unique1000,1,1,Monash__anonymous_public_load_power_data_per_unit/seed_2154/run_monash_time_unique1000/visualizations/archive_latex.tex
