rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.610000000,\frac{\mathrm{Snip}}{\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{GSynFlow}\right)} + \log\left(\mathrm{ZiCo}\right),Snip Jacob_fro GSynFlow Mul Div ZiCo Log Add <EOS>,((Snip / (Jacob_fro * GSynFlow)) + log(ZiCo)),0.610000000,0.513200000,7,8,4,2178,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2178/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.602400000,\mathrm{ZiCo} + \frac{\mathrm{L2Norm}}{\left(\left(\mathrm{GSynFlow}\right)^2\right) \cdot \left(\mathrm{JacobFro}\right)},ZiCo L2-Norm GSynFlow Square Jacob_fro Mul Div Add <EOS>,(ZiCo + (L2-Norm / (square(GSynFlow) * Jacob_fro))),0.602400000,0.508900000,108,8,5,2098,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2098/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.602400000,\frac{\mathrm{L2Norm}}{\left(\mathrm{JacobFro}\right) \cdot \left(\left(\mathrm{GSynFlow}\right)^2\right)} + \mathrm{ZiCo},L2-Norm Jacob_fro GSynFlow Square Mul Div ZiCo Add <EOS>,((L2-Norm / (Jacob_fro * square(GSynFlow))) + ZiCo),0.602400000,0.508900000,127,8,5,2117,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2117/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.600800000,\mathrm{ZiCo} + \frac{\frac{\mathrm{ZiCo}}{\mathrm{GSynFlow}}}{\mathrm{Snip}},ZiCo ZiCo GSynFlow Div Snip Div Add <EOS>,(ZiCo + ((ZiCo / GSynFlow) / Snip)),0.600800000,0.536800000,18,7,4,2200,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2200/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.599100000,\mathrm{ZiCo} - \frac{\frac{\mathrm{plain}}{\mathrm{GraSP}}}{\mathrm{GSynFlow}},ZiCo plain GraSP Div GSynFlow Div Sub <EOS>,(ZiCo - ((plain / GraSP) / GSynFlow)),0.599100000,0.472400000,126,7,4,2112,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2112/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.597600000,\sqrt{\mathrm{Snip}} + \frac{\sqrt{\mathrm{ZiCo}}}{\mathrm{GSynFlow}} - \mathrm{GradNorm},Snip Sqrt ZiCo Sqrt GSynFlow Div Grad_Norm Sub Add <EOS>,(sqrt(Snip) + ((sqrt(ZiCo) / GSynFlow) - Grad_Norm)),0.597600000,0.513000000,10,9,5,2115,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2115/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.595300000,\left(\left(\mathrm{L2Norm}\right) \cdot \left(\mathrm{ZiCo}\right)\right)^2 - \frac{-\mathrm{L2Norm}}{\mathrm{GSynFlow}},L2-Norm ZiCo Mul Square L2-Norm Negative GSynFlow Div Sub <EOS>,(square((L2-Norm * ZiCo)) - (-(L2-Norm) / GSynFlow)),0.595300000,0.487200000,189,9,4,2049,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.594900000,\log\left(\mathrm{GraSP}\right) + \frac{\mathrm{ZiCo}}{\mathrm{GSynFlow}} - \mathrm{GradNorm},GraSP Log ZiCo GSynFlow Div Grad_Norm Sub Add <EOS>,(log(GraSP) + ((ZiCo / GSynFlow) - Grad_Norm)),0.594900000,0.530100000,11,8,4,2045,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2045/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.594700000,\log\left(\left(\mathrm{GraSP}\right)^2\right) + \frac{\mathrm{ZiCo}}{\mathrm{GSynFlow}} - \mathrm{GradNorm},GraSP Square Log ZiCo GSynFlow Div Grad_Norm Sub Add <EOS>,(log(square(GraSP)) + ((ZiCo / GSynFlow) - Grad_Norm)),0.594700000,0.519500000,16,9,4,2045,run_monash_time_unique1000,2,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2045/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.594300000,\frac{\frac{\sqrt{\mathrm{GraSP}}}{\mathrm{JacobFro}}}{\mathrm{GSynFlow}} + \mathrm{ZiCo},GraSP Sqrt Jacob_fro Div GSynFlow Div ZiCo Add <EOS>,(((sqrt(GraSP) / Jacob_fro) / GSynFlow) + ZiCo),0.594300000,0.495600000,50,8,5,2186,run_monash_time_unique1000,1,1,Monash__anonymous_public_pv_power_data_per_unit/seed_2186/run_monash_time_unique1000/visualizations/archive_latex.tex
