rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.793800000,\log\left(\mathrm{Jacov} + \left(\log\left(\left(\mathrm{GSynFlow}\right)^2\right)\right) \cdot \left(\mathrm{GFLOPs}\right)\right),Jacov GSynFlow Square Log GFLOPs Mul Add Log <EOS>,log((Jacov + (log(square(GSynFlow)) * GFLOPs))),0.793800000,0.748500000,101,8,6,2200,run_monash_time_unique1000,1,1,Monash__australian_electricity_demand_dataset/seed_2200/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.998981900,0.787200000,\frac{\mathrm{L2Norm}}{\mathrm{Jacov} + \left(\frac{\left(\mathrm{MParams}\right)^2}{\mathrm{plain}}\right)^2},L2-Norm Jacov MParams Square plain Div Square Add Div <EOS>,(L2-Norm / (Jacov + square((square(MParams) / plain)))),0.787200000,0.722800000,66,9,6,2238,run_monash_time_unique1000,1,1,Monash__australian_electricity_demand_dataset/seed_2238/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.997963801,0.786400000,\left(\mathrm{GFLOPs} + \sqrt{\mathrm{JacobFro}}\right) \cdot \left(\frac{\mathrm{ZiCo}}{\mathrm{Jacov}}\right),GFLOPs Jacob_fro Sqrt Add ZiCo Jacov Div Mul <EOS>,((GFLOPs + sqrt(Jacob_fro)) * (ZiCo / Jacov)),0.786400000,0.773800000,167,8,4,2095,run_monash_time_unique1000,1,2,Monash__australian_electricity_demand_dataset/seed_2095/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.996945701,0.785400000,\frac{\left(\mathrm{L2Norm}\right)^2 + \left(\mathrm{JacobFro}\right)^2}{\mathrm{Jacov} - \mathrm{JacobFro}},L2-Norm Square Jacob_fro Square Add Jacov Jacob_fro Sub Div <EOS>,((square(L2-Norm) + square(Jacob_fro)) / (Jacov - Jacob_fro)),0.785400000,0.807700000,90,9,4,2028,run_monash_time_unique1000,1,23,Monash__australian_electricity_demand_dataset/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.995927602,0.785400000,\frac{\left(\mathrm{JacobFro}\right)^2 + \left(\mathrm{L2Norm}\right)^2}{\mathrm{Jacov} - \mathrm{JacobFro}},Jacob_fro Square L2-Norm Square Add Jacov Jacob_fro Sub Div <EOS>,((square(Jacob_fro) + square(L2-Norm)) / (Jacov - Jacob_fro)),0.785400000,0.807700000,121,9,4,2036,run_monash_time_unique1000,1,26,Monash__australian_electricity_demand_dataset/seed_2036/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.994909502,0.785400000,\frac{\mathrm{JacobFro} - \mathrm{Jacov}}{\left(\mathrm{L2Norm}\right)^2 + \left(\mathrm{JacobFro}\right)^2},Jacob_fro Jacov Sub L2-Norm Square Jacob_fro Square Add Div <EOS>,((Jacob_fro - Jacov) / (square(L2-Norm) + square(Jacob_fro))),0.785400000,0.807700000,94,9,4,2178,run_monash_time_unique1000,1,2,Monash__australian_electricity_demand_dataset/seed_2178/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.993891403,0.785100000,\left(\mathrm{Jacov}\right)^2 - \left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{Fisher}\right)\right) \cdot \left(\mathrm{GSynFlow}\right),Jacov Square ZiCo Fisher Mul GSynFlow Mul Sub <EOS>,(square(Jacov) - ((ZiCo * Fisher) * GSynFlow)),0.785100000,0.741500000,177,8,4,2296,run_monash_time_unique1000,1,1,Monash__australian_electricity_demand_dataset/seed_2296/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.992873303,0.784500000,\frac{\mathrm{L2Norm} + \mathrm{JacobFro}}{\left(\mathrm{GFLOPs}\right)^2 + \mathrm{Jacov}},L2-Norm Jacob_fro Add GFLOPs Square Jacov Add Div <EOS>,((L2-Norm + Jacob_fro) / (square(GFLOPs) + Jacov)),0.784500000,0.793300000,18,8,4,2070,run_monash_time_unique1000,1,11,Monash__australian_electricity_demand_dataset/seed_2070/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.991855204,0.784500000,\frac{\mathrm{JacobFro} + \mathrm{L2Norm}}{\left(\mathrm{GFLOPs}\right)^2 + \mathrm{Jacov}},Jacob_fro L2-Norm Add GFLOPs Square Jacov Add Div <EOS>,((Jacob_fro + L2-Norm) / (square(GFLOPs) + Jacov)),0.784500000,0.793300000,15,8,4,2071,run_monash_time_unique1000,1,11,Monash__australian_electricity_demand_dataset/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.990837104,0.784500000,\frac{\mathrm{JacobFro} + \mathrm{L2Norm}}{\mathrm{Jacov} + \left(\mathrm{GFLOPs}\right)^2},Jacob_fro L2-Norm Add Jacov GFLOPs Square Add Div <EOS>,((Jacob_fro + L2-Norm) / (Jacov + square(GFLOPs))),0.784500000,0.793300000,86,8,4,2121,run_monash_time_unique1000,1,6,Monash__australian_electricity_demand_dataset/seed_2121/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.989819005,0.784500000,\frac{\mathrm{L2Norm} + \mathrm{JacobFro}}{\mathrm{Jacov} + \left(\mathrm{GFLOPs}\right)^2},L2-Norm Jacob_fro Add Jacov GFLOPs Square Add Div <EOS>,((L2-Norm + Jacob_fro) / (Jacov + square(GFLOPs))),0.784500000,0.793300000,125,8,4,2140,run_monash_time_unique1000,1,6,Monash__australian_electricity_demand_dataset/seed_2140/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.988800905,0.784500000,\frac{\left(\mathrm{JacobFro}\right)^2 + \frac{\left(\mathrm{L2Norm}\right)^2}{\mathrm{ZiCo}}}{\mathrm{Jacov}},Jacob_fro Square L2-Norm Square ZiCo Div Add Jacov Div <EOS>,((square(Jacob_fro) + (square(L2-Norm) / ZiCo)) / Jacov),0.784500000,0.785500000,89,9,5,2159,run_monash_time_unique1000,1,2,Monash__australian_electricity_demand_dataset/seed_2159/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.987782805,0.784500000,\frac{\frac{\left(\mathrm{L2Norm}\right)^2}{\mathrm{ZiCo}} + \left(\mathrm{JacobFro}\right)^2}{\mathrm{Jacov}},L2-Norm Square ZiCo Div Jacob_fro Square Add Jacov Div <EOS>,(((square(L2-Norm) / ZiCo) + square(Jacob_fro)) / Jacov),0.784500000,0.785500000,191,9,5,2081,run_monash_time_unique1000,2,4,Monash__australian_electricity_demand_dataset/seed_2081/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.986764706,0.783500000,\frac{\left(\frac{\mathrm{Jacov}}{\mathrm{L2Norm}}\right)^2}{\log\left(\mathrm{GSynFlow}\right) + \mathrm{JacobFro}},Jacov L2-Norm Div Square GSynFlow Log Jacob_fro Add Div <EOS>,(square((Jacov / L2-Norm)) / (log(GSynFlow) + Jacob_fro)),0.783500000,0.788400000,55,9,4,2212,run_monash_time_unique1000,1,1,Monash__australian_electricity_demand_dataset/seed_2212/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.985746606,0.783500000,\frac{\left(\mathrm{GradNorm}\right) \cdot \left(\left(\mathrm{Jacov}\right)^2\right)}{\mathrm{Fisher} + \mathrm{GFLOPs}},Grad_Norm Jacov Square Mul Fisher GFLOPs Add Div <EOS>,((Grad_Norm * square(Jacov)) / (Fisher + GFLOPs)),0.783500000,0.747100000,173,8,4,2175,run_monash_time_unique1000,2,1,Monash__australian_electricity_demand_dataset/seed_2175/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.984728507,0.783300000,\mathrm{L2Norm} + \frac{\sqrt{\mathrm{JacobFro}}}{\frac{\mathrm{Jacov}}{\left(\mathrm{L2Norm}\right)^2}},L2-Norm Jacob_fro Sqrt Jacov L2-Norm Square Div Div Add <EOS>,(L2-Norm + (sqrt(Jacob_fro) / (Jacov / square(L2-Norm)))),0.783300000,0.798300000,25,9,5,2067,run_monash_time_unique1000,1,1,Monash__australian_electricity_demand_dataset/seed_2067/run_monash_time_unique1000/visualizations/archive_latex.tex
17,0.983710407,0.783200000,\frac{\left(\mathrm{JacobFro}\right)^2 + \left(\mathrm{L2Norm}\right)^2}{\mathrm{L2Norm} + \mathrm{Jacov}},Jacob_fro Square L2-Norm Square Add L2-Norm Jacov Add Div <EOS>,((square(Jacob_fro) + square(L2-Norm)) / (L2-Norm + Jacov)),0.783200000,0.804300000,140,9,4,2034,run_monash_time_unique1000,1,8,Monash__australian_electricity_demand_dataset/seed_2034/run_monash_time_unique1000/visualizations/archive_latex.tex
18,0.982692308,0.783200000,\frac{\left(\mathrm{L2Norm}\right)^2 + \left(\mathrm{JacobFro}\right)^2}{\mathrm{L2Norm} + \mathrm{Jacov}},L2-Norm Square Jacob_fro Square Add L2-Norm Jacov Add Div <EOS>,((square(L2-Norm) + square(Jacob_fro)) / (L2-Norm + Jacov)),0.783200000,0.804300000,193,9,4,2109,run_monash_time_unique1000,1,8,Monash__australian_electricity_demand_dataset/seed_2109/run_monash_time_unique1000/visualizations/archive_latex.tex
